,,,,,,,,,,,,,
,,,,,,,,,,,,,
MXIT Index Settings Total Return Analysis,,,,,,,,,,,,,
Range01/29/1999 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 287 Month Holding Period Chart,,,,,,,,,,,,,
MSCI Italy Index Max Cuml Total Return 108.2149% On 10/31/2007,,,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,,,
10/31/2003,86.9,--,-21.83%,-10.22%,4.43%,4.43%,,,,,,,
,,,,,,,,,,,,,
9/30/2003,83.22,--,-25.14%,-14.02%,4.13%,4.13%,,,,,,,
8/29/2003,79.92,--,-28.11%,-17.43%,-3.16%,-3.16%,,,,,,,
7/31/2003,82.53,--,-25.77%,-14.74%,-0.43%,-0.43%,,,,,,,
,,,,,,,,,,,,,
6/30/2003,82.88,1.53217,-25.45%,-14.37%,-3.26%,-1.51%,,,,,,,
5/30/2003,85.68,0.80336,-22.93%,-13.06%,10.47%,11.57%,,,,,,,
4/30/2003,77.56,0.13313,-30.24%,-22.08%,13.62%,13.82%,,,,,,,
,,,,,,,,,,,,,
3/31/2003,68.26,--,-38.60%,-31.54%,-8.05%,-8.05%,,,,,,,
2/28/2003,74.24,--,-33.22%,-25.54%,3.23%,3.23%,,,,,,,
1/31/2003,71.92,--,-35.31%,-27.87%,-1.38%,-1.38%,,,,,,,
,,,,,,,,,,,,,
12/31/2002,72.92,0.47278,-34.41%,-26.86%,-2.25%,-1.61%,,,,,,,
11/29/2002,74.59,0.02293,-32.90%,-25.67%,9.33%,9.37%,,,,,,,
10/31/2002,68.23,--,-38.63%,-32.03%,8.24%,8.24%,,,,,,,
,,,,,,,,,,,,,
9/30/2002,63.03,--,-43.30%,-37.21%,-13.80%,-13.80%,,,,,,,
8/30/2002,73.12,--,-34.23%,-27.16%,1.48%,1.48%,,,,,,,
7/31/2002,72.05,0.00817,-35.19%,-28.22%,-10.39%,-10.38%,,,,,,,
,,,,,,,,,,,,,
6/28/2002,80.41,1.05092,-27.67%,-19.91%,0.07%,1.44%,,,,,,,
5/31/2002,80.35,1.22277,-27.73%,-21.05%,-3.61%,-2.18%,,,,,,,
4/30/2002,83.36,0.39993,-25.02%,-19.29%,0.49%,0.97%,,,,,,,
,,,,,,,,,,,,,
3/29/2002,82.95,--,-25.39%,-20.06%,5.94%,5.94%,,,,,,,
2/28/2002,78.3,--,-29.57%,-24.55%,0.21%,0.21%,,,,,,,
1/31/2002,78.13,--,-29.72%,-24.71%,-3.72%,-3.72%,,,,,,,
,,,,,,,,,,,,,
12/31/2001,81.15,--,-27.01%,-21.80%,1.20%,1.20%,,,,,,,
11/30/2001,80.19,0.02256,-27.87%,-22.72%,1.73%,1.76%,,,,,,,
10/31/2001,78.82,--,-29.10%,-24.06%,3.40%,3.40%,,,,,,,
,,,,,,,,,,,,,
9/28/2001,76.23,--,-31.43%,-26.56%,-13.95%,-13.95%,,,,,,,
8/31/2001,88.59,--,-20.31%,-14.65%,-0.69%,-0.69%,,,,,,,
7/31/2001,89.21,--,-19.75%,-14.05%,1.89%,1.89%,,,,,,,
,,,,,,,,,,,,,
6/29/2001,87.56,1.37745,-21.24%,-15.65%,-4.70%,-3.22%,,,,,,,
5/31/2001,91.87,0.82795,-17.36%,-12.84%,-9.30%,-8.52%,,,,,,,
4/30/2001,101.29,0.52222,-8.89%,-4.72%,5.43%,5.98%,,,,,,,
,,,,,,,,,,,,,
3/30/2001,96.08,--,-13.58%,-10.09%,-7.05%,-7.05%,,,,,,,
2/28/2001,103.36,--,-7.02%,-3.28%,-9.77%,-9.77%,,,,,,,
1/31/2001,114.56,--,3.05%,7.20%,1.70%,1.70%,,,,,,,
,,,,,,,,,,,,,
12/29/2000,112.64,--,1.32%,5.40%,2.00%,2.00%,,,,,,,
11/30/2000,110.44,0.01949,-0.66%,3.34%,1.78%,1.80%,,,,,,,
10/31/2000,108.51,--,-2.40%,1.52%,2.33%,2.33%,,,,,,,
,,,,,,,,,,,,,
9/29/2000,106.04,--,-4.62%,-0.79%,-5.54%,-5.54%,,,,,,,
8/31/2000,112.27,--,0.99%,5.03%,-1.88%,-1.88%,,,,,,,
7/31/2000,114.42,0.41544,2.92%,7.05%,-3.88%,-3.54%,,,,,,,
,,,,,,,,,,,,,
6/30/2000,119.04,0.71334,7.08%,10.98%,5.41%,6.05%,,,,,,,
