,,,,,,,,,,,
,,,,,,,,,,,
MXID Index Settings Total Return Analysis,,,,,,,,,,,
Range11/29/1991 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 373 Month Holding Period Chart,,,,,,,,,,,
MSCI Indonesia Index Max Cuml Total Return 456.8318% On 04/29/2022,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,
11/30/2000,0.05,0.00024,-73.44%,-70.82%,2.30%,2.76%,,,,,
10/31/2000,0.05,0.00035,-74.03%,-71.60%,-12.23%,-11.68%,,,,,
,,,,,,,,,,,
9/29/2000,0.06,0.00001,-70.41%,-67.85%,-13.71%,-13.70%,,,,,
8/31/2000,0.07,0.00007,-65.71%,-62.75%,1.02%,1.12%,,,,,
7/31/2000,0.07,0.00041,-66.06%,-63.16%,-6.59%,-6.02%,,,,,
,,,,,,,,,,,
6/30/2000,0.07,0.00001,-63.66%,-60.80%,11.62%,11.63%,,,,,
5/31/2000,0.06,0.00009,-67.44%,-64.88%,-26.54%,-26.45%,,,,,
4/28/2000,0.09,0.00045,-55.68%,-52.26%,-13.23%,-12.78%,,,,,
,,,,,,,,,,,
3/31/2000,0.1,0.00003,-48.92%,-45.26%,-0.84%,-0.82%,,,,,
2/29/2000,0.1,--,-48.49%,-44.81%,-9.23%,-9.23%,,,,,
1/31/2000,0.11,--,-43.25%,-39.20%,-11.93%,-11.93%,,,,,
,,,,,,,,,,,
12/31/1999,0.13,--,-35.56%,-30.96%,20.96%,20.96%,,,,,
11/30/1999,0.1,--,-46.73%,-42.92%,-13.51%,-13.51%,,,,,
10/29/1999,0.12,--,-38.41%,-34.00%,33.61%,33.61%,,,,,
,,,,,,,,,,,
9/30/1999,0.09,--,-53.90%,-50.61%,-11.41%,-11.41%,,,,,
8/31/1999,0.1,--,-47.96%,-44.24%,-14.43%,-14.43%,,,,,
7/30/1999,0.12,0.00028,-39.19%,-34.84%,-17.02%,-16.86%,,,,,
,,,,,,,,,,,
6/30/1999,0.14,--,-26.72%,-21.63%,35.77%,35.77%,,,,,
5/31/1999,0.11,0.0004,-46.03%,-42.28%,19.92%,20.33%,,,,,
4/30/1999,0.09,0.00015,-54.99%,-52.03%,40.76%,41.10%,,,,,
,,,,,,,,,,,
3/31/1999,0.06,--,-68.02%,-66.00%,2.08%,2.08%,,,,,
2/26/1999,0.06,--,-68.67%,-66.69%,-5.36%,-5.36%,,,,,
1/29/1999,0.07,--,-66.90%,-64.81%,-5.74%,-5.74%,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
12/31/1998,0.07,--,-64.88%,-62.67%,-0.01%,-0.01%,,,,,
11/30/1998,0.07,0.00013,-64.88%,-62.66%,52.37%,52.62%,,,,,
10/30/1998,0.05,--,-76.95%,-75.54%,55.72%,55.72%,,,,,
,,,,,,,,,,,
9/30/1998,0.03,--,-85.20%,-84.29%,-27.50%,-27.50%,,,,,
8/31/1998,0.04,--,-79.59%,-78.33%,-22.37%,-22.37%,,,,,
7/31/1998,0.05,0.00018,-73.70%,-72.09%,26.64%,27.15%,,,,,
,,,,,,,,,,,
6/30/1998,0.04,0,-79.24%,-78.05%,-16.55%,-16.55%,,,,,
5/29/1998,0.05,0.00022,-75.12%,-73.70%,-35.72%,-35.45%,,,,,
4/30/1998,0.08,--,-61.29%,-59.25%,-13.25%,-13.25%,,,,,
,,,,,,,,,,,
3/31/1998,0.09,--,-55.37%,-53.03%,19.86%,19.86%,,,,,
2/27/1998,0.07,--,-62.77%,-60.81%,35.30%,35.30%,,,,,
1/30/1998,0.05,0.00003,-72.48%,-71.03%,-45.39%,-45.37%,,,,,
,,,,,,,,,,,
12/31/1997,0.1,--,-49.60%,-46.98%,-34.26%,-34.26%,,,,,
11/28/1997,0.15,--,-23.34%,-19.34%,-23.63%,-23.63%,,,,,
10/31/1997,0.2,--,0.39%,5.61%,-15.10%,-15.10%,,,,,
,,,,,,,,,,,
9/30/1997,0.23,--,18.24%,24.39%,6.81%,6.81%,,,,,
8/29/1997,0.22,0.00008,10.69%,16.46%,-40.87%,-40.85%,,,,,
7/31/1997,0.37,0.00393,87.19%,96.89%,-9.60%,-8.70%,,,,,
,,,,,,,,,,,
6/30/1997,0.41,0.00054,107.07%,115.65%,2.47%,2.61%,,,,,
5/30/1997,0.4,0.00126,102.08%,110.18%,6.80%,7.16%,,,,,
4/30/1997,0.37,0.0001,89.21%,96.14%,-3.05%,-3.02%,,,,,
,,,,,,,,,,,
3/31/1997,0.38,--,95.16%,102.25%,-7.37%,-7.37%,,,,,
2/28/1997,0.41,--,110.68%,118.34%,1.08%,1.08%,,,,,
1/31/1997,0.41,0.00022,108.43%,116.01%,6.16%,6.22%,,,,,
,,,,,,,,,,,
12/31/1996,0.39,0.00013,96.34%,103.37%,2.42%,2.46%,,,,,
11/29/1996,0.38,0.00018,91.70%,98.49%,8.90%,8.95%,,,,,
10/31/1996,0.35,--,76.04%,82.18%,-0.90%,-0.90%,,,,,
,,,,,,,,,,,
9/30/1996,0.35,--,77.63%,83.84%,6.77%,6.77%,,,,,
8/30/1996,0.33,0.0008,66.37%,72.18%,3.47%,3.73%,,,,,
7/31/1996,0.32,0.00229,60.79%,66.00%,-11.63%,-11.04%,,,,,
,,,,,,,,,,,
6/28/1996,0.36,0.00155,81.95%,86.59%,-2.31%,-1.89%,,,,,
5/31/1996,0.37,0.00031,86.26%,90.18%,-3.00%,-2.92%,,,,,
4/30/1996,0.38,0.00012,92.02%,95.91%,8.20%,8.23%,,,,,
,,,,,,,,,,,
3/29/1996,0.35,--,77.46%,81.00%,-1.70%,-1.70%,,,,,
2/29/1996,0.36,--,80.53%,84.13%,1.82%,1.82%,,,,,
1/31/1996,0.35,0.00034,77.31%,80.84%,13.23%,13.35%,,,,,
,,,,,,,,,,,
12/29/1995,0.31,--,56.59%,59.55%,9.38%,9.38%,,,,,
11/30/1995,0.28,0.00055,43.17%,45.87%,-4.77%,-4.60%,,,,,
10/31/1995,0.3,0.00014,50.35%,52.90%,1.37%,1.41%,,,,,
,,,,,,,,,,,
9/29/1995,0.29,0.00034,48.32%,50.76%,-2.77%,-2.66%,,,,,
8/31/1995,0.3,0.00073,52.55%,54.89%,-4.99%,-4.76%,,,,,
7/31/1995,0.32,0.00209,60.57%,62.64%,2.05%,2.73%,,,,,
,,,,,,,,,,,
6/30/1995,0.31,0.00103,57.34%,58.32%,4.05%,4.40%,,,,,
5/31/1995,0.3,0.00044,51.22%,51.65%,15.90%,16.08%,,,,,
4/28/1995,0.26,0.00023,30.47%,30.64%,-4.56%,-4.47%,,,,,
,,,,,,,,,,,
3/31/1995,0.27,0.00012,36.70%,36.76%,-5.38%,-5.34%,,,,,
2/28/1995,0.28,--,44.48%,44.48%,8.34%,8.34%,,,,,
1/31/1995,0.26,--,33.35%,33.35%,-8.44%,-8.44%,,,,,
,,,,,,,,,,,
12/30/1994,0.29,--,45.65%,45.65%,-4.41%,-4.41%,,,,,
11/30/1994,0.3,--,52.37%,52.37%,-11.04%,-11.04%,,,,,
10/31/1994,0.34,--,71.27%,71.27%,2.83%,2.83%,,,,,
,,,,,,,,,,,
9/30/1994,0.33,--,66.56%,66.56%,-4.07%,-4.07%,,,,,
8/31/1994,0.34,--,73.62%,73.62%,14.39%,14.39%,,,,,
7/29/1994,0.3,--,51.77%,51.77%,-2.61%,-2.61%,,,,,
,,,,,,,,,,,
6/30/1994,0.31,--,55.83%,55.83%,-8.62%,-8.62%,,,,,
5/31/1994,0.34,--,70.54%,70.54%,12.30%,12.30%,,,,,
4/29/1994,0.3,--,51.85%,51.85%,-10.25%,-10.25%,,,,,
,,,,,,,,,,,
3/31/1994,0.33,--,69.19%,69.19%,-9.58%,-9.58%,,,,,
2/28/1994,0.37,--,87.12%,87.12%,-8.95%,-8.95%,,,,,
1/31/1994,0.4,--,105.51%,105.51%,2.53%,2.53%,,,,,
,,,,,,,,,,,
12/31/1993,0.39,--,100.45%,100.45%,14.32%,14.32%,,,,,
11/30/1993,0.34,--,75.34%,75.34%,8.48%,8.48%,,,,,
10/29/1993,0.32,--,61.64%,61.64%,4.00%,4.00%,,,,,
,,,,,,,,,,,
9/30/1993,0.31,--,55.42%,55.42%,-3.12%,-3.12%,,,,,
8/31/1993,0.32,--,60.42%,60.42%,22.81%,22.81%,,,,,
7/30/1993,0.26,--,30.63%,30.63%,-1.74%,-1.74%,,,,,
,,,,,,,,,,,
6/30/1993,0.26,--,32.94%,32.94%,5.37%,5.37%,,,,,
5/31/1993,0.25,--,26.17%,26.17%,11.30%,11.30%,,,,,
4/30/1993,0.22,--,13.36%,13.36%,3.07%,3.07%,,,,,
,,,,,,,,,,,
3/31/1993,0.22,--,9.98%,9.98%,0.72%,0.72%,,,,,
2/26/1993,0.21,--,9.20%,9.20%,8.23%,8.23%,,,,,
1/29/1993,0.2,--,0.89%,0.89%,2.19%,2.19%,,,,,
,,,,,,,,,,,
12/31/1992,0.19,--,-1.27%,-1.27%,-5.28%,-5.28%,,,,,
11/30/1992,0.2,--,4.24%,4.24%,-10.29%,-10.29%,,,,,
10/30/1992,0.23,--,16.20%,16.20%,1.59%,1.59%,,,,,
,,,,,,,,,,,
9/30/1992,0.22,--,14.39%,14.39%,-1.31%,-1.31%,,,,,
8/31/1992,0.23,--,15.91%,15.91%,-7.39%,-7.39%,,,,,
7/31/1992,0.25,--,25.16%,25.16%,0.72%,0.72%,,,,,
,,,,,,,,,,,
6/30/1992,0.24,--,24.26%,24.26%,1.15%,1.15%,,,,,
5/29/1992,0.24,--,22.85%,22.85%,9.55%,9.55%,,,,,
4/30/1992,0.22,--,12.13%,12.13%,0.15%,0.15%,,,,,
,,,,,,,,,,,
3/31/1992,0.22,--,11.96%,11.96%,-0.97%,-0.97%,,,,,
2/28/1992,0.22,--,13.06%,13.06%,-4.79%,-4.79%,,,,,
1/31/1992,0.23,--,18.75%,18.75%,17.79%,17.79%,,,,,
,,,,,,,,,,,
12/31/1991,0.2,--,0.82%,0.82%,0.82%,0.82%,,,,,
11/29/1991,0.2,--,0.00%,0.00%,--,--,,,,,
