,,,,,,,,,
,,,,,,,,,
MXAU Index Settings Total Return Analysis,,,,,,,,,
Range01/29/1971 -12/30/2022 Period Monthly Currency USD,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 623 Month Holding Period Chart,,,,,,,,,
MSCI Australia Index Max Cuml Total Return 5776.9285% On 03/31/2022,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,
7/30/2021,1064.67,--,1130.98%,5284.59%,-1.27%,-1.27%,,,
,,,,,,,,,
6/30/2021,1078.33,1.48193,1146.78%,5353.70%,-1.56%,-1.43%,,,
5/31/2021,1095.43,7.16329,1166.55%,5432.59%,2.90%,3.59%,,,
4/30/2021,1064.53,0.11685,1130.82%,5241.10%,4.74%,4.75%,,,
,,,,,,,,,
3/31/2021,1016.4,10.89421,1075.17%,4999.06%,0.22%,1.28%,,,
2/26/2021,1014.15,6.60913,1072.58%,4934.59%,2.31%,2.96%,,,
1/29/2021,991.24,--,1046.09%,4790.05%,-0.05%,-0.05%,,,
,,,,,,,,,
12/31/2020,991.75,1.31693,1046.68%,4792.54%,5.78%,5.92%,,,
11/30/2020,937.59,3.38253,984.06%,4519.30%,15.46%,15.89%,,,
10/30/2020,812.04,--,838.89%,3885.86%,-0.08%,-0.08%,,,
,,,,,,,,,
9/30/2020,812.67,4.25827,839.62%,3888.97%,-7.03%,-6.57%,,,
