,,,,,,,,,,,
,,,,,,,,,,,
MXKR Index Settings Total Return Analysis,,,,,,,,,,,
Range12/31/1987 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 420 Month Holding Period Chart,,,,,,,,,,,
MSCI Korea Index Max Cuml Total Return 1013.0947% On 06/30/2021,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,
8/31/2001,0.11,--,-11.90%,-4.33%,3.29%,3.29%,,,,,
7/31/2001,0.11,--,-14.71%,-7.38%,-7.36%,-7.36%,,,,,
,,,,,,,,,,,
6/29/2001,0.12,0.00014,-7.93%,-0.01%,-5.72%,-5.60%,,,,,
5/31/2001,0.12,--,-2.34%,5.92%,7.78%,7.78%,,,,,
4/30/2001,0.11,--,-9.39%,-1.73%,13.87%,13.87%,,,,,
,,,,,,,,,,,
3/30/2001,0.1,0.00007,-20.43%,-13.70%,-14.66%,-14.60%,,,,,
2/28/2001,0.12,--,-6.76%,1.06%,-7.44%,-7.44%,,,,,
1/31/2001,0.13,0.002,0.73%,9.17%,27.46%,29.94%,,,,,
,,,,,,,,,,,
12/29/2000,0.1,--,-20.97%,-15.98%,-3.80%,-3.80%,,,,,
11/30/2000,0.1,--,-17.85%,-12.66%,-6.56%,-6.56%,,,,,
10/31/2000,0.11,--,-12.08%,-6.53%,-18.91%,-18.91%,,,,,
,,,,,,,,,,,
9/29/2000,0.14,--,8.42%,15.27%,-12.59%,-12.59%,,,,,
8/31/2000,0.16,--,24.04%,31.87%,-3.03%,-3.03%,,,,,
