Date,United_States_GDP_Growth
1966-01,0.08477014524526559
1966-02,0.08477014524526559
1966-03,0.08477014524526559
1966-04,0.0748933516000044
1966-05,0.0748933516000044
1966-06,0.0748933516000044
1966-07,0.06042103834605058
1966-08,0.06042103834605058
1966-09,0.06042103834605058
1966-10,0.045044072269950323
1966-11,0.045044072269950323
1966-12,0.045044072269950323
1967-01,0.029250734590505985
1967-02,0.029250734590505985
1967-03,0.029250734590505985
1967-04,0.026377419258364426
1967-05,0.026377419258364426
1967-06,0.026377419258364426
1967-07,0.027387436004856887
1967-08,0.027387436004856887
1967-09,0.027387436004856887
1967-10,0.026709271137258142
1967-11,0.026709271137258142
1967-12,0.026709271137258142
1968-01,0.038448151193667936
1968-02,0.038448151193667936
1968-03,0.038448151193667936
1968-04,0.055146760076032454
1968-05,0.055146760076032454
1968-06,0.055146760076032454
1968-07,0.05335358515849117
1968-08,0.05335358515849117
1968-09,0.05335358515849117
1968-10,0.04957851919504438
1968-11,0.04957851919504438
1968-12,0.04957851919504438
1969-01,0.044694339547431745
1969-02,0.044694339547431745
1969-03,0.044694339547431745
1969-04,0.03064779900682088
1969-05,0.03064779900682088
1969-06,0.03064779900682088
1969-07,0.02947606141054543
1969-08,0.02947606141054543
1969-09,0.02947606141054543
1969-10,0.020442073487201215
1969-11,0.020442073487201215
1969-12,0.020442073487201215
1970-01,0.0032278766443437083
1970-02,0.0032278766443437083
1970-03,0.0032278766443437083
1970-04,0.001611208279408101
1970-05,0.001611208279408101
1970-06,0.001611208279408101
1970-07,0.00421347429985382
1970-08,0.00421347429985382
1970-09,0.00421347429985382
1970-10,-0.0016735247777361678
1970-11,-0.0016735247777361678
1970-12,-0.0016735247777361678
1971-01,0.02697162537740644
1971-02,0.02697162537740644
1971-03,0.02697162537740644
1971-04,0.03106445090995685
1971-05,0.03106445090995685
1971-06,0.03106445090995685
1971-07,0.03005273099293768
1971-08,0.03005273099293768
1971-09,0.03005273099293768
1971-10,0.04365553188952071
1971-11,0.04365553188952071
1971-12,0.04365553188952071
1972-01,0.03472505938696079
1972-02,0.03472505938696079
1972-03,0.03472505938696079
1972-04,0.05251373856873315
1972-05,0.05251373856873315
1972-06,0.05251373856873315
1972-07,0.05378364037294185
1972-08,0.05378364037294185
1972-09,0.05378364037294185
1972-10,0.06891806086097495
1972-11,0.06891806086097495
1972-12,0.06891806086097495
1973-01,0.07561180980345798
1973-02,0.07561180980345798
1973-03,0.07561180980345798
1973-04,0.0631955378640979
1973-05,0.0631955378640979
1973-06,0.0631955378640979
1973-07,0.04771352814705239
1973-08,0.04771352814705239
1973-09,0.04771352814705239
1973-10,0.040240586446377194
1973-11,0.040240586446377194
1973-12,0.040240586446377194
1974-01,0.0063899841281997785
1974-02,0.0063899841281997785
1974-03,0.0063899841281997785
1974-04,-0.002082584293329097
1974-05,-0.002082584293329097
1974-06,-0.002082584293329097
1974-07,-0.006290430945863311
1974-08,-0.006290430945863311
1974-09,-0.006290430945863311
1974-10,-0.01945766620393402
1974-11,-0.01945766620393402
1974-12,-0.01945766620393402
1975-01,-0.022997681908818655
1975-02,-0.022997681908818655
1975-03,-0.022997681908818655
1975-04,-0.01834845633114126
1975-05,-0.01834845633114126
1975-06,-0.01834845633114126
1975-07,0.007986153897486909
1975-08,0.007986153897486909
1975-09,0.007986153897486909
1975-10,0.025547951202428205
1975-11,0.025547951202428205
1975-12,0.025547951202428205
1976-01,0.06154303066733599
1976-02,0.06154303066733599
1976-03,0.06154303066733599
1976-04,0.06173987975885102
1976-05,0.06173987975885102
1976-06,0.06173987975885102
1976-07,0.049582601781681314
1976-08,0.049582601781681314
1976-09,0.049582601781681314
1976-10,0.04311519226198275
1976-11,0.04311519226198275
1976-12,0.04311519226198275
1977-01,0.032268393382732234
1977-02,0.032268393382732234
1977-03,0.032268393382732234
1977-04,0.044653010163915804
1977-05,0.044653010163915804
1977-06,0.044653010163915804
1977-07,0.0576999292666022
1977-08,0.0576999292666022
1977-09,0.0576999292666022
1977-10,0.05013267966038815
1977-11,0.05013267966038815
1977-12,0.05013267966038815
1978-01,0.04114108619399237
1978-02,0.04114108619399237
1978-03,0.04114108619399237
1978-04,0.06077933225596163
1978-05,0.06077933225596163
1978-06,0.06077933225596163
1978-07,0.05247032928335572
1978-08,0.05247032928335572
1978-09,0.05247032928335572
1978-10,0.06659559719611159
1978-11,0.06659559719611159
1978-12,0.06659559719611159
1979-01,0.06510451336470356
1979-02,0.06510451336470356
1979-03,0.06510451336470356
1979-04,0.026566953584967672
1979-05,0.026566953584967672
1979-06,0.026566953584967672
1979-07,0.023894533836811973
1979-08,0.023894533836811973
1979-09,0.023894533836811973
1979-10,0.012840909248174956
1979-11,0.012840909248174956
1979-12,0.012840909248174956
1980-01,0.014205536022962711
1980-02,0.014205536022962711
1980-03,0.014205536022962711
1980-04,-0.007750659839971359
1980-05,-0.007750659839971359
1980-06,-0.007750659839971359
1980-07,-0.016237456716050883
1980-08,-0.016237456716050883
1980-09,-0.016237456716050883
1980-10,-0.00039051530421005555
1980-11,-0.00039051530421005555
1980-12,-0.00039051530421005555
1981-01,0.015999984308506077
1981-02,0.015999984308506077
1981-03,0.015999984308506077
1981-04,0.029686705786465446
1981-05,0.029686705786465446
1981-06,0.029686705786465446
1981-07,0.04325718580413736
1981-08,0.04325718580413736
1981-09,0.04325718580413736
1981-10,0.01299822250221754
1981-11,0.01299822250221754
1981-12,0.01299822250221754
1982-01,-0.02190512375483003
1982-02,-0.02190512375483003
1982-03,-0.02190512375483003
