Date,Indonesia_GDP_Growth
2001-01,0.04029584113471256
2001-02,0.04029584113471256
2001-03,0.04029584113471256
2001-04,0.0570139504595987
2001-05,0.0570139504595987
2001-06,0.0570139504595987
2001-07,0.03208734053506818
2001-08,0.03208734053506818
2001-09,0.03208734053506818
2001-10,0.01744702093834732
2001-11,0.01744702093834732
2001-12,0.01744702093834732
2002-01,0.037242087471630395
2002-02,0.037242087471630395
2002-03,0.037242087471630395
2002-04,0.039937604685003236
2002-05,0.039937604685003236
2002-06,0.039937604685003236
2002-07,0.0530670958984856
2002-08,0.0530670958984856
2002-09,0.0530670958984856
2002-10,0.049586244163868705
2002-11,0.049586244163868705
2002-12,0.049586244163868705
2003-01,0.05047808379280114
2003-02,0.05047808379280114
2003-03,0.05047808379280114
2003-04,0.04890612761307034
2003-05,0.04890612761307034
2003-06,0.04890612761307034
2003-07,0.04646272792915181
2003-08,0.04646272792915181
2003-09,0.04646272792915181
2003-10,0.045474249764127825
2003-11,0.045474249764127825
2003-12,0.045474249764127825
2004-01,0.044131443050022805
2004-02,0.044131443050022805
2004-03,0.044131443050022805
2004-04,0.044771997162139886
2004-05,0.044771997162139886
2004-06,0.044771997162139886
2004-07,0.046521803755631023
2004-08,0.046521803755631023
2004-09,0.046521803755631023
2004-10,0.06547040430083932
2004-11,0.06547040430083932
2004-12,0.06547040430083932
2005-01,0.061637429134774206
2005-02,0.061637429134774206
2005-03,0.061637429134774206
2005-04,0.06110552919567085
2005-05,0.06110552919567085
2005-06,0.06110552919567085
2005-07,0.059900686192703056
2005-08,0.059900686192703056
2005-09,0.059900686192703056
2005-10,0.04554140689933993
2005-11,0.04554140689933993
2005-12,0.04554140689933993
2006-01,0.05083284834030238
2006-02,0.05083284834030238
2006-03,0.05083284834030238
2006-04,0.052199932306548326
2006-05,0.052199932306548326
2006-06,0.052199932306548326
2006-07,0.05750757112291428
2006-08,0.05750757112291428
2006-09,0.05750757112291428
2006-10,0.059313653406584364
2006-11,0.059313653406584364
2006-12,0.059313653406584364
2007-01,0.06250388815977585
2007-02,0.06250388815977585
2007-03,0.06250388815977585
2007-04,0.0665944957187291
2007-05,0.0665944957187291
2007-06,0.0665944957187291
2007-07,0.06622369699555018
2007-08,0.06622369699555018
2007-09,0.06622369699555018
2007-10,0.05857955978256749
2007-11,0.05857955978256749
2007-12,0.05857955978256749
2008-01,0.06427586649522701
2008-02,0.06427586649522701
2008-03,0.06427586649522701
2008-04,0.06271918940629674
2008-05,0.06271918940629674
2008-06,0.06271918940629674
2008-07,0.06066541337781698
2008-08,0.06066541337781698
2008-09,0.06066541337781698
2008-10,0.05311947270351598
2008-11,0.05311947270351598
2008-12,0.05311947270351598
2009-01,0.04470453032127439
2009-02,0.04470453032127439
2009-03,0.04470453032127439
2009-04,0.042001318328016166
2009-05,0.042001318328016166
2009-06,0.042001318328016166
2009-07,0.04377530447283592
2009-08,0.04377530447283592
2009-09,0.04377530447283592
2009-10,0.057440342729790435
2009-11,0.057440342729790435
2009-12,0.057440342729790435
2010-01,0.060359879554050734
2010-02,0.060359879554050734
2010-03,0.060359879554050734
2010-04,0.06476227053066716
2010-05,0.06476227053066716
2010-06,0.06476227053066716
2010-07,0.06416930700272891
2010-08,0.06416930700272891
2010-09,0.06416930700272891
2010-10,0.06570652298546188
2010-11,0.06570652298546188
2010-12,0.06570652298546188
2011-01,0.06373512357152591
2011-02,0.06373512357152591
2011-03,0.06373512357152591
2011-04,0.06142778835715802
2011-05,0.06142778835715802
2011-06,0.06142778835715802
2011-07,0.06159052805804541
2011-08,0.06159052805804541
2011-09,0.06159052805804541
2011-10,0.060122306412271426
2011-11,0.060122306412271426
2011-12,0.060122306412271426
2012-01,0.06087029568289738
2012-02,0.06087029568289738
2012-03,0.06087029568289738
2012-04,0.061226662678465854
2012-05,0.061226662678465854
2012-06,0.061226662678465854
2012-07,0.06002802213983337
2012-08,0.06002802213983337
2012-09,0.06002802213983337
2012-10,0.05912461007833069
2012-11,0.05912461007833069
2012-12,0.05912461007833069
2013-01,0.057879353068369936
2013-02,0.057879353068369936
2013-03,0.057879353068369936
2013-04,0.055784139419148726
2013-05,0.055784139419148726
2013-06,0.055784139419148726
2013-07,0.05492730425914903
2013-08,0.05492730425914903
2013-09,0.05492730425914903
2013-10,0.05379238474889279
2013-11,0.05379238474889279
2013-12,0.05379238474889279
2014-01,0.05150381783933059
2014-02,0.05150381783933059
2014-03,0.05150381783933059
2014-04,0.05106221923092834
2014-05,0.05106221923092834
2014-06,0.05106221923092834
2014-07,0.0495399118111114
2014-08,0.0495399118111114
2014-09,0.0495399118111114
2014-10,0.048233681760806876
2014-11,0.048233681760806876
2014-12,0.048233681760806876
2015-01,0.04869084812438319
2015-02,0.04869084812438319
2015-03,0.04869084812438319
2015-04,0.047734024294643795
2015-05,0.047734024294643795
2015-06,0.047734024294643795
2015-07,0.04851424635969177
2015-08,0.04851424635969177
2015-09,0.04851424635969177
2015-10,0.050085051342920774
2015-11,0.050085051342920774
2015-12,0.050085051342920774
2016-01,0.049833685330568686
2016-02,0.049833685330568686
2016-03,0.049833685330568686
2016-04,0.050960400935501825
2016-05,0.050960400935501825
2016-06,0.050960400935501825
2016-07,0.050753556540339806
2016-08,0.050753556540339806
2016-09,0.050753556540339806
2016-10,0.049778313565828534
2016-11,0.049778313565828534
2016-12,0.049778313565828534
2017-01,0.05036774771729578
2017-02,0.05036774771729578
2017-03,0.05036774771729578
2017-04,0.050254143201495016
2017-05,0.050254143201495016
2017-06,0.050254143201495016
