Date,India_GDP_Growth
1997-04,0.032722579338968466
1997-05,0.032722579338968466
1997-06,0.032722579338968466
1997-07,0.03995466851350501
1997-08,0.03995466851350501
1997-09,0.03995466851350501
1997-10,0.040112055928799864
1997-11,0.040112055928799864
1997-12,0.040112055928799864
1998-01,0.049175083967962996
1998-02,0.049175083967962996
1998-03,0.049175083967962996
1998-04,0.0585806356752518
1998-05,0.0585806356752518
1998-06,0.0585806356752518
1998-07,0.06508209425098077
1998-08,0.06508209425098077
1998-09,0.06508209425098077
1998-10,0.062042664759861754
1998-11,0.062042664759861754
1998-12,0.062042664759861754
1999-01,0.061985506226693875
1999-02,0.061985506226693875
1999-03,0.061985506226693875
1999-04,0.07531685861450316
1999-05,0.07531685861450316
1999-06,0.07531685861450316
1999-07,0.06930186555710924
1999-08,0.06930186555710924
1999-09,0.06930186555710924
1999-10,0.07289375645226447
1999-11,0.07289375645226447
1999-12,0.07289375645226447
2000-01,0.07790071109933307
2000-02,0.07790071109933307
2000-03,0.07790071109933307
2000-04,0.05219478590342511
2000-05,0.05219478590342511
2000-06,0.05219478590342511
2000-07,0.05305180790780255
2000-08,0.05305180790780255
2000-09,0.05305180790780255
2000-10,0.03637618708948667
2000-11,0.03637618708948667
2000-12,0.03637618708948667
2001-01,0.020559522224157183
2001-02,0.020559522224157183
2001-03,0.020559522224157183
2001-04,0.04038833362318544
2001-05,0.04038833362318544
2001-06,0.04038833362318544
2001-07,0.039455219133964
2001-08,0.039455219133964
2001-09,0.039455219133964
2001-10,0.06288222827732365
2001-11,0.06288222827732365
2001-12,0.06288222827732365
2002-01,0.06569570192520024
2002-02,0.06569570192520024
2002-03,0.06569570192520024
2002-04,0.05048230562739063
2002-05,0.05048230562739063
2002-06,0.05048230562739063
2002-07,0.04381440795671979
2002-08,0.04381440795671979
2002-09,0.04381440795671979
2002-10,0.021182860018419878
2002-11,0.021182860018419878
2002-12,0.021182860018419878
2003-01,0.03581015531548163
2003-02,0.03581015531548163
2003-03,0.03581015531548163
2003-04,0.055469751855700015
2003-05,0.055469751855700015
2003-06,0.055469751855700015
2003-07,0.07684147839356832
2003-08,0.07684147839356832
2003-09,0.07684147839356832
2003-10,0.11133219279976198
2003-11,0.11133219279976198
2003-12,0.11133219279976198
2004-01,0.09083138588562648
2004-02,0.09083138588562648
2004-03,0.09083138588562648
2004-04,0.08918135137771707
2004-05,0.08918135137771707
2004-06,0.08918135137771707
2004-07,0.08669616162314432
2004-08,0.08669616162314432
2004-09,0.08669616162314432
2004-10,0.07252815287050517
2004-11,0.07252815287050517
2004-12,0.07252815287050517
2005-01,0.08733598973008119
2005-02,0.08733598973008119
2005-03,0.08733598973008119
2005-04,0.09571306436510198
2005-05,0.09571306436510198
2005-06,0.09571306436510198
2005-07,0.08495614627978912
2005-08,0.08495614627978912
2005-09,0.08495614627978912
2005-10,0.09124380826085261
2005-11,0.09124380826085261
2005-12,0.09124380826085261
2006-01,0.09934145462630041
2006-02,0.09934145462630041
2006-03,0.09934145462630041
2006-04,0.08090213271903099
2006-05,0.08090213271903099
2006-06,0.08090213271903099
2006-07,0.10127305907961566
2006-08,0.10127305907961566
2006-09,0.10127305907961566
2006-10,0.092499928516284
2006-11,0.092499928516284
2006-12,0.092499928516284
2007-01,0.09557382650962015
2007-02,0.09557382650962015
2007-03,0.09557382650962015
2007-04,0.10727568972273593
2007-05,0.10727568972273593
2007-06,0.10727568972273593
2007-07,0.0911081385056668
2007-08,0.0911081385056668
2007-09,0.0911081385056668
2007-10,0.1089758689279732
2007-11,0.1089758689279732
2007-12,0.1089758689279732
2008-01,0.0853712874438263
2008-02,0.0853712874438263
2008-03,0.0853712874438263
2008-04,0.06974376168035713
2008-05,0.06974376168035713
2008-06,0.06974376168035713
2008-07,0.06003623033711292
2008-08,0.06003623033711292
2008-09,0.06003623033711292
2008-10,0.026668712054611857
2008-11,0.026668712054611857
2008-12,0.026668712054611857
2009-01,0.0016420939043128423
2009-02,0.0016420939043128423
2009-03,0.0016420939043128423
2009-04,0.04882932661613289
2009-05,0.04882932661613289
2009-06,0.04882932661613289
2009-07,0.06633140384593254
2009-08,0.06633140384593254
2009-09,0.06633140384593254
2009-10,0.08767463377910084
2009-11,0.08767463377910084
2009-12,0.08767463377910084
2010-01,0.13694860475192336
2010-02,0.13694860475192336
2010-03,0.13694860475192336
2010-04,0.10040009518170298
2010-05,0.10040009518170298
2010-06,0.10040009518170298
2010-07,0.1047096405175856
2010-08,0.1047096405175856
2010-09,0.1047096405175856
2010-10,0.10681432715322065
2010-11,0.10681432715322065
2010-12,0.10681432715322065
2011-01,0.09851481069501092
2011-02,0.09851481069501092
2011-03,0.09851481069501092
2011-04,0.08573799346240885
2011-05,0.08573799346240885
2011-06,0.08573799346240885
2011-07,0.05452627157140973
2011-08,0.05452627157140973
2011-09,0.05452627157140973
2011-10,0.04739377216809322
2011-11,0.04739377216809322
2011-12,0.04739377216809322
2012-01,0.04276793834441246
2012-02,0.04276793834441246
2012-03,0.04276793834441246
2012-04,0.04220955168852102
2012-05,0.04220955168852102
2012-06,0.04220955168852102
2012-07,0.06095233683820464
2012-08,0.06095233683820464
2012-09,0.06095233683820464
2012-10,0.056338220749565876
2012-11,0.056338220749565876
2012-12,0.056338220749565876
2013-01,0.058605357921568804
2013-02,0.058605357921568804
2013-03,0.058605357921568804
2013-04,0.06118340355181057
2013-05,0.06118340355181057
2013-06,0.06118340355181057
2013-07,0.0591707451244057
2013-08,0.0591707451244057
2013-09,0.0591707451244057
2013-10,0.06978530254392323
