Date,South_Africa_GDP_Growth
1994-01,0.027957710943040462
1994-02,0.027957710943040462
1994-03,0.027957710943040462
1994-04,0.030948163596048496
1994-05,0.030948163596048496
1994-06,0.030948163596048496
1994-07,0.029341282396123637
1994-08,0.029341282396123637
1994-09,0.029341282396123637
1994-10,0.039596468589235795
1994-11,0.039596468589235795
1994-12,0.039596468589235795
1995-01,0.042686361580877366
1995-02,0.042686361580877366
1995-03,0.042686361580877366
1995-04,0.03558014294018728
1995-05,0.03558014294018728
1995-06,0.03558014294018728
1995-07,0.030858698222245514
1995-08,0.030858698222245514
1995-09,0.030858698222245514
1995-10,0.015456086255799714
1995-11,0.015456086255799714
1995-12,0.015456086255799714
1996-01,0.031688596491228106
1996-02,0.031688596491228106
1996-03,0.031688596491228106
1996-04,0.04098719397658059
1996-05,0.04098719397658059
1996-06,0.04098719397658059
1996-07,0.046447539022601785
1996-08,0.046447539022601785
1996-09,0.046447539022601785
1996-10,0.05272391713626119
1996-11,0.05272391713626119
1996-12,0.05272391713626119
1997-01,0.038375123288591245
1997-02,0.038375123288591245
1997-03,0.038375123288591245
1997-04,0.032588079963623055
1997-05,0.032588079963623055
1997-06,0.032588079963623055
1997-07,0.021444365813195428
1997-08,0.021444365813195428
1997-09,0.021444365813195428
1997-10,0.012090400242129823
1997-11,0.012090400242129823
1997-12,0.012090400242129823
1998-01,0.010060225287298741
1998-02,0.010060225287298741
1998-03,0.010060225287298741
1998-04,0.005182171063791177
1998-05,0.005182171063791177
1998-06,0.005182171063791177
1998-07,0.0019841269841269133
1998-08,0.0019841269841269133
1998-09,0.0019841269841269133
1998-10,0.0028104331710153
1998-11,0.0028104331710153
1998-12,0.0028104331710153
1999-01,0.009795263128485679
1999-02,0.009795263128485679
1999-03,0.009795263128485679
1999-04,0.016394725710239838
1999-05,0.016394725710239838
1999-06,0.016394725710239838
1999-07,0.029748311420975712
1999-08,0.029748311420975712
1999-09,0.029748311420975712
1999-10,0.040073949690474585
1999-11,0.040073949690474585
1999-12,0.040073949690474585
2000-01,0.04221441581591418
2000-02,0.04221441581591418
2000-03,0.04221441581591418
2000-04,0.043497465558435415
2000-05,0.043497465558435415
2000-06,0.043497465558435415
2000-07,0.04244966492205001
2000-08,0.04244966492205001
2000-09,0.04244966492205001
2000-10,0.03988190966519109
2000-11,0.03988190966519109
2000-12,0.03988190966519109
2001-01,0.03418422600508342
2001-02,0.03418422600508342
2001-03,0.03418422600508342
2001-04,0.029877244287607258
2001-05,0.029877244287607258
2001-06,0.029877244287607258
2001-07,0.02248765375433435
2001-08,0.02248765375433435
2001-09,0.02248765375433435
2001-10,0.021659906932901336
2001-11,0.021659906932901336
2001-12,0.021659906932901336
2002-01,0.026447539635649855
2002-02,0.026447539635649855
2002-03,0.026447539635649855
2002-04,0.03430329965270083
2002-05,0.03430329965270083
2002-06,0.03430329965270083
2002-07,0.043237361689518
2002-08,0.043237361689518
2002-09,0.043237361689518
2002-10,0.04388620408917328
2002-11,0.04388620408917328
2002-12,0.04388620408917328
2003-01,0.03922634681648035
2003-02,0.03922634681648035
2003-03,0.03922634681648035
2003-04,0.03121700007808849
2003-05,0.03121700007808849
2003-06,0.03121700007808849
2003-07,0.025209581581265544
2003-08,0.025209581581265544
2003-09,0.025209581581265544
2003-10,0.0226162799830352
2003-11,0.0226162799830352
2003-12,0.0226162799830352
2004-01,0.03154850821013837
2004-02,0.03154850821013837
2004-03,0.03154850821013837
2004-04,0.04088057030891915
2004-05,0.04088057030891915
2004-06,0.04088057030891915
2004-07,0.05219020658580522
2004-08,0.05219020658580522
2004-09,0.05219020658580522
2004-10,0.057326762495018876
2004-11,0.057326762495018876
2004-12,0.057326762495018876
2005-01,0.05214825926368206
2005-02,0.05214825926368206
2005-03,0.05214825926368206
2005-04,0.056268773689016
2005-05,0.056268773689016
2005-06,0.056268773689016
2005-07,0.05344712252086439
2005-08,0.05344712252086439
2005-09,0.05344712252086439
2005-10,0.04929276077838385
2005-11,0.04929276077838385
2005-12,0.04929276077838385
2006-01,0.05698530843771591
2006-02,0.05698530843771591
2006-03,0.05698530843771591
2006-04,0.05309866522496062
2006-05,0.05309866522496062
2006-06,0.05309866522496062
2006-07,0.05328079733669772
2006-08,0.05328079733669772
2006-09,0.05328079733669772
2006-10,0.0607456481933383
2006-11,0.0607456481933383
2006-12,0.0607456481933383
2007-01,0.059354025252327657
2007-02,0.059354025252327657
2007-03,0.059354025252327657
2007-04,0.05307970961833914
2007-05,0.05307970961833914
2007-06,0.05307970961833914
2007-07,0.05090657100911418
2007-08,0.05090657100911418
2007-09,0.05090657100911418
2007-10,0.05126165242737912
2007-11,0.05126165242737912
2007-12,0.05126165242737912
2008-01,0.03881020900365429
2008-02,0.03881020900365429
2008-03,0.03881020900365429
2008-04,0.04294531479164165
2008-05,0.04294531479164165
2008-06,0.04294531479164165
2008-07,0.03332731362668163
2008-08,0.03332731362668163
2008-09,0.03332731362668163
2008-10,0.013088865473008672
2008-11,0.013088865473008672
2008-12,0.013088865473008672
2009-01,-0.006841517584606338
2009-02,-0.006841517584606338
2009-03,-0.006841517584606338
2009-04,-0.022188040420845385
2009-05,-0.022188040420845385
2009-06,-0.022188040420845385
2009-07,-0.022256604627367144
2009-08,-0.022256604627367144
2009-09,-0.022256604627367144
2009-10,-0.010100437549112258
2009-11,-0.010100437549112258
2009-12,-0.010100437549112258
2010-01,0.017273177053047404
2010-02,0.017273177053047404
2010-03,0.017273177053047404
2010-04,0.029345093523640096
2010-05,0.029345093523640096
2010-06,0.029345093523640096
