Date,France_GDP_Growth
1981-01,-0.004903206399735362
1981-02,-0.004903206399735362
1981-03,-0.004903206399735362
1981-04,0.009724771641152161
1981-05,0.009724771641152161
1981-06,0.009724771641152161
1981-07,0.015137224757003413
1981-08,0.015137224757003413
1981-09,0.015137224757003413
1981-10,0.022754347323964506
1981-11,0.022754347323964506
1981-12,0.022754347323964506
1982-01,0.028063623546729612
1982-02,0.028063623546729612
1982-03,0.028063623546729612
1982-04,0.028326090525379967
1982-05,0.028326090525379967
1982-06,0.028326090525379967
1982-07,0.02090877662809186
1982-08,0.02090877662809186
1982-09,0.02090877662809186
1982-10,0.021221310398384634
1982-11,0.021221310398384634
1982-12,0.021221310398384634
1983-01,0.016757922537168263
1983-02,0.016757922537168263
1983-03,0.016757922537168263
1983-04,0.009766376558047043
1983-05,0.009766376558047043
1983-06,0.009766376558047043
1983-07,0.01172690257989445
1983-08,0.01172690257989445
1983-09,0.01172690257989445
1983-10,0.011532005516438862
1983-11,0.011532005516438862
1983-12,0.011532005516438862
1984-01,0.01156514441977946
1984-02,0.01156514441977946
1984-03,0.01156514441977946
1984-04,0.01604762059466493
1984-05,0.01604762059466493
1984-06,0.01604762059466493
1984-07,0.021275075960728716
1984-08,0.021275075960728716
1984-09,0.021275075960728716
1984-10,0.01437017855030695
1984-11,0.01437017855030695
1984-12,0.01437017855030695
1985-01,0.01326920035112432
1985-02,0.01326920035112432
1985-03,0.01326920035112432
1985-04,0.017540506263018504
1985-05,0.017540506263018504
1985-06,0.017540506263018504
1985-07,0.016215581957092585
1985-08,0.016215581957092585
1985-09,0.016215581957092585
1985-10,0.02195319672144577
1985-11,0.02195319672144577
1985-12,0.02195319672144577
1986-01,0.022360666922604636
1986-02,0.022360666922604636
1986-03,0.022360666922604636
1986-04,0.024275222880811995
1986-05,0.024275222880811995
1986-06,0.024275222880811995
1986-07,0.024008725557276005
1986-08,0.024008725557276005
1986-09,0.024008725557276005
1986-10,0.020235757201270545
1986-11,0.020235757201270545
1986-12,0.020235757201270545
1987-01,0.018095242784127944
1987-02,0.018095242784127944
1987-03,0.018095242784127944
1987-04,0.022463132226926405
1987-05,0.022463132226926405
1987-06,0.022463132226926405
1987-07,0.02413306018814764
1987-08,0.02413306018814764
1987-09,0.02413306018814764
1987-10,0.0382128143883607
1987-11,0.0382128143883607
1987-12,0.0382128143883607
1988-01,0.04966293792233641
1988-02,0.04966293792233641
1988-03,0.04966293792233641
1988-04,0.04282484148427479
1988-05,0.04282484148427479
1988-06,0.04282484148427479
1988-07,0.04908726531618234
1988-08,0.04908726531618234
1988-09,0.04908726531618234
1988-10,0.042277144732116474
1988-11,0.042277144732116474
1988-12,0.042277144732116474
1989-01,0.04170045791134637
1989-02,0.04170045791134637
1989-03,0.04170045791134637
1989-04,0.045560482788855126
1989-05,0.045560482788855126
1989-06,0.045560482788855126
1989-07,0.043773947144219796
1989-08,0.043773947144219796
1989-09,0.043773947144219796
1989-10,0.050066088252232466
1989-11,0.050066088252232466
1989-12,0.050066088252232466
1990-01,0.041014746050620575
1990-02,0.041014746050620575
1990-03,0.041014746050620575
1990-04,0.03390444950794466
1990-05,0.03390444950794466
1990-06,0.03390444950794466
1990-07,0.028697922850159433
1990-08,0.028697922850159433
1990-09,0.028697922850159433
1990-10,0.012471865683415306
1990-11,0.012471865683415306
1990-12,0.012471865683415306
1991-01,0.011771643270769176
1991-02,0.011771643270769176
1991-03,0.011771643270769176
1991-04,0.0098487052959429
1991-05,0.0098487052959429
1991-06,0.0098487052959429
1991-07,0.007355559634449784
1991-08,0.007355559634449784
1991-09,0.007355559634449784
1991-10,0.014845347469975841
1991-11,0.014845347469975841
1991-12,0.014845347469975841
1992-01,0.020725677193852085
1992-02,0.020725677193852085
1992-03,0.020725677193852085
1992-04,0.018730924121300604
1992-05,0.018730924121300604
1992-06,0.018730924121300604
1992-07,0.01346296196045465
1992-08,0.01346296196045465
1992-09,0.01346296196045465
1992-10,0.006661911055423004
1992-11,0.006661911055423004
1992-12,0.006661911055423004
1993-01,-0.007663527906804487
1993-02,-0.007663527906804487
1993-03,-0.007663527906804487
1993-04,-0.00978624632431198
1993-05,-0.00978624632431198
1993-06,-0.00978624632431198
1993-07,-0.007179070247161954
1993-08,-0.007179070247161954
1993-09,-0.007179070247161954
1993-10,-0.0028386849239787635
1993-11,-0.0028386849239787635
1993-12,-0.0028386849239787635
1994-01,0.01057164545216209
1994-02,0.01057164545216209
1994-03,0.01057164545216209
1994-04,0.021493152064666995
1994-05,0.021493152064666995
1994-06,0.021493152064666995
1994-07,0.02962006716975357
1994-08,0.02962006716975357
1994-09,0.02962006716975357
1994-10,0.03529181116081974
1994-11,0.03529181116081974
1994-12,0.03529181116081974
1995-01,0.031096073666550796
1995-02,0.031096073666550796
1995-03,0.031096073666550796
1995-04,0.027321445809004682
1995-05,0.027321445809004682
1995-06,0.027321445809004682
1995-07,0.019858253065382338
1995-08,0.019858253065382338
1995-09,0.019858253065382338
1995-10,0.010534536755899448
1995-11,0.010534536755899448
1995-12,0.010534536755899448
1996-01,0.014821911272772678
1996-02,0.014821911272772678
1996-03,0.014821911272772678
1996-04,0.009753114727436845
1996-05,0.009753114727436845
1996-06,0.009753114727436845
1996-07,0.012443420047216651
1996-08,0.012443420047216651
1996-09,0.012443420047216651
1996-10,0.016255403008399224
1996-11,0.016255403008399224
1996-12,0.016255403008399224
1997-01,0.012267918075623215
1997-02,0.012267918075623215
1997-03,0.012267918075623215
1997-04,0.02118082594510316
1997-05,0.02118082594510316
