Date,Korea_Rep._of_GDP_Growth
1966-01,0.0798893794575712
1966-02,0.0798893794575712
1966-03,0.0798893794575712
1966-04,0.1441890635891875
1966-05,0.1441890635891875
1966-06,0.1441890635891875
1966-07,0.1333743205394697
1966-08,0.1333743205394697
1966-09,0.1333743205394697
1966-10,0.12228569248815098
1966-11,0.12228569248815098
1966-12,0.12228569248815098
1967-01,0.09310976924735821
1967-02,0.09310976924735821
1967-03,0.09310976924735821
1967-04,0.05084573662433048
1967-05,0.05084573662433048
1967-06,0.05084573662433048
1967-07,0.11359761662849369
1967-08,0.11359761662849369
1967-09,0.11359761662849369
1967-10,0.10622514530437442
1967-11,0.10622514530437442
1967-12,0.10622514530437442
1968-01,0.13825729551993424
1968-02,0.13825729551993424
1968-03,0.13825729551993424
1968-04,0.1313873902890732
1968-05,0.1313873902890732
1968-06,0.1313873902890732
1968-07,0.14217009069751257
1968-08,0.14217009069751257
1968-09,0.14217009069751257
1968-10,0.11531282405807121
1968-11,0.11531282405807121
1968-12,0.11531282405807121
1969-01,0.10218171576309498
1969-02,0.10218171576309498
1969-03,0.10218171576309498
1969-04,0.1236949048801839
1969-05,0.1236949048801839
1969-06,0.1236949048801839
1969-07,0.15500480645554368
1969-08,0.15500480645554368
1969-09,0.15500480645554368
1969-10,0.19868867814073293
1969-11,0.19868867814073293
1969-12,0.19868867814073293
1970-01,0.12108008229697677
1970-02,0.12108008229697677
1970-03,0.12108008229697677
1970-04,0.12724290156884355
1970-05,0.12724290156884355
1970-06,0.12724290156884355
1970-07,0.04960290713008821
1970-08,0.04960290713008821
1970-09,0.04960290713008821
1970-10,0.108184043298898
1970-11,0.108184043298898
1970-12,0.108184043298898
1971-01,0.13360842095419556
1971-02,0.13360842095419556
1971-03,0.13360842095419556
1971-04,0.12528585154261507
1971-05,0.12528585154261507
1971-06,0.12528585154261507
1971-07,0.12052848479433544
1971-08,0.12052848479433544
1971-09,0.12052848479433544
1971-10,0.048186649384316264
1971-11,0.048186649384316264
1971-12,0.048186649384316264
1972-01,0.05732198373866373
1972-02,0.05732198373866373
1972-03,0.05732198373866373
1972-04,0.054230433154412686
1972-05,0.054230433154412686
1972-06,0.054230433154412686
1972-07,0.0695398231852568
1972-08,0.0695398231852568
1972-09,0.0695398231852568
1972-10,0.10669786168997225
1972-11,0.10669786168997225
1972-12,0.10669786168997225
1973-01,0.1270998415213946
1973-02,0.1270998415213946
1973-03,0.1270998415213946
1973-04,0.14074814337678085
1973-05,0.14074814337678085
1973-06,0.14074814337678085
1973-07,0.17937618816863607
1973-08,0.17937618816863607
1973-09,0.17937618816863607
1973-10,0.14765352641458837
1973-11,0.14765352641458837
1973-12,0.14765352641458837
1974-01,0.15729428052262698
1974-02,0.15729428052262698
1974-03,0.15729428052262698
1974-04,0.10769639572685413
1974-05,0.10769639572685413
1974-06,0.10769639572685413
1974-07,0.07049420614508145
1974-08,0.07049420614508145
1974-09,0.07049420614508145
1974-10,0.05162476243885721
1974-11,0.05162476243885721
1974-12,0.05162476243885721
1975-01,0.02375727578253214
1975-02,0.02375727578253214
1975-03,0.02375727578253214
1975-04,0.0747885993583016
1975-05,0.0747885993583016
1975-06,0.0747885993583016
1975-07,0.08851621665510268
1975-08,0.08851621665510268
1975-09,0.08851621665510268
1975-10,0.12594433252355278
1975-11,0.12594433252355278
1975-12,0.12594433252355278
1976-01,0.1423104450579145
1976-02,0.1423104450579145
1976-03,0.1423104450579145
1976-04,0.1433922125930705
1976-05,0.1433922125930705
1976-06,0.1433922125930705
1976-07,0.1331898013155218
1976-08,0.1331898013155218
1976-09,0.1331898013155218
1976-10,0.11163297055331353
1976-11,0.11163297055331353
1976-12,0.11163297055331353
1977-01,0.09123660588701635
1977-02,0.09123660588701635
1977-03,0.09123660588701635
1977-04,0.09400601472570777
1977-05,0.09400601472570777
1977-06,0.09400601472570777
1977-07,0.1376745466350311
1977-08,0.1376745466350311
1977-09,0.1376745466350311
1977-10,0.1674142409950826
1977-11,0.1674142409950826
1977-12,0.1674142409950826
1978-01,0.14648836289602038
1978-02,0.14648836289602038
1978-03,0.14648836289602038
1978-04,0.12476476442987262
1978-05,0.12476476442987262
1978-06,0.12476476442987262
1978-07,0.08073385809376783
1978-08,0.08073385809376783
1978-09,0.08073385809376783
1978-10,0.09145261237058533
1978-11,0.09145261237058533
1978-12,0.09145261237058533
1979-01,0.14972238617577696
1979-02,0.14972238617577696
1979-03,0.14972238617577696
1979-04,0.12377489254747988
1979-05,0.12377489254747988
1979-06,0.12377489254747988
1979-07,0.07272683027729446
1979-08,0.07272683027729446
1979-09,0.07272683027729446
1979-10,0.008073860615025229
1979-11,0.008073860615025229
1979-12,0.008073860615025229
1980-01,-0.02665745119652953
1980-02,-0.02665745119652953
1980-03,-0.02665745119652953
1980-04,-0.039171182855466516
1980-05,-0.039171182855466516
1980-06,-0.039171182855466516
1980-07,0.006884880711218386
1980-08,0.006884880711218386
1980-09,0.006884880711218386
1980-10,-0.0058646568047064675
1980-11,-0.0058646568047064675
1980-12,-0.0058646568047064675
1981-01,0.025953654677343122
1981-02,0.025953654677343122
1981-03,0.025953654677343122
1981-04,0.0564358026675237
1981-05,0.0564358026675237
1981-06,0.0564358026675237
1981-07,0.07996962978984175
1981-08,0.07996962978984175
1981-09,0.07996962978984175
1981-10,0.12811298021224338
1981-11,0.12811298021224338
1981-12,0.12811298021224338
1982-01,0.09087773178439489
1982-02,0.09087773178439489
1982-03,0.09087773178439489
1982-04,0.09016197516699478
1982-05,0.09016197516699478
