Date,equity_index_gdp,equity_index_cpi,equity_index_interest_rate,equity_index_exchange_rate,integrated_equity_index,government_bond_gdp,government_bond_cpi,government_bond_interest_rate,government_bond_exchange_rate,integrated_government_bond,currency_gdp,currency_cpi,currency_interest_rate,currency_exchange_rate,integrated_currency,integrated_gdp,integrated_cpi,integrated_interest_rate,integrated_exchange_rate,integrated_global_macro
1970-01-01,,,,,,,,,,,,,,,,,,,,
1970-02-01,,,,,,,,,,,,,,,,,,,,
1970-03-01,,,,,,,,,,,,,,,,,,,,
1970-04-01,,,,,,,,,,,,,,,,,,,,
1970-05-01,,,,,,,,,,,,,,,,,,,,
1970-06-01,,,,,,,,,,,,,,,,,,,,
1970-07-01,,,,,,,,,,,,,,,,,,,,
1970-08-01,,,,,,,,,,,,,,,,,,,,
1970-09-01,,,,,,,,,,,,,,,,,,,,
1970-10-01,,,,,,,,,,,,,,,,,,,,
1970-11-01,,,,,,,,,,,,,,,,,,,,
1970-12-01,,,,,,,,,,,,,,,,,,,,
1971-01-01,,,,,,,,,,,,,,,,,,,,
1971-02-01,,,,,,,,,,,,,,,,,,,,
1971-03-01,,,,,,,,,,,,,,,,,,,,
1971-04-01,,,,,,,,,,,,,,,,,,,,
1971-05-01,,,,,,,,,,,,,,,,,,,,
1971-06-01,,,,,,,,,,,,,,,,,,,,
1971-07-01,,,,,,,,,,,,,,,,,,,,
1971-08-01,,,,,,,,,,,,,,,,,,,,
1971-09-01,,,,,,,,,,,,,,,,,,,,
1971-10-01,,,,,,,,,,,,,,,,,,,,
1971-11-01,,,,,,,,,,,,,,,,,,,,
1971-12-01,,,,,,,,,,,,,,,,,,,,
1972-01-01,,,,,,,,,,,,,,,,,,,,
1972-02-01,,,,,,,,,,,,,,,,,,,,
1972-03-01,,,,,,,,,,,,,,,,,,,,
1972-04-01,,,,,,,,,,,,,,,,,,,,
1972-05-01,,,,,,,,,,,,,,,,,,,,
1972-06-01,,,,,,,,,,,,,,,,,,,,
1972-07-01,,,,,,,,,,,,,,,,,,,,
1972-08-01,,,,,,,,,,,,,,,,,,,,
1972-09-01,,,,,,,,,,,,,,,,,,,,
1972-10-01,,,,,,,,,,,,,,,,,,,,
1972-11-01,,,,,,,,,,,,,,,,,,,,
1972-12-01,,,,,,,,,,,,,,,,,,,,
1973-01-01,-0.018831269367715692,-0.018831269367715692,-0.0,-0.0,-0.018831269367715692,,,,,,,,,,,-0.018831269367715692,-0.018831269367715692,-0.0,-0.0,-0.018831269367715692
1973-02-01,-0.03718312756185293,0.03718312756185293,-0.0,-0.0,-0.0,,,,,,,,,,,-0.03718312756185293,0.03718312756185293,-0.0,-0.0,-0.0
1973-03-01,-0.010477843200773518,0.010477843200773518,-0.0,-0.0,-0.0,,,,,,,,,,,-0.010477843200773518,0.010477843200773518,-0.0,-0.0,-0.0
1973-04-01,-0.030809758264220825,0.030809758264220825,-0.0,-0.0,-0.0,,,,,,,,,,,-0.030809758264220825,0.030809758264220825,-0.0,-0.0,-0.0
1973-05-01,-0.014634814634902057,0.014634814634902057,-0.0,-0.0,-0.0,,,,,,,,,,,-0.014634814634902057,0.014634814634902057,-0.0,-0.0,-0.0
1973-06-01,-8.934892908991778e-05,8.934892908991778e-05,-0.0,-0.0,-0.0,,,,,,,,,,,-8.934892908991778e-05,8.934892908991778e-05,-0.0,-0.0,-0.0
1973-07-01,0.03458451631489461,-0.03458451631489461,0.0,0.0,0.0,,,,,,,,,,,0.03458451631489461,-0.03458451631489461,0.0,0.0,0.0
1973-08-01,-0.03303254464717992,0.03303254464717992,-0.0,-0.0,-0.0,,,,,,,,,,,-0.03303254464717992,0.03303254464717992,-0.0,-0.0,-0.0
1973-09-01,0.032293418374501746,-0.032293418374501746,0.0,0.0,0.0,,,,,,,,,,,0.032293418374501746,-0.032293418374501746,0.0,0.0,0.0
1973-10-01,0.002587607369033029,-0.002587607369033029,0.0,0.0,0.0,,,,,,,,,,,0.002587607369033029,-0.002587607369033029,0.0,0.0,0.0
1973-11-01,-0.0879199736281612,0.0879199736281612,-0.0,-0.0,-0.0,,,,,,,,,,,-0.0879199736281612,0.0879199736281612,-0.0,-0.0,-0.0
1973-12-01,0.01305155832415915,-0.01305155832415915,0.0,0.0,0.0,,,,,,,,,,,0.01305155832415915,-0.01305155832415915,0.0,0.0,0.0
1974-01-01,0.01645808850556141,0.01645808850556141,-0.0,-0.0,0.01645808850556141,,,,,,,,,,,0.01645808850556141,0.01645808850556141,-0.0,-0.0,0.01645808850556141
