Date,equity_index_gdp,equity_index_cpi,equity_index_interest_rate,equity_index_exchange_rate,integrated_equity_index,government_bond_gdp,government_bond_cpi,government_bond_interest_rate,government_bond_exchange_rate,integrated_government_bond,currency_gdp,currency_cpi,currency_interest_rate,currency_exchange_rate,integrated_currency,integrated_gdp,integrated_cpi,integrated_interest_rate,integrated_exchange_rate,integrated_global_macro
1974-02-01,0.05598200033353304,-0.022822836517018705,-0.04156704874279623,0.0,-0.01220613694120762,,,,,,0.05037958183115417,0.05098118876744627,0.006022984984101992,0.0,0.04223431577430133,0.0655660446961056,0.019272536028348948,-0.03166518995163915,0.0,0.03491071916761074
1974-03-01,-0.05931459370484896,0.037659503923205835,0.06364005988958618,0.0,0.03652783182988856,,,,,,0.024936398820753956,0.03405936512275283,0.034377683368321206,0.0,0.032770802721234435,-0.013740420667803678,0.04614988832778481,0.07535194537623155,0.0,0.04317042278039071
1974-04-01,-0.04472995104201968,0.009858820713589518,-0.012823102703201942,0.0,-0.012491832379670298,,,,,,0.03251748298473026,0.027031592662898715,0.011231108339621047,0.0,0.029896817987457778,-0.0014880025148402188,0.028389409343074486,0.0004814937225007077,0.0,0.017979697843146642
1974-05-01,-0.021900634695507154,0.03669187974187955,0.06495269114015118,0.0,0.039461119365587584,,,,,,0.009388544456521736,-0.008501366844971953,-0.011308739595055139,0.0,-0.005483658290394534,-0.010146636202737109,0.01985801683549015,0.04643211482308963,0.0,0.022779906010797175
1974-06-01,0.010930601727111888,0.03295889547443196,0.041471503663251,0.0,0.03811703366318868,,,,,,-0.036685152233795655,-0.023128155267080605,-0.000520208682966162,0.0,-0.025573643280592955,-0.023456434909937065,0.007678591409128995,0.03313261872018826,0.0,0.006383856843905279
1974-07-01,0.047083382451590085,0.042007098769862715,0.05358519519004215,0.0,0.04803968311054429,,,,,,0.021891433814097715,-0.03844446551875286,-0.0025342962410649416,0.0,-0.026217635945158246,0.044859850654257225,0.014920146332688988,0.04322406962928943,0.0,0.04630256371231864
1974-08-01,0.06393145268943572,0.07520086483496632,0.044966614259467866,0.0,0.06636636953722316,,,,,,0.03157975299710988,-0.018144088890895155,-0.02294938193221566,0.0,-0.003438360304039051,0.0599772029674237,0.07072584174063498,0.015678413621359185,0.0,0.07192701266889516
1974-09-01,0.08646005314988288,0.05642735236779234,0.08441993140860515,0.0,0.07636531632517207,,,,,,0.05496259536398542,0.0017772800162763165,-0.07248415503626479,0.0,0.005413814164408004,0.08406269388637186,0.04656904878818547,0.018270749894894734,0.0,0.07825803689808268
1974-10-01,-0.0702674278731666,-0.03692597897396795,-0.0585756109957049,0.0,-0.06357659519882483,,,,,,-0.005045107875630287,0.0022629521940200413,4.581546262405853e-05,0.0,-0.004641119197501849,-0.053165092436702414,-0.04017513618231916,-0.044379756713029336,0.0,-0.06607462267967674
1974-11-01,0.03713632541822727,0.025929301370549173,0.030156920242934173,0.0,0.03228071288664789,,,,,,0.007914172173714472,-0.0026793703495073627,-0.0001037554512172924,0.0,0.004272250849758434,0.02889864299554807,0.021564896951782576,0.024604584007962994,0.0,0.03339929388668392
1974-12-01,0.004908168624553482,0.00848768724539917,0.01603209767520383,0.0,0.009444211271952717,,,,,,0.003272255342977901,-0.005773318448980899,-0.005295717875027168,0.0,-0.011663145229809687,0.005185202689142333,0.002546776432803332,0.005533096583990888,0.0,0.006166386651907305
1975-01-01,-0.09921793621776948,-0.09272232950605468,0.07781437738597928,0.0,-0.08634154212592325,,,,,,0.007570745762985586,-0.0013801364008833663,-0.006005008667890831,0.0,0.003617034542936624,-0.06580311891111755,-0.0763905693620909,0.045542310996388266,0.0,-0.08423391675407349
1975-02-01,-0.03149564189524229,-0.054891614356828544,0.05513386827248086,0.0,-0.03534784754718629,,,,,,-0.024848459762262066,0.030399598584021702,-0.004582714610662379,0.0,0.020151624118649555,-0.03475361773723165,-0.016439424052779168,0.03136756489957894,0.0,-0.02838228434917858
1975-03-01,0.010473063335980056,0.004952727620395648,-0.010465790209654125,0.0,0.006289298084294129,,,,,,0.024789198018177507,-0.02350411698098324,0.0025522586864709616,0.0,-0.0070299094673971696,0.02027193560557538,-0.015841680289971002,-0.0035537808821205497,0.0,0.004372781530258401
1975-04-01,-0.016654160283303333,-0.022736219279653223,0.03713818720477954,0.0,-0.013072420299327195,,,,,,0.05696709785591163,-0.06999022554678273,0.014512473085888713,0.0,0.006809532779029378,0.019790935534693497,-0.06509857538153387,0.04327737596937263,0.0,-0.011632943843991076
1975-05-01,-0.02010808292500948,-0.016808654711126657,0.02126826264457901,0.0,-0.0176188356232129,,,,,,0.01448138365573876,-0.018573255237677673,0.008869579125606234,0.0,0.003782710052835395,-0.00637118703699569,-0.02498245537822087,0.02730124102178376,0.0,-0.01159076812846591
1975-06-01,0.004163503068724376,0.034358320484939656,-0.025207488874897436,0.0,0.009400887632579484,,,,,,0.0525500298802749,-0.07375362817653977,0.0480096649596276,0.0,0.017833912060898207,0.030663773166399125,-0.04545677269570615,0.022009652193157432,0.0,0.015973984855530865
1975-07-01,0.01739247741087916,0.006444516859299967,-0.012584353205045055,0.0,0.010155353754261407,,,,,,0.002213782874858342,-0.01261149603917989,0.028297771456349707,0.0,0.011400954615408012,0.013938089696575506,-0.00014961345704520083,0.013699446481941494,0.0,0.015780436137563407
1975-08-01,0.02443892998060793,-0.033674609205915286,0.011317052775429482,0.0,0.0012401758945353764,,,,,,-0.004159808683069592,-0.01639719943032978,0.027003341889851568,0.0,0.004081121197847435,0.013436147473807824,-0.03352845807027315,0.034227586698504224,0.0,0.004262701771621771
1975-09-01,0.009917342919632591,-0.03689378368922265,0.008639168250611194,0.0,-0.02106020523753453,,,,,,-0.03861222677673609,-0.11490381516826464,0.03564379472829188,0.0,-0.06150356839572333,-0.017695937492283476,-0.10058111226508391,0.038828144896887636,0.0,-0.06818509064197285
1975-10-01,0.01099608189939428,0.055656624722825995,0.012109009595992662,0.0,0.051138050425918576,,,,,,-0.008534089027051356,0.03193890119008718,-0.018846753124950454,0.0,0.012666998475671612,-0.007275850238906267,0.05843178285496254,-0.005524657776103135,0.0,0.04903061310571651
1975-11-01,-0.02805417959361623,-0.0083387497318247,0.023400132306552822,0.0,-0.010179507042727493,,,,,,-0.043147068007706096,0.004352037759272808,-0.024123131425333545,0.0,-0.03427118802498203,-0.05646255348147633,-0.00023274918185859386,-0.007021075510717712,0.0,-0.035138259765193726
1975-12-01,0.03533976250186725,-0.013890731370194453,-0.0007673184273768642,0.0,0.005965665580575074,,,,,,0.018767560282214116,0.024301498887836222,0.00484308811811563,0.0,0.029051109823402123,0.03691482811504772,0.007534254569399891,0.004067351173720285,0.0,0.03191988436443575
1976-01-01,-0.014840003433811245,0.056024651271885904,0.014080993296858836,0.0,0.0331792039226225,,,,,,-0.048290889505630194,-0.04725364805819846,-0.003375778970324226,0.0,-0.05434277123309494,-0.04602796692433121,0.0060944530527004106,0.009600003337255825,0.0,-0.01731755125596515
1976-02-01,-0.014409930642469485,0.01511055448931623,-0.0020495307336303855,0.0,0.002470655735067523,,,,,,-0.04469528585212107,-0.0418223773409635,0.0005323186644496662,0.0,-0.03982109311565166,-0.043694154175122686,-0.026754102198526326,-0.0012110117251141837,0.0,-0.03332222247974926
1976-03-01,0.02096418872299216,0.008694940515025241,-0.012209356182530351,0.0,0.006309062755951597,,,,,,0.020722590298410115,-0.03446563237249107,0.04868222196924985,0.0,0.01098868981902019,0.029941629276001275,-0.031280358505926795,0.04063524671501834,0.0,0.015814531017812862
1976-04-01,0.0025457386902636445,0.003354896573811319,0.0033191846704740285,0.0,0.003313526841028513,,,,,,-0.014052954630521098,-0.0357990743034102,0.03551642237078221,0.0,-0.03010338181057427,-0.0058298461869431455,-0.0382005077432963,0.04173332630477763,0.0,-0.007539886648046452
1976-05-01,-0.007471454493573724,0.009777353788028692,0.025223221096596395,0.0,0.00407966132335614,,,,,,-0.03034092404892138,0.0017835835252733017,-0.023309450291715005,0.0,-0.04762241050170482,-0.021069171353114573,0.009943842464792532,-0.014227909010936887,0.0,-0.0190926671129484
1976-06-01,0.004772904906026692,0.020445017705901177,0.0029717576525006215,0.0,0.011827916856936497,,,,,,0.03541310861448712,-0.03801143725597768,0.0059977130044601736,0.0,0.0007959731265470105,0.022008376048185844,-0.029122192131330656,0.010780380825374844,0.0,0.01049262665068899
1976-07-01,0.0034528786531145246,-0.009146845592285801,0.03722196266564638,0.0,0.003243658205662884,,,,,,-0.010223737217506974,-0.0003989768536625356,-0.00548161141934187,0.0,-0.018041521336658838,-0.0033100151536325385,-0.007080928867189436,0.020730270627431723,0.0,-0.001868369937311255
1976-08-01,-0.005673617321816795,0.000796124014203966,0.009339308318635475,0.0,-0.001042008170421292,,,,,,-0.012362307850937468,0.00632208628603008,-0.00872705871258125,0.0,-0.016012923478038996,-0.010796290512395917,0.006332085736778033,-0.0029469829835739253,0.0,-0.00610209935605491
1976-09-01,-0.015212869679274831,-0.0059839113931216565,0.029603149373956063,0.0,-0.0036102452774332233,,,,,,-0.016119498896903523,0.07266880633887096,-0.05079741603914485,0.0,0.04691117916784085,-0.018404266300922206,0.07987046457800447,-0.025387514799282453,0.0,0.03353380878068965
1976-10-01,-0.01902629135683447,-0.02848025137054065,0.025808934761155193,0.0,-0.021831228606612685,,,,,,0.005269697587520735,0.05198288505110866,-0.012143693468107153,0.0,0.08030536996939307,-0.008823229506571082,0.036937449342658725,0.014084997877307682,0.0,0.04090107939161079
1976-11-01,0.01290933629049927,-0.014930190641684207,0.0246238299971017,0.0,0.005412108103356775,,,,,,0.006052126618208657,0.02764687559946338,-0.11688650729598382,0.0,-0.0320941023730741,0.0008263740037239185,0.014336484585641575,-0.08072458963438303,0.0,-0.01724889599418566
1976-12-01,0.047068640997575836,0.06855923608165629,-0.04575408616244293,0.0,0.06159454397366193,,,,,,0.009662732769707234,-0.05642801599468571,0.0638825183741834,0.0,-0.033802254646117705,0.04600845996212037,-0.003728218365427962,0.012909839680423302,0.0,0.036018219933292316
1977-01-01,-0.0039561422105215995,-0.0114313438272138,-0.013755247401345915,0.0,-0.015363404771622437,,,,,,-0.010764082184208738,0.05250954665545266,0.005166968961148765,0.0,0.05154156801922453,-0.008941369304393506,0.04772254123730367,-0.008565784289652469,0.0,0.0224220212363447
1977-02-01,-0.0063591425032661,-0.018048848655595758,0.003021144087398429,0.0,-0.014745483552661361,,,,,,-0.031098840600062627,0.04002117411910771,0.0024073179504860674,0.0,0.008179929327010766,-0.021483016866874982,0.0206770258376661,0.004989401154231979,0.0,-0.0036234641163429937
1977-03-01,0.005025522890346534,0.003052703614225596,-0.0126865959278924,0.0,0.00034773377663738957,,,,,,-0.008728611420816981,0.026650830335721905,0.008412075074300187,0.0,0.016484825435131162,-0.002018604287168518,0.02225548970440831,-0.005154996543200633,0.0,0.010112093554583037
1977-04-01,-0.0026889995729707026,-0.005874141359353573,-0.0011864717597577183,0.0,-0.006293360345952562,,,,,,0.012591601654779067,-0.013214357798126438,0.00033596406956682166,0.0,-0.001836653289257753,0.005152131892237793,-0.01356683099881101,-0.0009525462166411743,0.0,-0.004573121061343463
1977-05-01,-0.000550655799508342,-0.005680992187847415,-0.0073299191161812095,0.0,-0.004314871724579654,,,,,,-0.005415741183924169,0.005807967947809023,-0.0008366000209057609,0.0,0.00020253586363725343,-0.003641598892700427,-0.00013952718961551529,-0.007524749775862392,0.0,-0.0036135989008786685
1977-06-01,0.01344871657078708,-0.010598266005858507,0.006304914571782662,0.0,0.008392946574606304,,,,,,-0.007445329957121228,-0.01965315584948934,0.006226187049948921,0.0,-0.01976527658545437,0.004739270928319859,-0.03187330109907767,0.012944946008131617,0.0,-0.012698843504527994
1977-07-01,0.012150303715430655,-0.0045666073263740305,0.013134801142474763,0.0,0.009012165447039915,,,,,,0.01396835892984996,0.008391027149039231,-0.0033485214252196886,0.0,0.013760731355203261,0.015498183593927004,0.006297169127623946,0.006556471472861075,0.0,0.015162672160283682
1977-08-01,0.0325757573848189,-0.03345431503593008,0.03765095413955096,0.0,0.012848263264863425,,,,,,0.01612678596322828,0.008746539332522793,-0.014643836724053892,0.0,0.011264903918170246,0.026305216844958717,-0.00411169731673205,0.01970346211812343,0.0,0.016615522870423616
1977-09-01,0.00868685311360472,-0.00542848179301989,0.016102149491782788,0.0,0.008819818792033722,,,,,,-0.0006689945236426861,-0.00967147529052384,-0.0015159546388897572,0.0,-0.008411058295433907,0.003978736516461927,-0.011493407724752372,0.013659692676706001,0.0,-0.001507074316428814
1977-10-01,0.06218998237049003,0.02959182859806849,-0.01885043806381976,0.0,0.04281967300823287,,,,,,0.0964406345728033,-0.04395173816677879,-0.04149851391417496,0.0,0.0010902120471781248,0.0936842572534673,-0.014274130336254933,-0.062058461071015994,0.0,0.029238099155801972
1977-11-01,-0.043364042654363694,-0.012750528471910714,0.001136890084262767,0.0,-0.033832063179761694,,,,,,-0.006422600090480763,-0.020658658481721562,0.014773586169763191,0.0,-0.01955982575583782,-0.02663253437861736,-0.02403877818133691,0.017309160750915556,0.0,-0.032901749456416406
1977-12-01,0.01520523134987826,-0.02293871722357067,0.03027421838681576,0.0,0.012107030407911926,,,,,,0.013422201022993342,0.021548639000624308,-0.04574339542002511,0.0,0.008256023314919895,0.01534328553733767,0.005550088713435179,-0.017074715105636358,0.0,0.008928849416269553
1978-01-01,0.013891828486857816,0.06040600029202202,-0.016991019614595197,0.0,0.05031912450034193,,,,,,0.011989440188815965,0.010460372751349823,-0.008810118637445909,0.0,0.011478493754907653,0.011645023619742657,0.044013119308029765,-0.02868504242802109,0.0,0.032805994356697975
1978-02-01,0.0155885963833535,0.014869640931972572,-0.02813440232822939,0.0,0.005235831222639671,,,,,,0.01118657244566621,-0.01613181519935357,0.0030874177798190785,0.0,-0.0048135249751487435,0.012149172715529651,-0.006159107381691625,-0.03143201711527121,0.0,-0.0023211321170333744
1978-03-01,-0.020127733752744688,0.015700224945971113,0.020508255677274476,0.0,0.010935236778999814,,,,,,0.03554395268181267,-0.03798663110528598,0.02412436669238467,0.0,-0.0011847139904813699,0.01330260792755346,-0.03639119931551196,0.05230393674739474,0.0,0.00035218573330012784
1978-04-01,0.01454168531874955,-0.0348368406699473,0.014246840958055756,0.0,-0.005367496526657454,,,,,,0.008408321945677534,-0.023362304857192005,0.017770441293850824,0.0,-0.008737485947742174,0.021152219185533647,-0.05663650557049752,0.036414808954688585,0.0,-0.015029443075710283
1978-05-01,-0.03313517445392951,0.002386452278744891,0.025139808663868838,0.0,-0.01039382260578151,,,,,,-0.009487457773847493,-0.015935000604869826,0.0022622420672575084,0.0,-0.015985450533465295,-0.022906425657965423,-0.027234858695185275,0.0317919777756292,0.0,-0.02452999855297085
1978-06-01,0.0010446149114471713,0.034717247887522965,0.003844151644501579,0.0,0.03674226516678704,,,,,,-0.010509553038562193,-0.04132730694945972,-0.0031563874461393022,0.0,-0.04751208381922833,-0.008412824911495524,-0.03194350306954591,0.0029055501816603775,0.0,-0.02645230497837038
1978-07-01,-0.03166157572580418,0.056617416374741616,-0.007858370073867397,0.0,0.017689454459106756,,,,,,-0.02689652294493281,-0.051389190549812,0.017882124518174843,0.0,-0.04254151751614938,-0.019861140763258185,-0.024630466851348953,0.019367233450331797,0.0,-0.029109614272540694
1978-08-01,-0.015685390486731694,-0.014950596457315038,0.011876573870719455,0.0,-0.021666022284995555,,,,,,0.0013639630800927117,0.002861085902192379,0.010030706117877354,0.0,0.005598789801652206,0.008386301526538447,-0.020170218340246505,0.024681758106562066,0.0,-0.003330824200822726
1978-09-01,-0.021053083218675227,0.006197682952145828,0.011823767053419318,0.0,-0.008278052309649587,,,,,,0.03205954451305555,-0.039645231341442946,0.010293022589944606,0.0,-0.01799362576679608,0.0067654638428827915,-0.04293271029945571,0.026699541777865248,0.0,-0.020511901514281734
1978-10-01,-0.03474852113520493,0.06235571053723812,-0.015117332000272477,0.0,0.019776433030460415,,,,,,0.03511249939285333,-0.03051676968724064,0.0022492039188143553,0.0,-0.017352789446680898,-0.02565422015126286,0.005635021157578195,-0.01146227490035918,0.0,-0.018179632179339968
1978-11-01,0.028544008340925076,-0.05228625323632739,-0.012221608794325102,0.0,-0.037355381487775986,,,,,,-0.014309328231519166,0.0594772139717638,-0.005525573299221715,0.0,0.05254623246943241,0.015585545998826987,0.05473868756756519,-0.02330911048825519,0.0,0.05257886322149298
1978-12-01,0.00467002787811332,0.026565057380019123,0.010651174859825753,0.0,0.02587230097312243,,,,,,-0.0015023429385977226,-0.014898272656050192,0.03320985346707508,0.0,-0.004153316204683617,0.007788116394791468,-0.021081941641611632,0.05035214435900244,0.0,1.8297552637180166e-05
1979-01-01,-0.006744998816739715,-0.026366281408848995,0.019113271921406924,0.0,-0.013978291550180277,,,,,,-0.02168413949939359,0.016429663167406114,-0.011340971690193557,0.0,-0.0018450382071043363,-0.024180446222071886,-0.02436556732303493,0.0064350208481436764,0.0,-0.03628881688795091
1979-02-01,0.04910912172509676,0.030137025564559834,-0.020538132167133013,0.0,0.03601910670525664,,,,,,0.0036191550570025066,0.06756973884664991,0.018132167068024795,0.0,0.09870147810671706,0.03652606252048365,0.10688629594704402,0.00041533433763440075,0.0,0.10420475184558851
1979-03-01,0.03584034062372003,0.02094296246418799,-0.046762490290615834,0.0,0.015566585152281228,,,,,,0.04002269976206788,-0.01226168930920019,0.022649883367903384,0.0,0.029263950028637218,0.026702200885793795,-0.008522196916676612,-0.02211351756409257,0.0,0.010448260439482888
1979-04-01,-0.005653393893977477,0.008055041824671929,-0.032009308573879264,0.0,-0.010734894602235845,,,,,,-0.03208306065185815,-0.009950257976364478,0.01180980778430358,0.0,-0.021179927418040815,-0.023683246074164752,-0.0026451399815003093,-0.021747781564323585,0.0,-0.02457920476278085
1979-05-01,-0.031166858003567503,0.047208263323677016,0.012201027711208259,0.0,0.030169403433508764,,,,,,0.028782304317095865,0.03134784911382463,0.001255324519593125,0.0,0.03698009564066688,-0.009691150098988396,0.05023338821415066,0.015092595553850438,0.0,0.04161136680481359
1979-06-01,-0.0073096254285021055,-0.026419840657031256,0.0034032331455832255,0.0,-0.028496893384643007,,,,,,0.04610203999939256,-0.0004376258982039162,0.04346846150000762,0.0,0.031085010109295864,0.032764042333170214,-0.008687341527637152,0.050275849670071183,0.0,0.02457169977898795
1979-07-01,0.022537753828392054,0.011527503856503682,-0.003613668678573881,0.0,0.025143976128782237,,,,,,0.023508451083688087,0.037668382923160076,0.0260026410231166,0.0,0.04345122468214883,0.03140894708035999,0.018025784116024957,0.025043953315616728,0.0,0.04042785452307714
1979-08-01,0.031621565637552224,-0.044757825723385096,-0.0412584321590441,0.0,-0.04979890863191941,,,,,,-0.006138444567513712,0.012430556218931074,-0.0012814858137160739,0.0,0.005947467246286535,0.02265829255910228,-0.0335402737804486,-0.0425430828757378,0.0,-0.028920956089907964
1979-09-01,2.6581444758032166e-05,0.024000392706261725,-0.02137524292240277,0.0,0.0022242010805076386,,,,,,-0.01943231560615278,0.013490727975014511,-0.01382317730641334,0.0,-0.0019462166813736038,-0.01730371524434587,0.007856033504568894,-0.036079283378632476,0.0,-0.012567941592028741
1979-10-01,-0.028152621520388176,0.00014505283201869112,0.03440941885090273,0.0,0.0014838078799401897,,,,,,-0.055432958887595155,0.004304615925421465,-0.05230095394021788,0.0,-0.04536536648140815,-0.03783517544916037,0.00768995239988869,-0.022002771021833373,0.0,-0.02113539389363864
1979-11-01,0.010485064956019039,-0.025700650225772788,-0.004685007035878027,0.0,-0.0137176144365907,,,,,,0.035322436548132254,0.05878810042729703,0.03576154754997542,0.0,0.06205174773540935,0.023332406470109396,0.020392618570842767,0.03124511334357284,0.0,0.033900017856212
1979-12-01,0.046013733635432194,0.002264650922285216,-0.03614180661586066,0.0,0.012373955434895629,,,,,,0.013853826083376191,0.013406890199068927,0.01711258635873711,0.0,0.017245869935741343,0.03330393526496781,0.010068364479968901,-0.020226062015911952,0.0,0.017588644308422875
1980-01-01,-0.03544250636517259,-0.0684833956763726,-0.09612975485938492,0.0,-0.07301989644584217,,,,,,-0.026428259993487174,0.009129483316386197,0.013708591317821138,0.0,0.006474767495907833,-0.03990789122092873,-0.012745245649749541,-0.06641861235741192,0.0,-0.041155895718408865
1980-02-01,-0.03426242133520953,-0.013991729333892962,-0.024187218822522734,-0.054843493781555196,-0.03282696863163675,,,,,,-0.022022438913102706,0.017818654750095978,-0.007522768360903838,0.04584588377167321,0.021625873910178995,-0.027561770916165292,0.00478475367394088,-0.025584472254123334,0.010803453605447922,-0.011845604272517761
1980-03-01,0.07125715292803292,0.08171430108641581,0.08454570745097614,0.08914944634285704,0.08787838256233366,,,,,,0.058708166302318454,-0.04463080439195875,-0.04525241540075367,-0.060409570973291186,-0.0463397560377724,0.0738075141896687,0.023840093341061127,0.031998455209300385,0.0030451329223506332,0.05025437971268073
1980-04-01,-0.020445066537393936,-0.04832784166299794,-0.03841286570043871,-0.02888892596010759,-0.051459818563720165,,,,,,-0.0006699351251972977,0.05006009867050679,0.0582610091968658,0.06587694167815328,0.06677821296421568,-0.015578222597618792,0.015504317328018598,0.019565185579524705,0.056827856438113285,0.028465616448849044
1980-05-01,0.04356429449596607,-0.043057701912222225,-0.035751857512688126,0.030796822894907316,-0.02148384870640894,,,,,,0.05596982315253031,0.07395795675436821,0.049282890238731364,0.043911330590969265,0.08151757311352967,0.06103715920864516,0.03566918998910417,0.0126489352882276,0.06584960033651717,0.05985710999475763
1980-06-01,-0.015207563146701021,-0.03254467699579924,-0.047597773518214544,-0.029139894492011736,-0.043798882235917935,,,,,,0.027289744556585952,-0.03647396786640005,0.012195028829162135,0.038071437909857266,0.0005580504394869927,0.007351730846360919,-0.04743851639456325,-0.03281928055485017,0.02803676019546053,-0.029586578899780898
1980-07-01,-0.022234821077696837,-2.1300297581172827e-05,-0.008825439401557587,0.003331862557478739,-0.009514324071591005,,,,,,-0.013115227803014131,0.01443331048830738,-0.00366927591845197,0.036949796525228694,0.01847845342987587,-0.026775601656141446,0.007060348767253726,-0.011188042287338546,0.038817771262504186,0.0007692221699290248
1980-08-01,-0.017592485667280163,-0.03303161408193491,-0.01937086151120136,-0.008411449756550959,-0.02582003583600983,,,,,,-0.010236649015932868,0.010534911824689524,0.02109159375883872,0.024032535281276437,0.01953657896713423,-0.018995724042713293,-0.004434949413101001,0.0011374538440119372,0.02227325847885056,-0.0047864552233221015
1980-09-01,-0.028201315992563928,-0.025989519782481485,-0.01933606435805751,-0.004263957243418963,-0.021720986120100892,,,,,,-0.02067343602097725,0.003716159050896915,0.0018891869692019751,-0.0058832971538706055,-0.005103728596734131,-0.03233607781283415,-0.01184480079999953,-0.016885647957679648,-0.009138342598237564,-0.025983133419774707
1980-10-01,-0.005924237829573097,-0.019836968089977133,-0.038187548777907955,-0.06744747825605742,-0.030412487080562028,,,,,,0.0013555969579912331,-0.006133647998475252,0.015093516514467088,0.031276844466994684,0.012374562994631652,-0.003276421379144262,-0.019016980035908623,-0.02208907373171654,0.00036161064065763534,-0.01518947975255262
1980-11-01,-0.042548370951787866,-0.014901883085886688,0.013141874255723702,0.035335715422484086,-0.01299595472845268,,,,,,0.03295349431987681,-0.05005311630639441,-0.02357955002469099,0.003487083280535298,-0.02667001193650415,-0.021040665878681208,-0.0670963497145923,-0.009259180829395391,0.019433106975894114,-0.04143006609868038
