Date,MXDE
2019-06,0.069
2019-07,-0.0329
2019-08,-0.0311
2019-09,0.0269
2019-10,0.057999999999999996
2019-11,0.0181
2019-12,0.018799999999999997
2020-01,-0.0294
2020-02,-0.09050000000000001
2020-03,-0.1716
2020-04,0.0967
2020-05,0.0882
2020-06,0.0667
2020-07,0.0464
2020-08,0.0661
2020-09,-0.0297
2020-10,-0.10220000000000001
2020-11,0.1711
2020-12,0.0658
2021-01,-0.024
2021-02,0.0173
2021-03,0.045599999999999995
2021-04,0.035
2021-05,0.034300000000000004
2021-06,-0.0183
2021-07,0.0021
2021-08,0.013500000000000002
2021-09,-0.057800000000000004
2021-10,0.0203
2021-11,-0.057999999999999996
2021-12,0.0454
2022-01,-0.0313
2022-02,-0.0713
2022-03,-0.029900000000000003
2022-04,-0.0774
2022-05,0.0395
2022-06,-0.13390000000000002
2022-07,0.0208
2022-08,-0.0639
2022-09,-0.0883
2022-10,0.0947
2022-11,0.1413
2022-12,0.0023
