Date,MXFR
2019-05,-0.0556
2019-06,0.08109999999999999
2019-07,-0.0216
2019-08,-0.0187
2019-09,0.027200000000000002
2019-10,0.035
2019-11,0.0174
2019-12,0.031200000000000002
2020-01,-0.0339
2020-02,-0.0874
2020-03,-0.1778
2020-04,0.042800000000000005
2020-05,0.0504
2020-06,0.0646
2020-07,0.024700000000000003
2020-08,0.049400000000000006
2020-09,-0.044199999999999996
2020-10,-0.04769999999999999
2020-11,0.22870000000000001
2020-12,0.0286
2021-01,-0.031
2021-02,0.0463
2021-03,0.031400000000000004
2021-04,0.0616
2021-05,0.051399999999999994
2021-06,-0.0192
2021-07,0.0181
2021-08,0.0066
2021-09,-0.0412
2021-10,0.0432
2021-11,-0.0347
2021-12,0.067
2022-01,-0.0382
2022-02,-0.047599999999999996
2022-03,-0.0077
2022-04,-0.0592
2022-05,0.0219
2022-06,-0.1025
2022-07,0.0613
2022-08,-0.0636
2022-09,-0.0859
2022-10,0.0959
2022-11,0.1199
2022-12,0.0008
