Date,MXZA
2013-02,-0.0236
2013-03,-0.0165
2013-04,0.0017000000000000001
2013-05,-0.0546
2013-06,-0.0167
2013-07,0.0246
2013-08,-0.0146
2013-09,0.0812
2013-10,0.047400000000000005
2013-11,-0.0374
2013-12,0.0095
2014-01,-0.0929
2014-02,0.0904
2014-03,0.06480000000000001
2014-04,-0.0016
2014-05,0.0194
2014-06,0.029500000000000002
2014-07,0.009300000000000001
2014-08,0.0172
2014-09,-0.09
2014-10,0.06849999999999999
2014-11,-0.0005
2014-12,-0.0337
2015-01,0.0418
2015-02,0.006
2015-03,-0.0176
2015-04,0.0599
2015-05,-0.08539999999999999
2015-06,0.0263
2015-07,-0.061
2015-08,-0.07
2015-09,-0.0684
2015-10,0.0736
2015-11,-0.071
2015-12,-0.0998
2016-01,-0.0382
2016-02,0.0018
2016-03,0.1838
2016-04,0.0361
2016-05,-0.0868
2016-06,0.0707
2016-07,0.0892
2016-08,-0.0742
2016-09,0.0602
2016-10,-0.0127
2016-11,-0.0815
2016-12,0.053200000000000004
2017-01,0.0305
2017-02,0.0176
2017-03,0.0018
2017-04,0.0553
2017-05,0.0222
2017-06,-0.0361
2017-07,0.0611
2017-08,0.0412
2017-09,-0.0647
2017-10,0.0274
2017-11,0.0849
2017-12,0.09179999999999999
2018-01,0.0275
2018-02,0.0003
2018-03,-0.0659
2018-04,-0.0084
2018-05,-0.0707
2018-06,-0.0451
2018-07,0.0547
2018-08,-0.1024
2018-09,-0.0174
2018-10,-0.1081
2018-11,0.08410000000000001
2018-12,-0.0025
2019-01,0.1188
2019-02,-0.0508
2019-03,-0.015700000000000002
2019-04,0.081
2019-05,-0.07429999999999999
2019-06,0.0667
2019-07,-0.0271
2019-08,-0.0895
2019-09,-0.011200000000000002
2019-10,0.0319
2019-11,0.001
2019-12,0.0974
2020-01,-0.0874
2020-02,-0.131
2020-03,-0.24489999999999998
2020-04,0.1219
2020-05,0.028900000000000002
2020-06,0.1005
2020-07,0.0601
2020-08,-0.0118
2020-09,-0.009899999999999999
2020-10,0.0042
2020-11,0.1109
2020-12,0.0971
2021-01,0.016
2021-02,0.038
2021-03,0.0638
2021-04,0.0004
2021-05,0.0677
2021-06,-0.0791
2021-07,-0.0126
2021-08,0.0036
2021-09,-0.04769999999999999
2021-10,-0.0025
2021-11,-0.0356
2021-12,0.0415
2022-01,0.0718
2022-02,0.042
2022-03,0.0755
2022-04,-0.12210000000000001
2022-05,0.0079
2022-06,-0.1206
2022-07,-0.0032
2022-08,-0.0446
2022-09,-0.0875
2022-10,0.037599999999999995
2022-11,0.1973
2022-12,-0.042199999999999994
