Date,MXIT
2019-09,0.0315
2019-10,0.0446
2019-11,0.0064
2019-12,0.0269
2020-01,-0.0191
2020-02,-0.0658
2020-03,-0.2266
2020-04,0.0173
2020-05,0.058499999999999996
2020-06,0.0827
2020-07,0.0341
2020-08,0.0375
2020-09,-0.0554
2020-10,-0.0688
2020-11,0.2681
2020-12,0.0418
2021-01,-0.0441
2021-02,0.0535
2021-03,0.0526
2021-04,0.0046
2021-05,0.067
2021-06,-0.031200000000000002
2021-07,0.0091
2021-08,0.013300000000000001
2021-09,-0.031400000000000004
2021-10,0.0473
2021-11,-0.056100000000000004
2021-12,0.06269999999999999
2022-01,-0.0189
2022-02,-0.051500000000000004
2022-03,-0.0313
2022-04,-0.0639
2022-05,0.039599999999999996
2022-06,-0.1424
2022-07,0.023700000000000002
2022-08,-0.0466
2022-09,-0.0644
2022-10,0.1144
2022-11,0.13949999999999999
2022-12,0.0014000000000000002
