Date,MXTR
2008-04,0.16390000000000002
2008-05,-0.0286
2008-06,-0.12539999999999998
2008-07,0.2721
2008-08,-0.0904
2008-09,-0.13449999999999998
2008-10,-0.3497
2008-11,-0.1011
2008-12,0.0659
2009-01,-0.0986
2009-02,-0.1096
2009-03,0.08839999999999999
2009-04,0.2865
2009-05,0.1611
2009-06,0.0441
2009-07,0.2157
2009-08,0.057300000000000004
2009-09,0.035699999999999996
2009-10,-0.030299999999999997
2009-11,-0.061500000000000006
2009-12,0.2016
2010-01,0.0168
2010-02,-0.1255
2010-03,0.1668
2010-04,0.0701
2010-05,-0.11130000000000001
2010-06,0.01
2010-07,0.1564
2010-08,-0.0163
2010-09,0.1553
2010-10,0.058899999999999994
2010-11,-0.0998
2010-12,-0.0359
2011-01,-0.0946
2011-02,-0.0255
2011-03,0.0782
2011-04,0.1041
2011-05,-0.1222
2011-06,-0.0077
2011-07,-0.0548
2011-08,-0.1462
2011-09,0.048600000000000004
2011-10,-0.027200000000000002
2011-11,-0.053399999999999996
2011-12,-0.0849
2012-01,0.1805
2012-02,0.0727
2012-03,0.0016
2012-04,-0.0254
2012-05,-0.1175
2012-06,0.1782
2012-07,0.0366
2012-08,0.0434
2012-09,-0.0004
2012-10,0.1048
2012-11,0.0015
2012-12,0.0705
2013-01,0.0174
2013-02,-0.016200000000000003
2013-03,0.0809
2013-04,0.0209
2013-05,-0.0345
2013-06,-0.1408
2013-07,-0.04769999999999999
2013-08,-0.126
2013-09,0.1226
2013-10,0.051500000000000004
2013-11,-0.0397
2013-12,-0.1508
2014-01,-0.1322
2014-02,0.0366
2014-03,0.1678
2014-04,0.0738
2014-05,0.0977
2014-06,-0.022000000000000002
2014-07,0.0388
2014-08,-0.0349
2014-09,-0.1199
2014-10,0.1043
2014-11,0.0728
2014-12,-0.0583
2015-01,-0.01
2015-02,-0.087
2015-03,-0.0691
2015-04,0.0202
2015-05,0.0040999999999999995
2015-06,-0.0113
2015-07,-0.0596
2015-08,-0.09939999999999999
2015-09,-0.050199999999999995
2015-10,0.1223
2015-11,-0.06
2015-12,-0.053200000000000004
2016-01,0.016200000000000003
2016-02,0.0305
2016-03,0.1604
2016-04,0.0452
2016-05,-0.13119999999999998
2016-06,0.0184
2016-07,-0.0574
2016-08,0.0134
2016-09,-0.0087
2016-10,-0.0074
2016-11,-0.1523
2016-12,0.0235
2017-01,0.0352
2017-02,0.0557
2017-03,0.019299999999999998
2017-04,0.11349999999999999
2017-05,0.033
2017-06,0.0403
2017-07,0.0581
2017-08,0.044199999999999996
2017-09,-0.09480000000000001
2017-10,0.0034000000000000002
2017-11,-0.08460000000000001
2017-12,0.1394
2018-01,0.045700000000000005
2018-02,-0.016200000000000003
2018-03,-0.0741
2018-04,-0.11019999999999999
2018-05,-0.1263
2018-06,-0.0487
2018-07,-0.0692
2018-08,-0.2863
2018-09,0.1834
2018-10,-0.0087
2018-11,0.1328
2018-12,-0.0479
2019-01,0.17
2019-02,-0.0327
2019-03,-0.1439
2019-04,-0.0401
2019-05,-0.0083
2019-06,0.07730000000000001
2019-07,0.11720000000000001
2019-08,-0.11230000000000001
2019-09,0.1252
2019-10,-0.0827
2019-11,0.0706
2019-12,0.019799999999999998
2020-01,0.015300000000000001
2020-02,-0.1475
2020-03,-0.193
2020-04,0.0472
2020-05,0.0587
2020-06,0.0736
2020-07,-0.08439999999999999
2020-08,-0.081
2020-09,0.0029
2020-10,-0.12480000000000001
2020-11,0.23809999999999998
2020-12,0.2028
2021-01,-0.0332
2021-02,-0.0231
2021-03,-0.1523
