Date,MXID
2012-05,-0.1199
2012-06,0.0632
2012-07,0.0603
2012-08,-0.0368
2012-09,0.050300000000000004
2012-10,0.030600000000000002
2012-11,-0.0336
2012-12,0.0174
2013-01,0.026699999999999998
2013-02,0.0956
2013-03,0.008199999999999999
2013-04,0.0207
2013-05,-0.039
2013-06,-0.046900000000000004
2013-07,-0.0664
2013-08,-0.18230000000000002
2013-09,0.0034999999999999996
2013-10,0.0858
2013-11,-0.1076
2013-12,-0.0274
2014-01,0.047
2014-02,0.10189999999999999
2014-03,0.0518
2014-04,0.0172
2014-05,0.0040999999999999995
2014-06,-0.01
2014-07,0.0818
2014-08,-0.013999999999999999
2014-09,-0.0294
2014-10,0.0037
2014-11,0.0062
2014-12,-0.0059
2015-01,-0.015600000000000001
2015-02,0.02
2015-03,0.0226
2015-04,-0.0978
2015-05,0.029900000000000003
2015-06,-0.0739
2015-07,-0.0426
2015-08,-0.0891
2015-09,-0.1286
2015-10,0.1559
2015-11,-0.0070999999999999995
2015-12,0.0462
2016-01,0.0285
2016-02,0.057800000000000004
2016-03,0.0401
2016-04,-0.0235
2016-05,-0.0321
2016-06,0.0959
2016-07,0.056600000000000004
2016-08,0.0111
2016-09,0.0252
2016-10,-0.001
2016-11,-0.1286
2016-12,0.0525
2017-01,0.0055000000000000005
2017-02,0.0231
2017-03,0.0462
2017-04,0.0334
2017-05,0.026600000000000002
2017-06,0.0254
2017-07,0.0021
2017-08,-0.004
2017-09,-0.0086
2017-10,0.0011
2017-11,-0.0053
2017-12,0.08560000000000001
2018-01,0.0321
2018-02,-0.0322
2018-03,-0.0661
2018-04,-0.047599999999999996
2018-05,-0.009399999999999999
2018-06,-0.0682
2018-07,0.025099999999999997
2018-08,-0.0008
2018-09,-0.0089
2018-10,-0.031
2018-11,0.12140000000000001
2018-12,0.0009
2019-01,0.1003
2019-02,-0.054900000000000004
2019-03,0.0115
2019-04,0.013600000000000001
2019-05,-0.031
2019-06,0.0564
2019-07,0.0137
2019-08,-0.036000000000000004
2019-09,-0.0285
2019-10,0.0239
2019-11,-0.026099999999999998
2019-12,0.0695
2020-01,-0.0341
2020-02,-0.1116
2020-03,-0.2897
2020-04,0.10310000000000001
2020-05,0.0414
2020-06,0.0659
2020-07,0.0479
2020-08,0.0304
2020-09,-0.1259
2020-10,0.08220000000000001
2020-11,0.14800000000000002
2020-12,0.0608
2021-01,-0.028900000000000002
2021-02,0.0063
2021-03,-0.056799999999999996
2021-04,0.0031
2021-05,0.0131
2021-06,-0.0647
2021-07,-0.0148
2021-08,0.0816
2021-09,0.0311
2021-10,0.0791
2021-11,-0.0246
2021-12,0.0124
2022-01,0.008
2022-02,0.054000000000000006
2022-03,0.0345
2022-04,0.0356
2022-05,-0.028399999999999998
2022-06,-0.096
2022-07,0.0318
2022-08,0.053899999999999997
2022-09,-0.0079
2022-10,0.0018
2022-11,0.0118
2022-12,-0.0434
