Date,MXRU
2015-02,0.22820000000000001
2015-03,-0.026699999999999998
2015-04,0.1732
2015-05,-0.0574
2015-06,-0.026099999999999998
2015-07,-0.0519
2015-08,-0.056100000000000004
2015-09,-0.0433
2015-10,0.0626
2015-11,0.005699999999999999
2015-12,-0.1018
2016-01,-0.0084
2016-02,0.0181
2016-03,0.14679999999999999
2016-04,0.07769999999999999
2016-05,-0.0565
2016-06,0.024700000000000003
2016-07,0.0227
2016-08,0.025099999999999997
2016-09,0.0387
2016-10,0.0067
2016-11,0.047599999999999996
2016-12,0.1258
2017-01,-0.0027
2017-02,-0.0635
2017-03,0.0213
2017-04,-0.002
2017-05,-0.0626
2017-06,-0.0359
2017-07,0.045
2017-08,0.0814
2017-09,0.045
2017-10,-0.0189
2017-11,0.0339
2017-12,0.0298
2018-01,0.1258
2018-02,0.009300000000000001
2018-03,-0.0374
2018-04,-0.07429999999999999
2018-05,0.0116
2018-06,0.0060999999999999995
2018-07,0.0431
2018-08,-0.0697
2018-09,0.0986
2018-10,-0.0444
2018-11,-0.0116
2018-12,-0.031200000000000002
2019-01,0.136
2019-02,-0.0208
2019-03,0.009000000000000001
2019-04,0.0379
2019-05,0.0362
2019-06,0.09050000000000001
2019-07,0.0070999999999999995
2019-08,-0.0472
2019-09,0.0327
2019-10,0.0875
2019-11,-0.0068000000000000005
2019-12,0.08410000000000001
2020-01,-0.0301
2020-02,-0.1442
2020-03,-0.23309999999999997
2020-04,0.1149
2020-05,0.0874
2020-06,-0.0194
2020-07,0.0305
2020-08,0.0025
2020-09,-0.0737
2020-10,-0.08349999999999999
2020-11,0.2078
2020-12,0.1023
2021-01,-0.0271
2021-02,0.0252
2021-03,0.052199999999999996
2021-04,-0.0009
2021-05,0.0987
2021-06,0.042
2021-07,-0.0029
2021-08,0.0358
2021-09,0.0637
2021-10,0.0435
2021-11,-0.10859999999999999
2021-12,-0.0215
2022-01,-0.08650000000000001
2022-02,-0.5275
2022-03,-1.0
2022-04,0.0
2022-05,0.0
2022-06,0.2309
2022-07,-0.16670000000000001
2022-08,0.1
2022-09,-0.0909
2022-10,0.0
2022-11,0.1
2022-12,-0.1818
