Date,MXCN
2013-03,-0.045899999999999996
2013-04,0.011399999999999999
2013-05,-0.0084
2013-06,-0.0679
2013-07,0.0406
2013-08,0.0241
2013-09,0.053200000000000004
2013-10,0.025
2013-11,0.0487
2013-12,-0.034300000000000004
2014-01,-0.067
2014-02,0.0262
2014-03,-0.0168
2014-04,-0.022799999999999997
2014-05,0.0471
2014-06,0.0329
2014-07,0.0816
2014-08,0.0023
2014-09,-0.0635
2014-10,0.0432
2014-11,0.0155
2014-12,0.0118
2015-01,0.0227
2015-02,0.0323
2015-03,0.024
2015-04,0.16670000000000001
2015-05,-0.0371
2015-06,-0.0545
2015-07,-0.1076
2015-08,-0.1167
2015-09,-0.019
2015-10,0.0908
2015-11,-0.0337
2015-12,-0.0131
2016-01,-0.1272
2016-02,-0.0252
2016-03,0.1191
2016-04,-0.002
2016-05,-0.0077
2016-06,0.0124
2016-07,0.0424
2016-08,0.0736
2016-09,0.0255
2016-10,-0.0195
2016-11,-0.0118
2016-12,-0.040999999999999995
2017-01,0.0681
2017-02,0.0352
2017-03,0.021400000000000002
2017-04,0.026600000000000002
2017-05,0.0529
2017-06,0.023700000000000002
2017-07,0.0894
2017-08,0.0425
2017-09,0.0102
2017-10,0.039900000000000005
2017-11,0.0155
2017-12,0.019799999999999998
2018-01,0.1241
2018-02,-0.0641
2018-03,-0.032799999999999996
2018-04,-0.0002
2018-05,0.018600000000000002
2018-06,-0.0521
2018-07,-0.024399999999999998
2018-08,-0.037599999999999995
2018-09,-0.013999999999999999
2018-10,-0.1149
2018-11,0.0737
2018-12,-0.061
2019-01,0.111
2019-02,0.0345
2019-03,0.024399999999999998
2019-04,0.0223
2019-05,-0.1306
2019-06,0.0812
2019-07,-0.0054
2019-08,-0.0425
2019-09,0.0006
2019-10,0.0404
2019-11,0.0177
2019-12,0.08380000000000001
2020-01,-0.0484
2020-02,0.0096
2020-03,-0.0658
2020-04,0.0634
2020-05,-0.005
2020-06,0.0904
2020-07,0.09480000000000001
2020-08,0.056900000000000006
2020-09,-0.0273
2020-10,0.053
2020-11,0.0276
2020-12,0.0278
2021-01,0.0736
2021-02,-0.0103
2021-03,-0.063
2021-04,0.0139
2021-05,0.0078000000000000005
2021-06,0.0011
2021-07,-0.1383
2021-08,0.0003
2021-09,-0.050199999999999995
2021-10,0.0317
2021-11,-0.0599
2021-12,-0.0315
2022-01,-0.0292
2022-02,-0.0391
2022-03,-0.0802
2022-04,-0.0407
2022-05,0.0118
2022-06,0.0665
2022-07,-0.09449999999999999
2022-08,0.0022
2022-09,-0.1454
2022-10,-0.168
2022-11,0.2967
2022-12,0.0527
