Date,MXUS
1990-09,-0.0495
1990-10,-0.0063
1990-11,0.062400000000000004
1990-12,0.024700000000000003
1991-01,0.0446
1991-02,0.0663
1991-03,0.0217
1991-04,0.0013
1991-05,0.038900000000000004
1991-06,-0.0484
1991-07,0.0441
1991-08,0.0216
1991-09,-0.0195
1991-10,0.0146
1991-11,-0.043
1991-12,0.1115
1992-01,-0.0191
1992-02,0.009000000000000001
1992-03,-0.0209
1992-04,0.026699999999999998
1992-05,0.0016
1992-06,-0.0178
1992-07,0.0391
1992-08,-0.0264
1992-09,0.0083
1992-10,0.0036
1992-11,0.030699999999999998
1992-12,0.0086
1993-01,0.0064
1993-02,0.0108
1993-03,0.0183
1993-04,-0.024399999999999998
1993-05,0.0232
1993-06,0.0008
1993-07,-0.0034000000000000002
1993-08,0.0338
1993-09,-0.0121
1993-10,0.015300000000000001
1993-11,-0.009000000000000001
1993-12,0.0098
1994-01,0.0341
1994-02,-0.030299999999999997
1994-03,-0.045599999999999995
1994-04,0.011899999999999999
1994-05,0.0144
1994-06,-0.030299999999999997
1994-07,0.0315
1994-08,0.037200000000000004
1994-09,-0.0233
1994-10,0.0208
1994-11,-0.0363
1994-12,0.0124
1995-01,0.025699999999999997
1995-02,0.04019999999999999
1995-03,0.0271
1995-04,0.0308
1995-05,0.04019999999999999
1995-06,0.0248
1995-07,0.0334
1995-08,0.0011
1995-09,0.045
1995-10,-0.0009
1995-11,0.045
1995-12,0.015300000000000001
1996-01,0.0352
1996-02,0.0111
1996-03,0.0103
1996-04,0.0143
1996-05,0.0275
1996-06,0.0059
1996-07,-0.044199999999999996
1996-08,0.023
1996-09,0.056299999999999996
1996-10,0.0253
1996-11,0.07629999999999999
1996-12,-0.018600000000000002
1997-01,0.068
1997-02,0.0076
1997-03,-0.044500000000000005
1997-04,0.0655
1997-05,0.0572
1997-06,0.045700000000000005
1997-07,0.07919999999999999
1997-08,-0.0591
1997-09,0.0525
1997-10,-0.0275
1997-11,0.049
1997-12,0.0151
1998-01,0.0125
1998-02,0.0707
1998-03,0.0521
1998-04,0.0116
1998-05,-0.0197
1998-06,0.0431
1998-07,-0.01
1998-08,-0.139
1998-09,0.066
1998-10,0.0771
1998-11,0.0684
1998-12,0.0593
1999-01,0.0429
1999-02,-0.0277
1999-03,0.0418
1999-04,0.0358
1999-05,-0.0231
1999-06,0.053899999999999997
1999-07,-0.0327
1999-08,-0.0060999999999999995
1999-09,-0.029500000000000002
1999-10,0.06509999999999999
1999-11,0.0217
1999-12,0.0698
2000-01,-0.0538
2000-02,-0.0236
2000-03,0.1
2000-04,-0.0325
2000-05,-0.026099999999999998
2000-06,0.023700000000000002
2000-07,-0.018000000000000002
2000-08,0.0524
2000-09,-0.0545
2000-10,-0.0073
2000-11,-0.0787
2000-12,-0.0017000000000000001
2001-01,0.0365
2001-02,-0.0894
2001-03,-0.0638
2001-04,0.0779
2001-05,0.006
2001-06,-0.0229
2001-07,-0.009399999999999999
2001-08,-0.0665
2001-09,-0.0765
2001-10,0.014499999999999999
2001-11,0.0771
2001-12,0.0064
2002-01,-0.0141
2002-02,-0.0195
2002-03,0.0373
2002-04,-0.0649
2002-05,-0.0074
2002-06,-0.0761
2002-07,-0.0719
2002-08,0.0049
2002-09,-0.1128
2002-10,0.0908
2002-11,0.0602
2002-12,-0.0604
2003-01,-0.0241
2003-02,-0.0152
2003-03,0.009300000000000001
2003-04,0.0836
2003-05,0.0536
2003-06,0.0124
2003-07,0.018600000000000002
2003-08,0.018799999999999997
2003-09,-0.0115
2003-10,0.0571
2003-11,0.0097
2003-12,0.052000000000000005
2004-01,0.0181
2004-02,0.0121
2004-03,-0.0159
2004-04,-0.015300000000000001
2004-05,0.013300000000000001
2004-06,0.0189
2004-07,-0.0341
2004-08,0.0051
2004-09,0.011000000000000001
2004-10,0.015300000000000001
2004-11,0.041100000000000005
2004-12,0.0351
2005-01,-0.0248
2005-02,0.0209
2005-03,-0.016
2005-04,-0.0181
2005-05,0.0327
2005-06,0.0025
2005-07,0.037599999999999995
2005-08,-0.009300000000000001
2005-09,0.0086
2005-10,-0.016399999999999998
2005-11,0.0405
2005-12,0.0006
2006-01,0.0273
2006-02,0.001
2006-03,0.0128
2006-04,0.0132
2006-05,-0.0296
2006-06,0.0011
2006-07,0.0033
2006-08,0.0242
2006-09,0.0255
2006-10,0.0342
2006-11,0.0199
2006-12,0.012199999999999999
2007-01,0.0181
2007-02,-0.0183
2007-03,0.0108
2007-04,0.0429
2007-05,0.035
2007-06,-0.0167
2007-07,-0.031
2007-08,0.0152
2007-09,0.038
2007-10,0.0168
2007-11,-0.041100000000000005
2007-12,-0.005699999999999999
2008-01,-0.060700000000000004
2008-02,-0.0311
2008-03,-0.0037
2008-04,0.0495
2008-05,0.016
2008-06,-0.0815
2008-07,-0.011399999999999999
2008-08,0.0137
2008-09,-0.0917
2008-10,-0.171
2008-11,-0.0738
2008-12,0.0129
2009-01,-0.0815
2009-02,-0.1025
2009-03,0.0857
2009-04,0.096
2009-05,0.055
2009-06,0.0023
2009-07,0.0754
2009-08,0.0348
2009-09,0.0388
2009-10,-0.0194
2009-11,0.059500000000000004
2009-12,0.0206
2010-01,-0.0351
2010-02,0.030899999999999997
2010-03,0.0599
2010-04,0.016
2010-05,-0.0806
2010-06,-0.053200000000000004
2010-07,0.0699
2010-08,-0.0444
2010-09,0.0909
2010-10,0.0397
2010-11,0.0011
2010-12,0.0669
2011-01,0.024
2011-02,0.0335
2011-03,0.0012
2011-04,0.030600000000000002
2011-05,-0.0108
