Date,MXMX
2008-08,-0.042300000000000004
2008-09,-0.1139
2008-10,-0.3068
2008-11,-0.0355
2008-12,0.0467
2009-01,-0.1272
2009-02,-0.1328
2009-03,0.1368
2009-04,0.146
2009-05,0.1723
2009-06,0.0095
2009-07,0.10619999999999999
2009-08,0.050300000000000004
2009-09,0.0168
2009-10,0.0049
2009-11,0.1003
2009-12,0.0281
2010-01,-0.0623
2010-02,0.0425
2010-03,0.1032
2010-04,0.0015
2010-05,-0.06509999999999999
2010-06,-0.028300000000000002
2010-07,0.0584
2010-08,-0.0504
2010-09,0.1091
2010-10,0.0821
2010-11,0.0195
2010-12,0.0576
2011-01,-0.028399999999999998
2011-02,0.0085
2011-03,0.026699999999999998
2011-04,0.0177
2011-05,-0.0322
2011-06,0.0098
2011-07,-0.0079
2011-08,-0.0433
2011-09,-0.15439999999999998
2011-10,0.1389
2011-11,-0.0189
2011-12,-0.0206
2012-01,0.0742
2012-02,0.0302
2012-03,0.0444
2012-04,-0.0052
2012-05,-0.1182
2012-06,0.1275
2012-07,0.022799999999999997
2012-08,-0.0226
2012-09,0.068
2012-10,-0.002
2012-11,0.0179
2012-12,0.041100000000000005
2013-01,0.055099999999999996
2013-02,-0.030299999999999997
2013-03,0.0369
2013-04,-0.0203
2013-05,-0.0588
2013-06,-0.036699999999999997
2013-07,0.0191
2013-08,-0.06570000000000001
2013-09,0.032400000000000005
2013-10,0.0405
2013-11,0.0277
2013-12,0.010700000000000001
2014-01,-0.06509999999999999
2014-02,-0.037000000000000005
2014-03,0.0554
2014-04,0.0031
2014-05,0.0308
2014-06,0.030899999999999997
2014-07,0.013999999999999999
2014-08,0.050300000000000004
2014-09,-0.0415
2014-10,-0.0046
2014-11,-0.0452
2014-12,-0.0767
2015-01,-0.06
2015-02,0.07400000000000001
2015-03,-0.0291
2015-04,0.009300000000000001
2015-05,0.0038
2015-06,-0.009000000000000001
2015-07,-0.0253
2015-08,-0.0652
2015-09,-0.0336
2015-10,0.0716
2015-11,-0.0285
2015-12,-0.0507
2016-01,-0.0338
2016-02,0.009000000000000001
2016-03,0.1124
2016-04,-0.0019
2016-05,-0.0783
2016-06,0.0115
2016-07,-0.0023
2016-08,0.0137
2016-09,-0.0333
2016-10,0.049800000000000004
2016-11,-0.1275
2016-12,0.006
2017-01,0.022099999999999998
2017-02,0.0336
2017-03,0.0981
2017-04,0.0089
2017-05,0.0040999999999999995
2017-06,0.0592
2017-07,0.0425
2017-08,0.0098
2017-09,-0.0359
2017-10,-0.0754
2017-11,-0.004699999999999999
2017-12,-0.0005
2018-01,0.0786
2018-02,-0.07139999999999999
2018-03,0.0076
2018-04,0.0222
2018-05,-0.1363
2018-06,0.0929
2018-07,0.0866
2018-08,-0.031200000000000002
2018-09,0.016
2018-10,-0.17379999999999998
2018-11,-0.048
2018-12,0.0327
2019-01,0.0978
2019-02,-0.0418
2019-03,0.0032
2019-04,0.0521
2019-05,-0.0706
2019-06,0.0352
2019-07,-0.0382
2019-08,-0.004
2019-09,0.0263
2019-10,0.0352
2019-11,-0.0202
2019-12,0.0473
2020-01,0.0137
2020-02,-0.1002
2020-03,-0.2924
2020-04,0.0433
2020-05,0.0645
2020-06,-0.0008
2020-07,0.0288
2020-08,0.0059
2020-09,0.011000000000000001
2020-10,0.023399999999999997
2020-11,0.2026
2020-12,0.0654
2021-01,-0.042300000000000004
