Date,MXAR
2008-01,-0.0779
2008-02,0.09570000000000001
2008-03,0.0582
2008-04,0.023
2008-05,0.159
2008-06,0.1416
2008-07,-0.1931
2008-08,-0.0779
2008-09,-0.2468
2008-10,-0.4168
2008-11,-0.0175
2008-12,-0.0199
2009-01,-0.04
2009-02,-0.1308
2009-03,0.0179
2009-04,0.07629999999999999
2009-05,0.0179
2009-06,0.2505
2009-07,0.0765
2009-08,0.128
2009-09,0.0462
2009-10,0.0762
2009-11,-0.0125
2009-12,0.044000000000000004
2010-01,-0.0319
2010-02,-0.0473
2010-03,0.1418
2010-04,0.0053
2010-05,-0.10949999999999999
2010-06,0.0528
2010-07,0.159
2010-08,0.0484
2010-09,0.1641
2010-10,0.1604
2010-11,0.0323
2010-12,0.0546
2011-01,-0.011699999999999999
2011-02,-0.08070000000000001
2011-03,-0.031400000000000004
2011-04,-0.015600000000000001
2011-05,0.011699999999999999
2011-06,0.0483
2011-07,-0.0356
2011-08,-0.1186
2011-09,-0.1968
2011-10,0.018000000000000002
2011-11,-0.004699999999999999
2011-12,-0.0392
2012-01,0.1322
2012-02,-0.1745
2012-03,0.0027
2012-04,-0.2973
2012-05,-0.15259999999999999
2012-06,-0.0366
2012-07,-0.0126
2012-08,0.0001
2012-09,0.021099999999999997
2012-10,-0.0739
2012-11,0.055099999999999996
2012-12,0.1883
2013-01,0.16699999999999998
2013-02,-0.20809999999999998
2013-03,0.1115
2013-04,0.049100000000000005
2013-05,-0.0352
2013-06,-0.0331
2013-07,0.0928
2013-08,0.1232
2013-09,0.12710000000000002
2013-10,0.0785
2013-11,0.204
2013-12,-0.0808
2014-01,-0.23850000000000002
2014-02,0.1942
2014-03,0.1642
2014-04,0.021400000000000002
2014-05,0.038900000000000004
2014-06,0.1184
2014-07,0.06309999999999999
2014-08,-0.13119999999999998
2014-09,0.1174
2014-10,0.0317
2014-11,-0.012
2014-12,-0.0983
2015-01,-0.052000000000000005
2015-02,0.2023
2015-03,0.0965
2015-04,-0.0125
2015-05,-0.08529999999999999
2015-06,-0.0433
2015-07,-0.1003
2015-08,-0.013000000000000001
2015-09,-0.1739
2015-10,0.44939999999999997
2015-11,-0.0989
2015-12,-0.038
2016-01,0.0361
2016-02,0.0834
2016-03,-0.0345
2016-04,0.039599999999999996
2016-05,0.0032
2016-06,0.0304
2016-07,-0.0023
2016-08,-0.022000000000000002
2016-09,0.053399999999999996
2016-10,-0.008199999999999999
2016-11,-0.09050000000000001
2016-12,-0.0268
2017-01,0.18420000000000003
2017-02,0.0089
2017-03,0.1282
2017-04,0.0262
2017-05,0.059800000000000006
2017-06,-0.0345
2017-07,-0.06849999999999999
2017-08,0.1116
2017-09,0.10339999999999999
2017-10,0.0559
2017-11,-0.047
2017-12,0.0668
2018-01,0.0216
2018-02,-0.0509
2018-03,-0.026099999999999998
2018-04,-0.046799999999999994
2018-05,-0.2191
2018-06,-0.21960000000000002
2018-07,0.141
2018-08,-0.23620000000000002
2018-09,0.0431
2018-10,-0.0189
2018-11,0.0562
2018-12,-0.047599999999999996
2019-01,0.1972
2019-02,-0.1058
2019-03,-0.08470000000000001
2019-04,-0.0785
2019-05,0.13
2019-06,0.266
2019-07,-0.0115
2019-08,-0.5043
2019-09,0.085
2019-10,-0.0475
2019-11,0.071
2019-12,0.1321
2020-01,-0.0264
2020-02,-0.08259999999999999
2020-03,-0.3206
2020-04,0.1114
2020-05,0.1985
2020-06,0.0788
2020-07,0.1251
2020-08,-0.0139
2020-09,-0.0385
2020-10,-0.0028000000000000004
2020-11,0.1018
2020-12,0.09910000000000001
2021-01,-0.12050000000000001
2021-02,0.1101
2021-03,-0.0368
2021-04,0.0748
2021-05,-0.0147
2021-06,-0.001
2021-07,0.0642
2021-08,0.30469999999999997
2021-09,-0.12050000000000001
2021-10,0.10769999999999999
2021-11,-0.16469999999999999
2021-12,0.0761
2022-01,0.0519
2022-02,-0.022000000000000002
2022-03,0.1545
2022-04,-0.1322
2022-05,0.033
2022-06,-0.19820000000000002
2022-07,0.0909
2022-08,0.1104
2022-09,-0.0103
2022-10,0.10550000000000001
2022-11,0.0665
2022-12,0.1257
