Date,MXBR
2008-07,-0.1038
2008-08,-0.09880000000000001
2008-09,-0.23070000000000002
2008-10,-0.32049999999999995
2008-11,-0.09210000000000002
2008-12,0.0197
2009-01,0.0462
2009-02,-0.028999999999999998
2009-03,0.10880000000000001
2009-04,0.1985
2009-05,0.2217
2009-06,-0.0394
2009-07,0.0894
2009-08,0.0171
2009-09,0.152
2009-10,0.0277
2009-11,0.0825
2009-12,0.0163
2010-01,-0.1093
2010-02,0.0483
2010-03,0.073
2010-04,-0.0089
2010-05,-0.10490000000000001
2010-06,-0.0443
2010-07,0.1373
2010-08,-0.032
2010-09,0.106
2010-10,0.0146
2010-11,-0.04769999999999999
2010-12,0.0717
2011-01,-0.0417
2011-02,0.029900000000000003
2011-03,0.0401
2011-04,-0.0055000000000000005
2011-05,-0.0321
2011-06,-0.0031
2011-07,-0.043
2011-08,-0.0645
2011-09,-0.184
2011-10,0.19440000000000002
2011-11,-0.0696
2011-12,-0.0195
2012-01,0.1519
2012-02,0.0546
2012-03,-0.06309999999999999
2012-04,-0.0613
2012-05,-0.1441
2012-06,0.011399999999999999
2012-07,0.014499999999999999
2012-08,0.0038
2012-09,0.0281
2012-10,-0.0091
2012-11,-0.0298
2012-12,0.0767
2013-01,0.028999999999999998
2013-02,-0.0248
2013-03,-0.011200000000000002
2013-04,0.018799999999999997
2013-05,-0.071
2013-06,-0.1252
2013-07,-0.0152
2013-08,-0.0208
2013-09,0.1244
2013-10,0.060899999999999996
2013-11,-0.0664
2013-12,-0.045599999999999995
2014-01,-0.1058
2014-02,0.0362
2014-03,0.1101
2014-04,0.0391
2014-05,-0.0176
2014-06,0.0535
2014-07,0.018799999999999997
2014-08,0.1106
2014-09,-0.19210000000000002
2014-10,0.0052
2014-11,-0.046900000000000004
2014-12,-0.1106
2015-01,-0.0642
2015-02,0.0286
2015-03,-0.11259999999999999
2015-04,0.16829999999999998
2015-05,-0.11720000000000001
2015-06,0.0377
2015-07,-0.12210000000000001
2015-08,-0.1414
2015-09,-0.11869999999999999
2015-10,0.0521
2015-11,-0.0315
2015-12,-0.0496
2016-01,-0.0731
2016-02,0.06280000000000001
2016-03,0.3053
2016-04,0.10400000000000001
2016-05,-0.1364
2016-06,0.195
2016-07,0.0999
2016-08,0.009000000000000001
2016-09,0.0034999999999999996
2016-10,0.1401
2016-11,-0.11199999999999999
2016-12,0.0095
2017-01,0.1075
2017-02,0.0441
2017-03,-0.0449
2017-04,0.0
2017-05,-0.05
2017-06,-0.017
2017-07,0.1096
2017-08,0.0634
2017-09,0.0424
2017-10,-0.032799999999999996
2017-11,-0.031
2017-12,0.0471
2018-01,0.1685
2018-02,-0.0195
2018-03,-0.0183
2018-04,-0.0398
2018-05,-0.1637
2018-06,-0.08310000000000001
2018-07,0.1184
2018-08,-0.11289999999999999
2018-09,0.0701
2018-10,0.1783
2018-11,-0.0195
2018-12,-0.0161
2019-01,0.1777
2019-02,-0.0444
2019-03,-0.0383
2019-04,-0.0074
2019-05,0.0173
2019-06,0.061799999999999994
2019-07,0.025699999999999997
2019-08,-0.09210000000000002
2019-09,0.0252
2019-10,0.0635
2019-11,-0.0438
2019-12,0.1246
2020-01,-0.0747
2020-02,-0.1298
2020-03,-0.38159999999999994
2020-04,0.0542
2020-05,0.0852
2020-06,0.07400000000000001
2020-07,0.1424
2020-08,-0.0889
2020-09,-0.0707
2020-10,-0.0253
2020-11,0.2373
2020-12,0.1366
2021-01,-0.0782
2021-02,-0.06309999999999999
2021-03,0.043
2021-04,0.0646
2021-05,0.0964
2021-06,0.0533
2021-07,-0.0611
2021-08,-0.022400000000000003
2021-09,-0.1301
2021-10,-0.09029999999999999
2021-11,-0.0144
2021-12,0.045599999999999995
2022-01,0.1304
2022-02,0.047
2022-03,0.14880000000000002
2022-04,-0.13699999999999998
2022-05,0.0843
2022-06,-0.19140000000000001
2022-07,0.0553
2022-08,0.0654
2022-09,-0.0331
2022-10,0.0862
2022-11,-0.028399999999999998
2022-12,-0.0287
