Security,USDAUD BGN Curncy
Start Date,1/29/1971 0:00
End Date,9/29/2023 0:00
Period,M
Pricing Source,BGN
,
Date,PX_LAST
9/29/2023,1.554
8/31/2023,1.5422
7/31/2023,1.4887
6/30/2023,1.5006
5/31/2023,1.5378
4/28/2023,1.5117
3/31/2023,1.4958
2/28/2023,1.4861
1/31/2023,1.4174
12/30/2022,1.4678
11/30/2022,1.4732
10/31/2022,1.5627
9/30/2022,1.5624
8/31/2022,1.4617
7/29/2022,1.4315
6/30/2022,1.4483
5/31/2022,1.3933
4/29/2022,1.4162
3/31/2022,1.3362
2/28/2022,1.377
1/31/2022,1.4147
12/31/2021,1.3769
11/30/2021,1.403
10/29/2021,1.3301
9/30/2021,1.3837
8/31/2021,1.367
7/30/2021,1.3615
6/30/2021,1.3335
5/31/2021,1.293
4/30/2021,1.2966
3/31/2021,1.3166
2/26/2021,1.2978
1/29/2021,1.3082
12/31/2020,1.2999
11/30/2020,1.3617
10/30/2020,1.4228
9/30/2020,1.3962
8/31/2020,1.3558
7/31/2020,1.3999
6/30/2020,1.4486
5/29/2020,1.4995
4/30/2020,1.5356
3/31/2020,1.6292
2/28/2020,1.5363
1/31/2020,1.4951
12/31/2019,1.4252
11/29/2019,1.4787
10/31/2019,1.4505
9/30/2019,1.4809
8/30/2019,1.4847
7/31/2019,1.4606
6/28/2019,1.4243
5/31/2019,1.4415
4/30/2019,1.4187
3/29/2019,1.4091
2/28/2019,1.4096
1/31/2019,1.3745
12/31/2018,1.4188
11/30/2018,1.3677
10/31/2018,1.4138
9/28/2018,1.3844
8/31/2018,1.3906
7/31/2018,1.3463
6/29/2018,1.3503
5/31/2018,1.3214
4/30/2018,1.3281
3/30/2018,1.3011
2/28/2018,1.2884
1/31/2018,1.2413
12/29/2017,1.281
11/30/2017,1.3217
10/31/2017,1.3062
9/29/2017,1.2765
8/31/2017,1.2586
7/31/2017,1.2494
6/30/2017,1.3007
5/31/2017,1.3458
4/28/2017,1.3353
3/31/2017,1.3108
2/28/2017,1.306
1/31/2017,1.3184
12/30/2016,1.3887
11/30/2016,1.3543
10/31/2016,1.3142
9/30/2016,1.3055
8/31/2016,1.3302
7/29/2016,1.3161
6/30/2016,1.3422
5/31/2016,1.3826
4/29/2016,1.3148
3/31/2016,1.3059
2/29/2016,1.4004
1/29/2016,1.4117
12/31/2015,1.3723
