Security,USDAUD BGN Curncy
11/30/2015,1.3837
10/30/2015,1.401
9/30/2015,1.4251
8/31/2015,1.4057
7/31/2015,1.3687
6/30/2015,1.2975
5/29/2015,1.3081
4/30/2015,1.265
3/31/2015,1.3147
2/27/2015,1.2802
1/30/2015,1.287
12/31/2014,1.2239
11/28/2014,1.1755
10/31/2014,1.1366
9/30/2014,1.1431
8/29/2014,1.0707
7/31/2014,1.0758
6/30/2014,1.0601
5/30/2014,1.0741
4/30/2014,1.0768
3/31/2014,1.0794
2/28/2014,1.1205
1/31/2014,1.1421
12/31/2013,1.1217
11/29/2013,1.098
10/31/2013,1.0575
9/30/2013,1.0733
8/30/2013,1.1235
7/31/2013,1.1133
6/28/2013,1.0943
5/31/2013,1.0448
4/30/2013,0.9642
3/29/2013,0.9598
2/28/2013,0.979
1/31/2013,0.9593
12/31/2012,0.962
11/30/2012,0.959
10/31/2012,0.9638
9/28/2012,0.9635
8/31/2012,0.9688
7/31/2012,0.9521
6/29/2012,0.9768
5/31/2012,1.0274
4/30/2012,0.9589
3/30/2012,0.9666
2/29/2012,0.9318
1/31/2012,0.9415
12/30/2011,0.9796
11/30/2011,0.9725
10/31/2011,0.9497
9/30/2011,1.035
8/31/2011,0.934
7/29/2011,0.9096
6/30/2011,0.9327
5/31/2011,0.937
4/29/2011,0.9115
3/31/2011,0.9682
2/28/2011,0.9818
1/31/2011,1.0026
12/31/2010,0.9772
11/30/2010,1.0431
10/29/2010,1.0167
9/30/2010,1.0341
8/31/2010,1.1228
7/30/2010,1.106
6/30/2010,1.1894
5/31/2010,1.1822
4/30/2010,1.078
3/31/2010,1.0903
2/26/2010,1.1166
1/29/2010,1.1316
12/31/2009,1.1125
11/30/2009,1.0918
10/30/2009,1.1116
9/30/2009,1.1329
8/31/2009,1.185
7/31/2009,1.1966
6/30/2009,1.2402
5/29/2009,1.2481
4/30/2009,1.3782
3/31/2009,1.4468
2/27/2009,1.5655
1/30/2009,1.5693
12/31/2008,1.4232
11/28/2008,1.526
10/31/2008,1.4976
9/30/2008,1.262
8/29/2008,1.1659
7/31/2008,1.0613
6/30/2008,1.0432
5/30/2008,1.0461
4/30/2008,1.0597
3/31/2008,1.0952
2/29/2008,1.0743
1/31/2008,1.1165
12/31/2007,1.1427
11/30/2007,1.1308
10/31/2007,1.0705
9/28/2007,1.1263
8/31/2007,1.2216
7/31/2007,1.1742
6/29/2007,1.1774
5/31/2007,1.2079
4/30/2007,1.2047
3/30/2007,1.2368
2/28/2007,1.2692
1/31/2007,1.2871
12/29/2006,1.2682
11/30/2006,1.2675
10/31/2006,1.2924
9/29/2006,1.3403
8/31/2006,1.3092
7/31/2006,1.3047
6/30/2006,1.3453
5/31/2006,1.3293
4/28/2006,1.3167
3/31/2006,1.3958
2/28/2006,1.3468
1/31/2006,1.3187
12/30/2005,1.3617
11/30/2005,1.3559
10/31/2005,1.3365
9/30/2005,1.3122
8/31/2005,1.3241
7/29/2005,1.3217
6/30/2005,1.3115
5/31/2005,1.3229
4/29/2005,1.2798
3/31/2005,1.2938
2/28/2005,1.263
1/31/2005,1.2892
12/31/2004,1.2817
11/30/2004,1.2939
10/29/2004,1.3363
9/30/2004,1.3744
8/31/2004,1.4204
7/30/2004,1.423
6/30/2004,1.4306
5/31/2004,1.3984
4/30/2004,1.3874
3/31/2004,1.3042
2/27/2004,1.2925
1/30/2004,1.3088
12/31/2003,1.3298
11/28/2003,1.3808
10/31/2003,1.4111
9/30/2003,1.4696
8/29/2003,1.5442
7/31/2003,1.5413
6/30/2003,1.4847
5/30/2003,1.5306
4/30/2003,1.5956
3/31/2003,1.6539
2/28/2003,1.6432
1/31/2003,1.7031
12/31/2002,1.7801
11/29/2002,1.7827
10/31/2002,1.8029
9/30/2002,1.8428
8/30/2002,1.8154
7/31/2002,1.8423
6/28/2002,1.7776
5/31/2002,1.7626
4/30/2002,1.8568
3/29/2002,1.8771
2/28/2002,1.9311
1/31/2002,1.9697
12/31/2001,1.9629
11/30/2001,1.9163
10/31/2001,1.9883
9/28/2001,2.0356
8/31/2001,1.8888
7/31/2001,1.9614
6/29/2001,1.9545
5/31/2001,1.9759
4/30/2001,1.9518
3/30/2001,2.0595
2/28/2001,1.901
1/31/2001,1.8167
12/29/2000,1.7897
11/30/2000,1.8939
10/31/2000,1.9277
9/29/2000,1.8425
8/31/2000,1.7333
7/31/2000,1.7225
6/30/2000,1.676
5/31/2000,1.7461
4/28/2000,1.712
3/31/2000,1.6473
2/29/2000,1.619
1/31/2000,1.569
12/31/1999,1.5229
11/30/1999,1.5739
10/29/1999,1.5656
9/30/1999,1.5336
8/31/1999,1.5638
7/30/1999,1.5333
6/30/1999,1.4964
5/31/1999,1.5412
4/30/1999,1.5119
3/31/1999,1.5767
2/26/1999,1.6162
1/29/1999,1.5867
12/31/1998,1.6385
11/30/1998,1.5907
10/30/1998,1.6001
9/30/1998,1.6851
8/31/1998,1.7598
7/31/1998,1.6514
6/30/1998,1.611
5/29/1998,1.6053
4/30/1998,1.5402
3/31/1998,1.5095
2/27/1998,1.4706
1/30/1998,1.4636
12/31/1997,1.5376
11/28/1997,1.4678
10/31/1997,1.4262
9/30/1997,1.3792
8/29/1997,1.3657
7/31/1997,1.3373
6/30/1997,1.3263
5/30/1997,1.3155
4/30/1997,1.2811
3/31/1997,1.2728
2/28/1997,1.2846
1/31/1997,1.3117
12/31/1996,1.2592
11/29/1996,1.2253
10/31/1996,1.2632
9/30/1996,1.2637
8/30/1996,1.2665
7/31/1996,1.2942
6/28/1996,1.269
5/31/1996,1.2521
4/30/1996,1.2699
3/29/1996,1.2774
2/29/1996,1.3078
1/31/1996,1.3399
12/29/1995,1.3463
11/30/1995,1.3445
10/31/1995,1.3166
9/29/1995,1.3234
8/31/1995,1.3316
7/31/1995,1.354
6/30/1995,1.408
5/31/1995,1.3932
4/28/1995,1.3732
3/31/1995,1.3615
2/28/1995,1.3533
1/31/1995,1.3216
12/30/1994,1.2897
11/30/1994,1.3008
10/31/1994,1.3467
9/30/1994,1.3511
8/31/1994,1.3462
7/29/1994,1.3523
6/30/1994,1.3727
5/31/1994,1.3567
4/29/1994,1.3976
3/31/1994,1.4194
2/28/1994,1.4015
1/31/1994,1.4112
12/31/1993,1.4721
11/30/1993,1.5165
10/29/1993,1.5004
9/30/1993,1.548
8/31/1993,1.4848
7/30/1993,1.4493
6/30/1993,1.5026
5/31/1993,1.4738
4/30/1993,1.4138
3/31/1993,1.4174
2/26/1993,1.4384
1/29/1993,1.4702
12/31/1992,1.4503
11/30/1992,1.4652
10/30/1992,1.4372
9/30/1992,1.4021
8/31/1992,1.3978
7/31/1992,1.3439
6/30/1992,1.3384
5/29/1992,1.3196
4/30/1992,1.3217
3/31/1992,1.2979
2/28/1992,1.3245
1/31/1992,1.3317
12/31/1991,1.312
11/29/1991,1.2742
10/31/1991,1.2765
9/30/1991,1.2539
8/30/1991,1.2742
7/31/1991,1.2855
6/28/1991,1.3033
5/31/1991,1.3164
4/30/1991,1.2758
3/29/1991,1.2862
2/28/1991,1.2695
1/31/1991,1.2744
12/31/1990,1.2962
11/30/1990,1.2939
10/31/1990,1.2718
9/28/1990,1.2099
8/31/1990,1.2277
7/31/1990,1.255
6/29/1990,1.2579
5/31/1990,1.3007
4/30/1990,1.3275
3/30/1990,1.3236
2/28/1990,1.3148
1/31/1990,1.2927
12/29/1989,1.2674
11/30/1989,1.2715
10/31/1989,1.278
9/29/1989,1.2845
8/31/1989,1.3072
7/31/1989,1.3149
6/30/1989,1.3228
5/31/1989,1.3289
4/28/1989,1.2591
3/31/1989,1.2203
2/28/1989,1.2477
1/31/1989,1.1249
12/30/1988,1.1689
11/30/1988,1.1388
10/31/1988,1.2112
9/30/1988,1.2773
8/31/1988,1.2393
7/29/1988,1.243
6/30/1988,1.2594
5/31/1988,1.2421
4/29/1988,1.3184
3/31/1988,1.3535
2/29/1988,1.3893
1/29/1988,1.401
12/31/1987,1.3841
11/30/1987,1.418
10/30/1987,1.4799
9/30/1987,1.39
8/31/1987,1.4037
7/31/1987,1.4331
6/30/1987,1.3883
5/29/1987,1.4011
4/30/1987,1.4188
3/31/1987,1.4178
2/27/1987,1.4819
1/30/1987,1.5133
12/31/1986,1.5056
11/28/1986,1.5401
10/31/1986,1.562
9/30/1986,1.5903
8/29/1986,1.6423
7/31/1986,1.6437
6/30/1986,1.4899
5/30/1986,1.3881
4/30/1986,1.3546
3/31/1986,1.4047
2/28/1986,1.4116
1/31/1986,1.4021
12/31/1985,1.4658
11/29/1985,1.4588
10/31/1985,1.4249
9/30/1985,1.4037
8/30/1985,1.4221
7/31/1985,1.3933
6/28/1985,1.4954
5/31/1985,1.5038
4/30/1985,1.5198
3/29/1985,1.4154
2/28/1985,1.4337
1/31/1985,1.2268
12/31/1984,1.208
11/30/1984,1.1625
10/31/1984,1.1874
9/28/1984,1.2008
8/31/1984,1.1738
7/31/1984,1.208
6/29/1984,1.1609
5/31/1984,1.1148
4/30/1984,1.0854
3/30/1984,1.0678
2/29/1984,1.0593
1/31/1984,1.0952
12/30/1983,1.1204
11/30/1983,1.0972
10/31/1983,1.0886
9/30/1983,1.1148
8/31/1983,1.1374
7/29/1983,1.1348
6/30/1983,1.1429
5/31/1983,1.1331
4/29/1983,1.1526
3/31/1983,1.155
2/28/1983,1.0406
1/31/1983,1.0275
12/31/1982,1.0194
11/30/1982,1.0466
10/29/1982,1.0702
9/30/1982,1.0532
8/31/1982,1.0355
7/30/1982,1.003
6/30/1982,0.9799
5/31/1982,0.9515
4/30/1982,0.9425
3/31/1982,0.951
2/26/1982,0.93
1/29/1982,0.9099
12/31/1981,0.8861
11/30/1981,0.869
10/30/1981,0.8807
9/30/1981,0.874
8/31/1981,0.8699
7/31/1981,0.8797
6/30/1981,0.8709
5/29/1981,0.8781
4/30/1981,0.8687
3/31/1981,0.8601
2/27/1981,0.8632
1/30/1981,0.8518
12/31/1980,0.8475
11/28/1980,0.857
10/31/1980,0.8522
9/30/1980,0.8553
8/29/1980,0.8584
7/31/1980,0.8656
6/30/1980,0.8651
5/30/1980,0.8726
4/30/1980,0.8967
3/31/1980,0.9234
2/29/1980,0.9099
1/31/1980,0.9032
12/31/1979,0.9033
11/30/1979,0.9145
10/31/1979,0.9107
9/28/1979,0.8861
8/31/1979,0.8872
7/31/1979,0.8829
6/29/1979,0.8924
5/31/1979,0.9051
4/30/1979,0.906
3/30/1979,0.8945
2/28/1979,0.8861
1/31/1979,0.8811
12/29/1978,0.8688
11/30/1978,0.8807
10/31/1978,0.8432
9/29/1978,0.8656
8/31/1978,0.8699
7/31/1978,0.8639
6/30/1978,0.8718
5/31/1978,0.8901
4/28/1978,0.8811
3/31/1978,0.8757
2/28/1978,0.8807
1/31/1978,0.8794
12/30/1977,0.8764
11/30/1977,0.8885
10/31/1977,0.8917
9/30/1977,0.9042
8/31/1977,0.9058
7/29/1977,0.8895
6/30/1977,0.8973
5/31/1977,0.9066
4/29/1977,0.9054
3/31/1977,0.9066
2/28/1977,0.9152
1/31/1977,0.9204
12/31/1976,0.9191
11/30/1976,0.9852
10/29/1976,0.8173
9/30/1976,0.8115
8/31/1976,0.8035
7/30/1976,0.8074
6/30/1976,0.8114
5/31/1976,0.815
4/30/1976,0.8087
3/31/1976,0.8027
2/27/1976,0.7946
1/30/1976,0.7959
12/31/1975,0.7971
11/28/1975,0.794
10/31/1975,0.7896
9/30/1975,0.7965
8/29/1975,0.7831
7/31/1975,0.7701
6/30/1975,0.7539
5/30/1975,0.7446
4/30/1975,0.7485
3/31/1975,0.7402
2/28/1975,0.7331
1/31/1975,0.7477
12/31/1974,0.7567
11/29/1974,0.7605
10/31/1974,0.7645
9/30/1974,0.7657
8/30/1974,0.6734
7/31/1974,0.6745
6/28/1974,0.6734
5/31/1974,0.6745
4/30/1974,0.6734
3/29/1974,0.6734
2/28/1974,0.6734
1/31/1974,0.6734
12/31/1973,0.6745
11/30/1973,0.6757
10/31/1973,0.6734
9/28/1973,0.6757
8/31/1973,0.7062
7/31/1973,0.7042
6/29/1973,0.7067
5/31/1973,0.7067
4/30/1973,0.7067
3/30/1973,0.7067
2/28/1973,0.7092
1/31/1973,0.7868
12/29/1972,0.7855
11/30/1972,0.8396
10/31/1972,0.8403
9/29/1972,0.8396
8/31/1972,0.8396
7/31/1972,0.8396
6/30/1972,0.8396
5/31/1972,0.8396
4/28/1972,0.8396
3/31/1972,0.8396
2/29/1972,0.8396
1/31/1972,0.8396
12/31/1971,0.8413
11/30/1971,0.8627
10/29/1971,0.8627
9/30/1971,0.8662
8/31/1971,0.8718
7/30/1971,0.8896
6/30/1971,0.8894
5/31/1971,0.8894
4/30/1971,0.8893
3/31/1971,0.8897
2/26/1971,0.8898
1/29/1971,0.8902
