Date,USDCNY
1981-02,-0.01810989554360598
1981-03,0.0008660686668728879
1981-04,-0.042471271176400816
1981-05,-0.03421052631578947
1981-06,-0.001770315801496336
1981-07,-0.018716727374614606
1981-08,0.006656512664297454
1981-09,0.000451492747897575
1981-10,0.002319266885394189
1981-11,0.02952652728437477
1981-12,-0.018743928224469908
1982-01,-0.02648122392211416
1982-02,-0.02070280577499306
1982-03,-0.019602606559128488
1982-04,0.02121856761032026
1982-05,0.00010910479515557903
1982-06,-0.05305300134311397
1982-07,0.002381938690969365
1982-08,-0.009691810676375479
1982-09,-0.011756955353975584
1982-10,-0.015614087598523452
1982-11,0.007033055360192941
1982-12,0.032736705577172565
1983-01,-0.00971023427866835
1983-02,-0.0137819213619782
1983-03,-0.012755740083037481
1983-04,0.0041187402682205665
1983-05,-0.004002201210665857
1983-06,0.005078439259855072
1983-07,-0.00485364023017254
1983-08,0.004170435132147432
1983-09,0.005049994950005132
1983-10,-0.0019153225806451957
1983-11,-0.005015045135406182
1983-12,0.004078755224331543
1984-01,-0.0447811447811447
1984-02,0.013207271309518154
1984-03,-0.005814235185813255
1984-04,-0.03235032115898551
1984-05,-0.03806431245208142
1984-06,-0.015801855386390895
1984-07,-0.03615127919911021
1984-08,-0.03397255744751182
1984-09,-0.0602035267614387
1984-10,-0.02720471548401715
1984-11,-0.05319643687618514
1984-12,-0.002640311128554673
1985-01,-0.004970355380409575
1985-02,-0.008797550761867945
1985-03,0.005235416887756639
1985-04,-0.011331444759206777
1985-05,0.0029816191946121506
1985-06,-0.011888669370212379
1985-07,3.466204506064052e-05
1985-08,-0.010902358749314334
1985-09,-0.019727776844227773
1985-10,-0.07290855273407082
1985-11,0.0
1985-12,0.0
1986-01,0.0
1986-02,-0.001990111632824476
1986-03,-0.003995292368681791
1986-04,0.009031532235382222
1986-05,-0.005964399987574143
1986-06,0.003992140473442651
1986-07,-0.13644321150583083
1986-08,0.0
1986-09,-0.0029806659505908772
1986-10,-0.0019831698558182564
1986-11,0.0
1986-12,0.0
1987-01,0.0
1987-02,0.0
1987-03,0.0
1987-04,0.0
1987-05,0.0
1987-06,0.0
1987-07,0.0
1987-08,0.0
1987-09,0.0
1987-10,0.0
1987-11,0.0
1987-12,0.0
1988-01,0.0
1988-02,0.0
1988-03,0.0
1988-04,0.0
1988-05,0.0
1988-06,0.0
1988-07,0.0
1988-08,0.0
1988-09,0.0
1988-10,0.0
1988-11,0.0
1988-12,0.0
1989-01,0.0
1989-02,0.0
1989-03,0.0
1989-04,0.0
1989-05,0.0
1989-06,0.0
1989-07,0.0
1989-08,0.0
1989-09,0.0
1989-10,0.0
1989-11,0.0
1989-12,-0.21177042185090522
1990-01,0.0
1990-02,0.0
1990-03,0.0
1990-04,0.0
1990-05,0.0
1990-06,0.0
1990-07,0.0
1990-08,0.0
1990-09,0.0
1990-10,0.0
1990-11,-0.09575565403422981
1990-12,0.0
1991-01,0.0
1991-02,0.0
1991-03,0.0
1991-04,-0.012896900218719476
1991-05,-0.008487567769676407
1991-06,-0.003725088470851179
1991-07,0.0015856729782668388
1991-08,-0.004771452972410883
1991-09,-0.0006864691367185483
1991-10,-0.0008341984279994774
1991-11,-0.003159937170839844
1991-12,-0.006663240207056109
1992-01,-0.003803532896902273
1992-02,-0.002626299471092386
1992-03,0.00032839524191774494
1992-04,-0.007730045800973917
1992-05,0.003469699171631868
1992-06,0.005296029803864455
1992-07,0.007785037268795314
1992-08,0.002509271388770884
1992-09,-0.017065651070003685
1992-10,-0.00923563445574438
1992-11,-0.029420484470099817
1992-12,-0.005566924490999381
1993-01,-0.0040073237295744635
1993-02,0.006047336044208151
1993-03,0.0037151378787085854
1993-04,0.0045027682388394386
1993-05,-0.0062159385719010585
1993-06,-0.0055924925548862525
1993-07,0.0
1993-08,-0.005287360281074016
1993-09,0.0008618757864615745
1993-10,0.0
1993-11,-0.003127416444711595
1993-12,-0.0008584427847884157
1994-01,-0.3321829459853012
1994-02,0.003647871116225776
1994-03,0.0005757052389174788
1994-04,6.908940168592892e-05
1994-05,0.002863873620028601
1994-06,0.0009015464989945432
1994-07,0.003735672188964534
1994-08,0.006997908805215225
1994-09,0.0034818288393905217
1994-10,0.00046915317851259353
1994-11,0.0019978845927839384
1994-12,0.0074352963462860355
1995-01,0.0009243458475540756
1995-02,0.0008658419423324126
1995-03,0.0005577708155324324
1995-04,0.0022599138853864886
1995-05,0.012268978387815377
1995-06,0.0005300502343064117
1995-07,9.638205847983805e-05
1995-08,-0.0023677884615385114
1995-09,0.00018032097132913982
1995-10,0.0004329577024377862
1995-11,0.000397035468501894
1995-12,-0.000697333301271974
1996-01,0.00043301498712966513
1996-02,-0.0008772878585763255
1996-03,-0.0015239146607790577
1996-04,0.00044417233886751006
1996-05,0.0005525193682061058
1996-06,0.00040855072637913104
1996-07,0.001371725606748031
1996-08,0.0005297184065107263
1996-09,0.0005541033764169256
1996-10,0.00021687008277226916
1996-11,-0.00015660386450155883
1996-12,0.0003374144413379465
1997-01,0.00067528458421795
1997-02,-0.0003134267184223827
1997-03,-1.205472846721456e-05
1997-04,0.00012056181807240662
1997-05,0.00028943211008058967
1997-06,0.0001568003087757397
1997-07,6.031144831930568e-05
1997-08,0.000277509652509611
1997-09,0.00036210018105009567
1997-10,0.0001931573991356128
1997-11,0.0004106280193238998
1997-12,6.0390120176334605e-05
1998-01,0.00012079482998150759
1998-02,-4.831559748286196e-05
1998-03,-4.831326319854057e-05
1998-04,0.00016912501963051163
1998-05,-0.000169096421194892
