Date,USDRUB
1993-08,-0.005541561712846366
1993-09,-0.15098374679213
1993-10,-0.012668918918918859
1993-11,-0.038180341186027755
1993-12,-0.012830793905373006
1994-01,-0.1944444444444443
1994-02,-0.06690777576853524
1994-03,-0.05362236166571577
1994-04,-0.043122270742358304
1994-05,-0.04384133611690999
1994-06,-0.03670186023127209
1994-07,-0.034466019417475735
1994-08,-0.062357760582612665
1994-09,-0.16559058108621338
1994-10,-0.14373983739837404
1994-11,-0.049165120593691936
1994-12,-0.08901408450704218
1995-01,-0.12302371541501989
1995-02,-0.09501453163424989
1995-03,-0.08695652173913049
1995-04,-0.04241594996090703
1995-05,0.025250501002003878
1995-06,0.09936109275170768
1995-07,0.021147356580427212
1995-08,-0.0004497413986956911
1995-09,-0.011558124027561512
1995-10,-0.001110124333925322
1995-11,-0.01659388646288218
1995-12,-0.01399354144241105
1996-01,-0.01880016899028325
1996-02,-0.01743462017434616
1996-03,-0.00782537067545308
1996-04,-0.01700404858299598
1996-05,-0.018087855297157507
1996-06,-0.014495592556317383
1996-07,-0.01618809019078815
1996-08,-0.030455904334828143
1996-09,-0.008154188287620379
1996-10,-0.010815765352887308
1996-11,-0.010161495191435388
1996-12,-0.007027027027026844
1997-01,-0.013684023458325978
1997-02,-0.008632840028188982
1997-03,-0.008732099196646859
1997-04,-0.005902777777777812
1997-05,-0.002251862116750214
1997-06,-0.0015565548253200223
1997-07,-0.0027595722662986377
1997-08,-0.0044642857142858094
1997-09,-0.006312915884661319
1997-10,-0.004416510956344433
1997-11,-0.0050701368936961755
1997-12,-0.006881503860355909
1998-01,-0.010463378176382543
1998-02,-0.008072487644151694
1998-03,-0.005895840157222332
1998-04,-0.004402413174629083
1998-05,-0.004383116883116878
1998-06,-0.0061310100032268
1998-07,-0.006412311638345658
1998-08,-0.3793034825870647
1998-09,-0.3683218101822753
1998-10,-0.04444444444444429
1998-11,-0.08641975308641991
1998-12,-0.11614936954413191
1999-01,-0.10152505446623084
1999-02,-0.005417118093174467
1999-03,-0.07236180904522616
1999-04,0.011590077267181753
1999-05,-0.005460060667340727
1999-06,0.019377447948876636
1999-07,0.000412456176531073
1999-08,-0.03348614709986053
1999-09,-0.0059441252229045505
1999-10,-0.033326948860371575
1999-11,-0.02228464419475651
1999-12,-0.03085299455535384
2000-01,-0.03789069320761318
2000-02,-0.0022648083623694193
2000-03,0.0013956734124216386
2000-04,0.008090045726345307
2000-05,0.0062826298557649984
2000-06,0.0065016031350195735
2000-07,0.007537688442210921
2000-08,0.0030603060306031438
2000-09,-0.00025196170182140154
2000-10,-0.0035865432895776372
2000-11,-0.0018615307510559953
2000-12,-0.008025568181817988
2001-01,-0.007402185407120343
2001-02,-0.010463899546564348
2001-03,-0.0031293463143253764
2001-04,-0.0058762530245418665
2001-05,-0.007955558603662372
2001-06,0.0005146327237794956
2001-07,-0.007085675353432075
2001-08,-0.0023111171532473884
2001-09,-0.0014931957783282934
2001-10,-0.00881294359043372
2001-11,-0.006217616580310947
2001-12,-0.019341091624323736
2002-01,-0.006675350048844231
2002-02,-0.008139009107938633
2002-03,-0.00794617109900686
2002-04,0.0003205128205130414
2002-05,-0.004308281474389775
2002-06,-0.00444797458300239
2002-07,0.0
2002-08,-0.004994783928176205
2002-09,-0.0017986746607764337
2002-10,-0.002988831209690068
2002-11,-0.002510591558135822
2002-12,-0.0028164606477859566
2003-01,0.003328204967188997
2003-02,0.008374360841552075
2003-03,0.006314857119188666
2003-04,0.00888138862102239
2003-05,0.01253051261187954
2003-06,0.011839093708320148
2003-07,0.003516297576596772
2003-08,-0.008288542212899763
2003-09,-0.002452022100892459
2003-10,0.02143930539322092
2003-11,0.00687614532371672
2003-12,0.01703000769428087
2004-01,0.024973711882229077
2004-02,0.0006839585415898686
2004-03,-0.0002980469160910326
2004-04,-0.016789629731779665
2004-05,0.00041387873353104787
2004-06,-0.0026075170795810676
2004-07,-0.001243729815158301
2004-08,-0.005331146196432157
2004-09,0.0013379917804188235
2004-10,0.01660781687568491
2004-11,0.021880554568076915
2004-12,0.014790764790764799
2005-01,-0.010706638115631661
2005-02,0.012466124661246525
2005-03,-0.006715215292458221
2005-04,0.00291926136568188
2005-05,-0.01627095837538306
2005-06,-0.013604610548375695
2005-07,0.0
2005-08,0.005266853932584192
2005-09,-0.0006211027556609627
2005-10,-0.003054049326570163
2005-11,-0.007713349440417572
2005-12,0.0022893804755510505
2006-01,0.023597874553043408
2006-02,0.0015301809465719796
2006-03,0.011943692474282841
2006-04,0.019518226579231968
2006-05,0.00595996090857942
2006-06,0.006261757091505116
2006-07,0.001548276376660107
2006-08,0.0019400346141049685
2006-09,-0.0016308525963024678
2006-10,0.0031334114502417076
2006-11,0.01722791958780956
2006-12,-0.002499477692731622
2007-01,-0.005459010200226544
2007-02,0.013566551920875192
2007-03,0.004991149080273871
2007-04,0.011490494651782202
2007-05,-0.007444897328413913
2007-06,0.005383590536377936
2007-07,0.007482282409201124
2007-08,-0.003987371375116955
2007-09,0.032069126426054195
2007-10,0.008241535391554144
2007-11,0.006309946532794486
2007-12,-0.004048681739469817
2008-01,0.0067648033787186534
2008-02,0.017531220980832263
2008-03,0.022193939445534605
2008-04,-0.006125807502421976
2008-05,-0.0019549062658336114
2008-06,0.010211306654837493
2008-07,0.0005462661852695394
2008-08,-0.049227023737066444
2008-09,-0.03895273339858596
2008-10,-0.05264693930326203
2008-11,-0.030587578026795126
2008-12,-0.05032190921241919
2009-01,-0.1772338567958721
2009-02,-0.004936834689825753
2009-03,0.05771632208281785
