Date,USDTRY
1981-03,0.0
1981-04,0.0
1981-05,0.0
1981-06,0.0
1981-07,0.0
1981-08,0.0
1981-09,0.0
1981-10,0.0
1981-11,0.0
1981-12,0.0
1982-01,0.0
1982-02,0.0
1982-03,0.0
1982-04,-0.5
1982-05,0.0
1982-06,0.0
1982-07,0.0
1982-08,0.0
1982-09,0.0
1982-10,0.0
1982-11,0.0
1982-12,0.0
1983-01,0.0
1983-02,0.0
1983-03,0.0
1983-04,0.0
1983-05,0.0
1983-06,0.0
1983-07,0.0
1983-08,0.0
1983-09,0.0
1983-10,-0.33333333333333326
1983-11,0.0
1983-12,0.0
1984-01,0.0
1984-02,0.0
1984-03,0.0
1984-04,0.0
1984-05,-0.25
1984-06,0.0
1984-07,0.0
1984-08,0.0
1984-09,0.0
1984-10,0.0
1984-11,0.0
1984-12,0.0
1985-01,-0.19999999999999996
1985-02,0.0
1985-03,0.0
1985-04,0.0
1985-05,0.0
1985-06,0.0
1985-07,0.0
1985-08,0.0
1985-09,-0.16666666666666663
1985-10,0.0
1985-11,0.19999999999999996
1985-12,-0.16666666666666663
1986-01,0.0
1986-02,0.0
1986-03,-0.1428571428571428
1986-04,0.0
1986-05,0.0
1986-06,0.0
1986-07,0.0
1986-08,0.0
1986-09,0.0
1986-10,0.0
1986-11,0.0
1986-12,-0.1250000000000001
1987-01,0.0
1987-02,0.0
1987-03,0.0
1987-04,0.0
1987-05,0.0
1987-06,-0.11111111111111116
1987-07,0.0
1987-08,0.0
1987-09,0.0
1987-10,0.0
1987-11,-0.09999999999999998
1987-12,0.0
1988-01,-0.09090909090909094
1988-02,-0.08333333333333326
1988-03,0.0
1988-04,0.0
1988-05,-0.07692307692307687
1988-06,-0.0714285714285714
1988-07,0.0
1988-08,-0.06666666666666676
1988-09,-0.0625
1988-10,-0.05882352941176472
1988-11,-0.05555555555555558
1988-12,-0.052631578947368474
1989-01,-0.04999999999999993
1989-02,0.05263157894736836
1989-03,-0.04999999999999993
1989-04,-0.04761904761904756
1989-05,0.0
1989-06,-0.045454545454545525
1989-07,0.0
1989-08,0.0
1989-09,0.0
1989-10,-0.04347826086956508
1989-11,0.0
1989-12,0.0
1990-01,0.0
1990-02,-0.04166666666666663
1990-03,-0.040000000000000036
1990-04,0.0
1990-05,-0.038461538461538436
1990-06,0.0
1990-07,-0.0370370370370372
1990-08,0.03846153846153877
1990-09,-0.0714285714285714
1990-10,0.0
1990-11,0.0
1990-12,-0.034482758620689724
1991-01,-0.03333333333333344
1991-02,-0.09090909090909072
1991-03,-0.10810810810810823
1991-04,-0.07499999999999996
1991-05,0.0
1991-06,-0.04761904761904756
1991-07,-0.045454545454545525
1991-08,0.0
1991-09,-0.04347826086956508
1991-10,-0.08000000000000007
1991-11,0.04166666666666674
1991-12,-0.05882352941176483
1992-01,-0.05555555555555558
1992-02,-0.06896551724137912
1992-03,-0.06451612903225812
1992-04,-0.0461538461538461
1992-05,-0.044117647058823484
1992-06,0.0
1992-07,-0.02857142857142858
1992-08,0.01449275362318847
1992-09,-0.04166666666666674
1992-10,-0.06493506493506496
1992-11,-0.060975609756097615
1992-12,-0.03529411764705881
1993-01,-0.022988505747126298
1993-02,-0.03333333333333344
1993-03,-0.042553191489361764
1993-04,-0.02083333333333326
1993-05,-0.040000000000000036
1993-06,-0.07407407407407418
1993-07,-0.044247787610619316
1993-08,-0.03418803418803429
1993-09,-0.040983606557377095
1993-10,-0.054263565891472854
1993-11,-0.058394160583941535
1993-12,-0.06164383561643838
1994-01,-0.1560693641618497
1994-02,-0.06989247311827962
1994-03,-0.256
1994-04,-0.22360248447204967
1994-05,0.03536977491961424
1994-06,0.003225806451612856
1994-07,-0.003215434083601254
1994-08,-0.07715133531157281
1994-09,-0.011730205278592254
1994-10,-0.04748603351955316
1994-11,-0.016483516483516536
1994-12,-0.05208333333333326
1995-01,-0.05185185185185193
1995-02,-0.024096385542168752
1995-03,-0.009546539379474805
1995-04,-0.014117647058823568
1995-05,-0.007009345794392385
1995-06,-0.02505694760820054
1995-07,-0.026607538802660757
1995-08,-0.060416666666666674
1995-09,-0.018404907975460016
1995-10,-0.044921875
1995-11,-0.06227106227106238
1995-12,-0.09302325581395343
1996-01,-0.0414012738853502
1996-02,-0.04992435703479592
1996-03,-0.06770098730606489
1996-04,-0.05592543275632478
1996-05,-0.03964194373401542
1996-06,-0.04166666666666663
1996-07,-0.01923076923076905
1996-08,-0.04257767548906799
1996-09,-0.052344601962922566
1996-10,-0.06903553299492382
1996-11,-0.0314650934119961
1996-12,-0.05746061167747907
1997-01,-0.07461406518010283
1997-02,-0.04660670482420293
1997-03,-0.04303599374021905
1997-04,-0.05403404885270169
1997-05,-0.037749287749287874
1997-06,-0.05454545454545445
1997-07,-0.07071339173967461
1997-08,-0.045400238948626104
1997-09,-0.04123711340206182
1997-10,-0.041186161449752956
1997-11,-0.0690184049079754
1997-12,-0.05048543689320384
1998-01,-0.05591200733272228
1998-02,-0.04840819886611436
1998-03,-0.055212196126905644
1998-04,-0.029200000000000004
1998-05,-0.03213317847464181
1998-06,-0.030405405405405594
1998-07,-0.01442841287458363
1998-08,-0.025945945945946125
1998-09,-0.0007202016564636926
1998-10,-0.029699510831586284
1998-11,-0.056690837178641984
1998-12,-0.03835182250396196
1999-01,-0.05454000599340736
1999-02,-0.058142816821902255
1999-03,-0.050388635754489375
1999-04,-0.0384020618556703
1999-05,-0.045979837718219785
1999-06,-0.03625592417061607
1999-07,-0.017919478706074132
1999-08,-0.036763057610401106
1999-09,-0.033159947984395366
