Date,USDINR
1973-02,0.06382978723404253
1973-03,-0.0079155672823219
1973-04,0.0
1973-05,0.0312925170068028
1973-06,0.011004126547455417
1973-07,-0.02937249666221653
1973-08,-0.01187335092348274
1973-09,-0.021935483870967776
1973-10,0.007802340702210531
1973-11,-0.04590570719602971
1973-12,-0.01225490196078427
1974-01,-0.04561403508771933
1974-02,0.04268292682926855
1974-03,0.028858218318695172
1974-04,0.020486555697823094
1974-05,0.0
1974-06,0.0
1974-07,-0.007623888182973215
1974-08,-0.02839506172839501
1974-09,-0.0024630541871920597
1974-10,0.007444168734491052
1974-11,0.0
1974-12,-0.008610086100861003
1975-01,0.0
1975-02,0.023929471032745786
1975-03,0.02451612903225797
1975-04,-0.03125
1975-05,-0.012345679012345623
1975-06,-0.03571428571428581
1975-07,-0.012925969447708519
1975-08,-0.03841807909604522
1975-09,-0.010067114093959662
1975-10,0.02405498281786933
1975-11,-0.026755852842809458
1975-12,0.0
1976-01,0.0
1976-02,0.0
1976-03,0.0
1976-04,0.004479283314669846
1976-05,-0.03978494623655926
1976-06,0.03218645948945631
1976-07,0.012359550561797716
1976-08,-0.01220865704772467
1976-09,0.01807909604519775
1976-10,-0.008958566629339249
1976-11,0.0
1976-12,-0.004459308807135076
1977-01,0.018161180476730987
1977-02,-0.006764374295377573
1977-03,0.005668934240362633
1977-04,-0.003389830508474523
1977-05,0.0022650056625141968
1977-06,-0.00563063063063074
1977-07,0.007945516458569779
1977-08,0.009163802978235935
1977-09,0.0
1977-10,0.021052631578947434
1977-11,-0.008120649651972012
1977-12,0.017709563164108433
1978-01,0.04567901234567917
1978-02,-0.0036900369003691758
1978-03,-0.024009603841536498
1978-04,-0.042528735632183734
1978-05,0.0308056872037914
1978-06,0.013205282112844996
1978-07,0.024600246002459913
1978-08,-0.00367647058823517
1978-09,0.023839397741530766
1978-10,0.04046997389033913
1978-11,-0.08043217286914761
1978-12,0.012150668286755817
1979-01,-0.007237635705669265
1979-02,0.008515815085157863
1979-03,-0.009638554216867545
1979-04,-0.008363201911588791
1979-05,0.018248175182481452
1979-06,0.017326732673267342
1979-07,0.017632241813602123
1979-08,-0.017326732673267342
1979-09,0.002481389578163684
1979-10,-0.04047619047619044
1979-11,0.0370370370370372
1979-12,0.012499999999999956
1980-01,0.0
1980-02,-0.007444168734491385
1980-03,-0.01707317073170711
1980-04,0.037974683544303556
1980-05,0.01935483870967758
1980-06,-0.01273885350318471
1980-07,0.011597938144330078
1980-08,0.001290322580645098
1980-09,0.0
1980-10,0.0038860103626945364
1980-11,-0.01278772378516635
1980-12,-0.015113350125944613
1981-01,-0.01610904584882289
1981-02,-0.030048076923076983
1981-03,0.001203369434416457
1981-04,0.0
1981-05,-0.022352941176470575
1981-06,-0.013921113689094988
1981-07,-0.04434589800443467
1981-08,-0.0033149171270718814
1981-09,-0.007675438596491113
1981-10,-0.0010952902519169028
1981-11,0.002195389681668658
1981-12,0.0
1982-01,-0.004371584699453646
1982-02,-0.012944983818770184
1982-03,-0.008556149732620422
1982-04,-0.0031982942430703876
1982-05,-0.0010649627263046302
1982-06,-0.018808777429467072
1982-07,0.0010460251046024993
1982-08,-0.007268951194184914
1982-09,-0.006191950464396134
1982-10,-0.002059732234809597
1982-11,-0.006141248720573089
1982-12,0.015592515592515621
1983-01,-0.028282828282828354
1983-02,-0.004024144869215207
1983-03,-0.010945273631840946
1983-04,0.008024072216650024
1983-05,-0.00499001996007975
1983-06,-0.007920792079207928
1983-07,-0.0019762845849801147
1983-08,-0.008814887365328317
1983-09,0.0
1983-10,-0.006809338521400754
1983-11,-0.016267942583732098
1983-12,-0.0057088487155089185
1984-01,-0.02141527001862209
1984-02,0.0037383177570093906
1984-03,0.0
1984-04,-0.019248395967002896
1984-05,-0.011775362318840465
1984-06,-0.015165031222123315
1984-07,-0.02690972222222221
1984-08,-0.005181347150259086
1984-09,-0.03015075376884413
1984-10,-0.01728395061728405
1984-11,0.0
1984-12,-0.020161290322580627
1985-01,-0.024390243902439046
1985-02,-0.02230769230769225
1985-03,0.040000000000000036
1985-04,0.0
1985-05,0.004823151125401992
1985-06,0.003225806451612856
1985-07,0.04729729729729737
1985-08,-0.005042016806722782
1985-09,0.017094017094017255
1985-10,-0.029850746268656803
1985-11,0.0033277870216308347
1985-12,-0.006611570247934018
1986-01,-0.016260162601626105
1986-02,0.01317957166392092
1986-03,-0.01380991064175463
1986-04,0.0032599837000815146
1986-05,-0.03309692671394793
1986-06,0.011961722488038395
1986-07,-0.0023866348448687846
1986-08,0.0015936254980080111
1986-09,-0.017996870109546093
1986-10,-0.013127413127413168
1986-11,-0.012204424103737566
1986-12,-0.0015232292460016783
1987-01,0.01233616037008467
1987-02,-0.006130268199233679
1987-03,0.015564202334630517
1987-04,0.010220125786163381
1987-05,-0.010116731517509692
1987-06,-0.00695517774343124
1987-07,-0.012967200610221163
1987-08,0.0045977011494251485
1987-09,-0.006092916984006047
1987-10,0.010000000000000009
1987-11,0.005413766434648082
1987-12,0.005443234836702837
1988-01,-0.014559386973180155
1988-02,0.0023041474654379446
1988-03,-0.0022988505747127963
1988-04,-0.012859304084720136
1988-05,-0.012696041822255366
1988-06,-0.05304101838755304
1988-07,0.0
1988-08,-0.012569832402234637
1988-09,-0.01513067400275081
1988-10,-0.0221923335574985
1988-11,-0.005351170568561936
1988-12,-0.0046604527296936205
1989-01,-0.009887936717205115
1989-02,-0.010437051532941943
1989-03,-0.019820971867007597
1989-04,-0.012626262626262652
1989-05,-0.030006123698714027
1989-06,-0.006086427267194328
