Date,USDKRW
1981-05,-0.008036236119228546
1981-06,0.0017564402810303914
1981-07,-0.005458912584613063
1981-08,-0.0013084248019190614
1981-09,0.009688073394495511
1981-10,-0.010170722847802405
1981-11,-0.00239165096390781
1981-12,-0.015483410631466299
1982-01,-0.01100839743137394
1982-02,-0.004076182444303855
1982-03,-0.009329527257536663
1982-04,-0.005263522404598708
1982-05,-0.01339255210112733
1982-06,-0.012882773506002865
1982-07,-0.0033611185802635557
1982-08,-0.0014767082829909572
1982-09,0.002489738241033601
1982-10,-0.0021486604445042357
1982-11,-0.0013411117816669593
1982-12,-0.0030750718630926377
1983-01,-0.004260134460493781
1983-02,-0.0014622798271852755
1983-03,-0.014799292777159079
1983-04,-0.004692693736557452
1983-05,-0.004670775218942658
1983-06,-0.008490383996912487
1983-07,-0.005882729074749071
1983-08,-0.010503005378044938
1983-09,-0.0008850116947973774
1983-10,-0.002648004539436366
1983-11,-0.005268109125117659
1983-12,-0.003624320439917561
1984-01,-0.0014351678522399602
1984-02,0.007544322897020006
1984-03,0.00302686341278835
1984-04,-0.008379189594797443
1984-05,-0.0008746719980007311
1984-06,-0.007564484126984183
1984-07,-0.008727719729563654
1984-08,0.003330044400592147
1984-09,-0.006859382655560964
1984-10,-0.0037827943868212754
1984-11,-0.004494655004859016
1984-12,-0.0075949367088608
1985-01,-0.003842920619670953
1985-02,-0.01455621301775134
1985-03,-0.009378663540445586
1985-04,-0.01739430941135811
1985-05,-0.005840586349060928
1985-06,-0.003423875827436751
1985-07,-0.002618099032441479
1985-08,-0.00991772793869028
1985-09,-0.007494407158836869
1985-10,-0.0005589714924538747
1985-11,0.0031400695301111448
1985-12,-0.0008963585434175192
1986-01,0.0016835016835017313
1986-02,0.005529849904073902
1986-03,-0.0015774647887324411
1986-04,0.00011268875366243769
1986-05,-0.004710632570659623
1986-06,0.0030374620317246137
1986-07,-0.00011248593925750061
1986-08,0.0044062817760703865
1986-09,0.004653802497162296
1986-10,0.0043319653442772665
1986-11,0.00792830058600491
1986-12,0.005894590846047043
1987-01,0.005345108064141346
1987-02,0.0023293733985556564
1987-03,0.009167842031029938
1987-04,0.015395631936985232
1987-05,0.01391577928363974
1987-06,0.016982525227664302
1987-07,0.0011087840335097798
1987-08,0.0003697313285679904
1987-09,0.0023471278567017695
1987-10,0.005465159607502157
1987-11,0.0063750000000000195
1987-12,0.005151400929765071
1988-01,0.013756209400076491
1988-02,0.027214444589820808
1988-03,0.019610458911419437
1988-04,0.008475716399838573
1988-05,0.009644118446074268
1988-06,0.006287588846364267
1988-07,0.006881365262868089
1988-08,0.0023451510553180732
1988-09,0.004155700235489723
1988-10,0.024989351128780424
1988-11,0.02028103723018959
1988-12,0.004218795461158109
1989-01,0.005853087503658205
1989-02,0.01124593074874225
1989-03,0.0017788319003853026
1989-04,0.008521453132007917
1989-05,-0.0007469375560202884
1989-06,-0.0007463800567247825
1989-07,-0.0002984629159829
1989-08,-0.002678970084833976
1989-09,-0.0011892374015163298
1989-10,-0.0022248590922574474
1989-11,-0.0016289056715532713
1989-12,-0.008952157323158239
1990-01,-0.011030478955007306
1990-02,-0.011052102770202521
1990-03,-0.009947420775898719
1990-04,-0.008593970132431572
1990-05,-0.007411550832051583
1990-06,-0.0054242002781641485
1990-07,0.0015322468310350335
1990-08,0.0015345982142855874
1990-09,0.00139703827884885
1990-10,-0.0011163829193413521
1990-11,0.000977790194161221
1990-12,-0.004588431590656472
1991-01,-0.0036021058464946742
1991-02,-0.007425742574257543
1991-03,-0.0001374948439433199
1991-04,-0.0009615384615383471
1991-05,0.003031138054560456
1991-06,-0.002199615067363214
1991-07,-0.0021947873799725848
1991-08,-0.010452015745893939
1991-09,-0.012334093041962535
1991-10,-0.011791202967673553
1991-11,-0.005533596837944632
1991-12,-0.008232065856526805
1992-01,-0.0015655577299414913
1992-02,-0.007638529259450966
1992-03,-0.009362575349493585
1992-04,-0.004723002297676526
1992-05,-0.0057113846934890855
1992-06,-0.008806139136998459
1992-07,0.009909795451658043
1992-08,0.0010174233753021955
1992-09,0.0005726283641915852
1992-10,0.004473701028951282
1992-11,-0.003375796178344048
1992-12,-0.0019071837253654689
1993-01,-0.009757632987094755
1993-02,-0.0012574662055957475
1993-03,0.0020160020160020498
1993-04,-0.0030775028262781667
1993-05,-0.0073566084788030395
1993-06,-0.001369692441788084
1993-07,-0.004462625511342577
1993-08,-0.00884629561371153
1993-09,0.004814814814814605
1993-10,0.00222717149220486
1993-11,0.0004951720722952135
1993-12,-0.00037124118302189757
1994-01,-0.0009889974038819194
1994-02,0.0001236399604354066
1994-03,0.006220452848967328
1994-04,-0.0003730879243876162
1994-05,0.0014945821397434056
1994-06,0.0007478499314472753
1994-07,0.004004505068201603
1994-08,0.0015039478631408976
1994-09,0.002638853983412792
1994-10,0.002519526329050281
1994-11,0.0032861476238623677
1994-12,0.005975842339478676
1995-01,0.003700867789688589
1995-02,0.0008941116362242152
1995-03,0.01873780091086541
1995-04,0.013986013986013957
1995-05,-0.0016465784100638814
1995-06,0.005363528009535212
1995-07,-0.0025757875965919386
1995-08,-0.021899224806201656
1995-09,0.011103853690398457
1995-10,0.003934426229508237
1995-11,-0.004829026363873723
1995-12,-0.005193456245131234
1996-01,-0.014080901177675242
1996-02,0.004629629629629539
1996-03,-0.002309468822170979
1996-04,0.00489943269726667
1996-05,-0.011722731906218198
1996-06,-0.026061057334326176
1996-07,-0.005307986668312559
1996-08,-0.007230392156862719
1996-09,-0.005847953216374102
1996-10,-0.007796917497733591
1996-11,0.002119927316777792
