Date,USDEUR
1975-02,0.027831625588479625
1975-03,-0.020612964469758688
1975-04,-0.002704895861509349
1975-05,0.013570938999314608
1975-06,-0.006266176270262824
1975-07,-0.07228611146215091
1975-08,-0.004403623553095093
1975-09,-0.02693437806072485
1975-10,0.032095021480919916
1975-11,-0.022962962962963074
1975-12,0.0008649450142099724
1976-01,-0.010393739300562532
1976-02,-0.008246422507882656
1976-03,-0.018216454339802235
1976-04,-0.009084473808400384
1976-05,-0.006679948435485472
1976-06,0.0031742299553254583
1976-07,-0.0007048872180449584
1976-08,0.004128819157720898
1976-09,0.015817855002995707
1976-10,0.004695400915001313
1976-11,-0.0002407318247472645
1976-12,0.011197663096397248
1977-01,-0.015340364333653045
1977-02,0.003970641318734369
1977-03,-0.0014417878168930809
1977-04,0.008603974793989222
1977-05,-0.0009685230024212288
1977-06,0.0030358227079538835
1977-07,-0.0007280669821624342
1977-08,-0.005670849420849389
1977-09,0.0007244626901714568
1977-10,0.015697817022320315
1977-11,0.004929751047572095
1977-12,0.046022947015598836
1978-01,-0.002186776434268234
1978-02,0.02114803625377637
1978-03,0.01425526245670139
1978-04,-0.022274325908558046
1978-05,-0.006984866123399214
1978-06,0.012043461186019178
1978-07,0.01866915588745166
1978-08,0.01874745279174017
1978-09,0.01952908587257629
1978-10,0.09145880574452003
1978-11,-0.0894700619408122
1978-12,0.050159005492917075
1979-01,-0.021914322069843117
1979-02,0.006689439225733063
1979-03,-0.005238567181084619
1979-04,-0.012858141160027925
1979-05,-0.008041037016498054
1979-06,0.030870373017007458
1979-07,0.005316091954022939
1979-08,0.0038944180008653184
1979-09,0.03663277511961738
1979-10,-0.03170696394961636
1979-11,0.03398203592814353
1979-12,0.007389534006937204
1980-01,-0.008967269466447436
1980-02,-0.01718566392479426
1980-03,-0.08148947652455485
1980-04,0.06924408540103855
1980-05,0.015231400117164728
1980-06,0.006485849056603765
1980-07,-0.00920110997517165
1980-08,-0.009547229856791462
1980-09,-0.008604617811558857
1980-10,-0.04230188160966897
1980-11,-0.01714362850971929
1980-12,-0.016593654586486095
1981-01,-0.06977031365769326
1981-02,-0.018781049315400478
1981-03,0.009788327419552267
1981-04,-0.05031373460376476
1981-05,-0.05168044077134981
1981-06,-0.027226926787436878
1981-07,-0.028836144076619052
1981-08,0.00135515480037518
1981-09,0.05209475762228566
1981-10,0.00807075732448892
1981-11,0.019729425028184755
1981-12,-0.020214293604329914
1982-01,-0.02875227979830497
1982-02,-0.03768325418129259
1982-03,-0.023490271196693224
1982-04,0.031617264690587676
1982-05,-0.005893300248138944
1982-06,-0.060514813016027236
1982-07,-0.003581107239643666
1982-08,-0.016281062553556214
1982-09,-0.014820373323328084
1982-10,-0.01841451063437982
1982-11,0.025106182161396706
1982-12,0.033658536585366106
1983-01,-0.029264134861256008
1983-02,0.006002286585365946
1983-03,-0.019248738553541367
1983-04,-0.012275034610059854
1983-05,-0.02510347309699479
1983-06,-0.00997683947977912
1983-07,-0.03862293397276684
1983-08,-0.021617092584834574
1983-09,0.017823639774859235
1983-10,-0.0003410059676043353
1983-11,-0.023476523476523403
1983-12,-0.011927284691947149
1984-01,-0.032702100572883364
1984-02,0.0775958158278316
1984-03,0.0011158798283261717
1984-04,-0.04257067718606189
1984-05,-0.004988142938915696
1984-06,-0.017987633501967526
1984-07,-0.03629469122426865
1984-08,-0.0003867873443180736
1984-09,-0.05594099174760825
1984-10,0.007653248951357661
1984-11,-0.017922960179229452
1984-12,-0.01565056555452804
1985-01,-0.005025481313703284
1985-02,-0.05510968432316754
1985-03,0.07785467128027679
1985-04,-0.004806657579453311
1985-05,0.014630950647838148
1985-06,0.009998529627995856
1985-07,0.0697601258356273
1985-08,-0.002745098039215521
1985-09,0.04337152209492623
1985-10,0.024737945492662616
1985-11,0.03659596662030573
1985-12,0.02412534496572616
1986-01,0.022018014739332292
1986-02,0.0709344246321737
1986-03,-0.04209445585215599
1986-04,0.06479825084476243
1986-05,-0.06643161996659863
1986-06,0.05594200058783194
1986-07,0.042594484167517654
1986-08,0.022134057214449943
1986-09,0.0040884788761925694
1986-10,-0.018015235742227853
1986-11,0.04182754182754178
1986-12,0.023827824750192406
1987-01,0.044620325762789514
1987-02,0.000803581678337828
1987-03,0.01184806597746535
1987-04,0.005841803949059532
1987-05,-0.016206896551724248
1987-06,-0.0027510316368637433
1987-07,-0.01534988713318286
1987-08,0.02439588391721581
1987-09,-0.011090784358564143
1987-10,0.05487878422385739
1987-11,0.05456626812515886
1987-12,0.04160042395336516
1988-01,-0.061310782241014716
1988-02,-0.007283950617284041
1988-03,0.018355544380186162
1988-04,-0.011311373523927859
1988-05,-0.025911127255115685
1988-06,-0.05438516143805805
1988-07,-0.02457002457002455
1988-08,-0.00742711451058653
1988-09,-0.0011072970878086563
1988-10,0.05588682333684103
1988-11,0.024925104853205537
1988-12,-0.01731040979745646
1989-01,-0.04787532234555447
1989-02,0.023407917383820864
1989-03,-0.036057958190465644
1989-04,0.009716327898146249
1989-05,-0.05108096651123373
1989-06,0.01233773200300381
1989-07,0.048127740919824635
1989-08,-0.04324905863367401
1989-09,0.039941821436562774
1989-10,0.016490390083020667
1989-11,0.02590129506475325
1989-12,0.05191458026509577
1990-01,0.007792207792207684
1990-02,-0.002221399481673436
1990-03,0.0017307454567931924
1990-04,0.012010509195546026
1990-05,-0.010154798761609851
1990-06,0.01944198964777155
1990-07,0.04844473858371945
1990-08,0.005724174653887193
1990-09,0.005084292213004993
1990-10,0.032463047382235155
1990-11,0.0055563272676761866
1990-12,0.0012517385257302394
