Date,USDSAR
1989-01,0.0
1989-02,0.0
1989-03,0.00023992962064456336
1989-04,0.0005601493731663965
1989-05,-0.0006131207847946962
1989-06,0.0003466666666667173
1989-07,-0.00013331555792561733
1989-08,-0.00013329778725668096
1989-09,0.0
1989-10,-2.6658846738469855e-05
1989-11,0.00026665955574523004
1989-12,-0.0005063965884861688
1990-01,0.0008803051724597388
1990-02,-0.0008795309168442289
1990-03,0.0
1990-04,0.0
1990-05,0.0005066531559159149
1990-06,-0.0006395736175882627
1990-07,0.00013326226012799758
1990-08,0.0005333333333332746
1990-11,-0.0007993605115906854
1990-12,0.0001332445036643648
1991-01,0.00013326226012799758
1991-02,-0.0005327650506127268
1991-03,0.0006664001066241099
1991-04,0.00013329778725679198
1991-05,0.0
1991-06,0.0
1991-07,0.0003733731598034584
1991-08,-0.00037323380431864006
1991-09,0.0005601643148656077
1991-10,-0.00034664817876362
1991-11,5.333333333323864e-05
1991-12,-0.0006662225183210468
1992-01,0.0005332622317024693
1992-02,0.0
1992-03,0.0
1992-04,0.0012814694182663455
1992-05,-0.001412956544921351
1992-06,-0.00026652452025599516
1992-07,0.0007468259895444529
1992-08,-0.0007462686567164534
1992-09,0.0008269092267063627
1992-10,-0.0010658424151989143
1992-11,0.00023987206823039564
1992-12,0.0
1993-01,0.0
1993-02,0.0
1993-03,0.0
1993-04,-0.000239814543419814
1993-05,0.0004265188068137693
1993-06,0.00021330489268089892
1993-07,0.00013333333333331865
1993-08,-0.0010921392610745428
1993-09,0.00042638241172543445
1993-10,-0.0003463157333902789
1993-11,-5.327650506126158e-05
1993-12,-0.0017550390895069157
1994-01,0.001891567869988009
1994-02,-0.0006123861760477523
1994-03,0.00026632576968133037
1994-04,0.0011732081911264292
1994-05,-0.0005596269153896882
1994-06,0.00045323664284935283
1994-07,-0.0004530313124583296
1994-08,0.0006666666666665932
1994-09,-0.0002665955745133619
1994-10,-5.331627212623591e-05
1994-11,0.00031999999999987594
1994-12,-0.0002665955745133619
1995-01,0.0001333155579255063
1995-02,0.0
1995-03,0.0
1995-04,0.00013333333333331865
1995-05,-0.00013331555792561733
1995-06,0.0
1995-07,0.0
1995-08,-0.00010664107280922153
1995-09,0.00010665244634044946
1995-10,0.0
1995-11,0.0
1995-12,0.0
1996-01,0.0
1996-02,0.0
1996-03,0.0
1996-04,0.0
1996-05,0.0
1996-06,0.0
1996-07,0.0
1996-08,0.0
1996-09,5.3329067007945596e-05
1996-10,-5.332622317022473e-05
1996-11,0.0
1996-12,0.0
1997-01,-7.998293697353276e-05
1997-02,0.000133322667519975
1997-03,-5.332622317022473e-05
1997-04,0.0
1997-05,0.0
1997-06,-2.6662400682608833e-05
1997-07,2.6663111585056853e-05
1997-08,0.0
1997-09,0.0
1997-10,-0.00023991043343807306
1997-11,0.00023996800426595577
1997-12,0.0
1998-01,-2.6662400682608833e-05
1998-02,-5.332195798235517e-05
1998-03,0.000133322667519975
1998-04,-2.6663822525585523e-05
1998-05,-0.0001333013410115269
1998-06,2.6660978991177586e-05
1998-07,2.6661689817908396e-05
1998-08,-0.0006394713703339328
1998-09,0.0006398805556295795
1998-10,-0.0011451398135817747
1998-11,0.001199840021330445
1998-12,-0.00013329778725668096
1999-01,-0.0010652463382158084
1999-02,0.0007995735607675414
1999-03,0.00045329706956787064
1999-04,-5.332622317022473e-05
1999-05,5.3329067007945596e-05
1999-06,-5.332622317022473e-05
1999-07,2.66638225254745e-05
1999-08,0.0
1999-09,2.666453350408382e-05
1999-10,-5.332622317022473e-05
1999-11,0.0
1999-12,5.3329067007945596e-05
2000-01,-5.332622317022473e-05
2000-02,0.0
2000-03,-2.6662400682608833e-05
2000-04,-2.6661689817908396e-05
2000-05,2.6662400682608833e-05
2000-06,0.0
2000-07,-2.6661689817908396e-05
2000-08,2.6662400682608833e-05
2000-09,-2.6661689817908396e-05
2000-10,-7.997867235387535e-05
2000-11,2.666026820219436e-05
2000-12,2.6660978991177586e-05
2001-01,2.6661689817908396e-05
2001-02,7.999146757686759e-05
2001-03,-2.6663111585056853e-05
2001-04,2.66638225254745e-05
2001-05,0.0
2001-06,0.0
2001-07,-2.6663111585056853e-05
2001-08,2.66638225254745e-05
2001-09,-0.00010664391596459932
2001-10,0.0001866616890215944
2001-11,-5.3329067007945596e-05
2001-12,0.0
2002-01,2.6665244520218678e-05
2002-02,-5.332764505128207e-05
2002-03,5.33304890406594e-05
2002-04,0.0
2002-05,-2.6664533503972798e-05
2002-06,-2.6663822525585523e-05
2002-07,0.0
2002-08,0.0
2002-09,-5.3324801365106644e-05
2002-10,5.3327645051171046e-05
2002-11,5.33304890406594e-05
2002-12,-7.99893347553926e-05
2003-01,0.00010666382229795879
2003-02,-2.6665244520218678e-05
2003-03,0.0
2003-04,0.0
2003-05,-2.6664533503972798e-05
2003-06,-5.332622317022473e-05
2003-07,7.999573356087808e-05
2003-08,-7.99893347553926e-05
2003-09,5.3329067007945596e-05
2003-10,2.6665244520218678e-05
2003-11,-2.6664533503972798e-05
2003-12,2.6665244520218678e-05
2004-01,0.0
2004-02,2.6665955574545208e-05
2004-03,2.666666666661932e-05
2004-04,-7.99936005119184e-05
2004-05,2.6665244520218678e-05
2004-06,0.0
2004-07,0.0
2004-08,-0.00013330844908954198
2004-09,0.00013332622260153748
2004-10,-0.0001599658739469545
2004-11,0.000133322667519975
2004-12,2.6665244520218678e-05
2005-01,-2.6664533503972798e-05
2005-02,2.6665244520218678e-05
2005-03,-2.6664533503972798e-05
2005-04,-0.0001333048949557769
2005-05,0.000133322667519975
