Date,USDAUD
1971-02,0.00044953922229717946
1971-03,0.00011239743733848506
1971-04,0.0004497919712134202
1971-05,-0.00011243534967397828
1971-06,0.0
1971-07,-0.00022482014388480742
1971-08,0.02041752695572363
1971-09,0.006465019625952584
1971-10,0.004057030253854066
1971-11,0.0
1971-12,0.025436823962914357
1972-01,0.0020247737017626832
1972-02,0.0
1972-03,0.0
1972-04,0.0
1972-05,0.0
1972-06,0.0
1972-07,0.0
1972-08,0.0
1972-09,0.0
1972-10,-0.0008330358205402844
1972-11,0.0008337303477845559
1972-12,0.06887332908975208
1973-01,-0.0016522623284190852
1973-02,0.1094190637337844
1973-03,0.003537568982595163
1973-04,0.0
1973-05,0.0
1973-06,0.0
1973-07,0.0035501278046008444
1973-08,-0.002832058906825252
1973-09,0.04513837501849949
1973-10,0.0034155034155032293
1973-11,-0.0034038774604112643
1973-12,0.0017790956263898927
1974-01,0.0016335016335016217
1974-02,0.0
1974-03,0.0
1974-04,0.0
1974-05,-0.0016308376575240313
1974-06,0.0016335016335016217
1974-07,-0.0016308376575240313
1974-08,0.0016335016335016217
1974-09,-0.12054329371816641
1974-10,0.0015696533682145741
1974-11,0.005259697567389976
1974-12,0.005021805206818941
1975-01,0.012036913200481392
1975-02,0.01991542763606602
1975-03,-0.00959200216157785
1975-04,-0.011088844355377603
1975-05,0.0052377115229653715
1975-06,-0.01233585356148037
1975-07,-0.02103622906116076
1975-08,-0.016600689567105142
1975-09,-0.01682360326428123
1975-10,0.008738601823708336
1975-11,-0.005541561712846477
1975-12,-0.0038890979801781134
1976-01,0.0015077271013945737
1976-02,0.0016360432922226664
1976-03,-0.010090943067148417
1976-04,-0.007419314949919653
1976-05,-0.007730061349693229
1976-06,0.004436775942814997
1976-07,0.004954173891503544
1976-08,0.004853764779091607
1976-09,-0.009858287122612608
1976-10,-0.007096537379175261
1976-11,-0.17042224928948424
1976-12,0.07191818082907164
1977-01,-0.0014124293785309217
1977-02,0.005681818181818121
1977-03,0.009485991617030676
1977-04,0.001325381047051044
1977-05,-0.001323626737260164
1977-06,0.01036442661317305
1977-07,0.008768971332208997
1977-08,-0.01799514241554423
1977-09,0.0017695200176952586
1977-10,0.014018167545138294
1977-11,0.003601575689364145
1977-12,0.013806481058877162
1978-01,-0.003411416875142237
1978-02,-0.0014760985579652663
1978-03,0.0057097179399336895
1978-04,-0.006128702757916327
1978-05,-0.010111223458038276
1978-06,0.02099105299380577
1978-07,0.009144576918624914
1978-08,-0.006897344522358906
1978-09,0.004967652495378783
1978-10,0.026565464895635715
1978-11,-0.04257976609515168
1978-12,0.013697053406998227
1979-01,-0.013959822948587108
1979-02,-0.005642703983748998
1979-03,-0.009390721073225139
1979-04,-0.012693156732892064
1979-05,0.0009943652635069355
1979-06,0.014231286418646238
1979-07,0.010759995469475703
1979-08,-0.004846708746618633
1979-09,0.0012413948764247174
1979-10,-0.027012188426485007
1979-11,-0.004155276107162487
1979-12,0.012398981512232732
1980-01,0.00011071744906998582
1980-02,-0.0073634465325859155
1980-03,-0.014619883040935755
1980-04,0.029775844764134973
1980-05,0.02761861104744434
1980-06,0.008669517974800645
1980-07,-0.0005776340110905664
1980-08,0.00838769804287054
1980-09,0.0036244592540628506
1980-10,0.003637643745599606
1980-11,-0.005600933488914772
1980-12,0.011209439528023557
1981-01,-0.0050481333646396065
1981-02,-0.01320667284522703
1981-03,0.0036042320660387706
1981-04,-0.009899850351099304
1981-05,-0.010704931101241266
1981-06,0.008267309679641732
1981-07,-0.010003410253495604
1981-08,0.011265662719852854
1981-09,-0.004691075514874132
1981-10,-0.0076075848756671505
1981-11,0.013463751438435034
1981-12,-0.019298047624421666
1982-01,-0.026156720518738186
1982-02,-0.021612903225806557
1982-03,-0.022082018927444658
1982-04,0.009018567639257347
1982-05,-0.009458749343142392
1982-06,-0.028982549239718325
1982-07,-0.02303090727816548
1982-08,-0.03138580395944002
1982-09,-0.016805924800607497
1982-10,-0.015884881330592515
1982-11,0.02254920695585705
1982-12,0.02668236217382769
1983-01,-0.007883211678832214
1983-02,-0.012588891024408855
1983-03,-0.09904761904761916
1983-04,0.0020822488287350893
1983-05,0.017209425469949746
1983-06,-0.00857467844955817
1983-07,0.007137821642580144
1983-08,-0.0022859152452963105
1983-09,0.02027269465374948
1983-10,0.02406760977402156
1983-11,-0.007838133430550398
1983-12,-0.020706890396287148
1984-01,0.02300949598246893
1984-02,0.03389030491834233
1984-03,-0.007960292189548746
1984-04,-0.016215220195319624
1984-05,-0.026372443487621133
1984-06,-0.039710569385821404
1984-07,-0.03899006622516554
1984-08,0.029136139035610853
1984-09,-0.0224850099933378
1984-10,0.01128516085565101
1984-11,0.021419354838709603
1984-12,-0.03766556291390721
1985-01,-0.015324421258558818
1985-02,-0.14431192020645878
1985-03,0.012929207291225042
1985-04,-0.06869324911172525
1985-05,0.010639712727756434
1985-06,0.005617226160224531
1985-07,0.07327926505418803
1985-08,-0.020251740383939176
1985-09,0.013108214005841834
1985-10,-0.014878237069268052
1985-11,-0.0232382780367425
1985-12,-0.0047755491881565915
1986-01,0.04543185222166746
1986-02,-0.006729951827713299
1986-03,0.004912080871360303
1986-04,0.03698508784881138
1986-05,-0.02413370794611336
1986-06,-0.06832673333780792
1986-07,-0.09356938614102328
1986-08,0.000852463009194393
1986-09,0.032698233037791624
1986-10,0.01811779769526245
1986-11,0.014219855853516039
1986-12,0.022914452709883015
1987-01,-0.005088217802154182
1987-02,0.021189014103515813
1987-03,0.045210890111440305
1987-04,-0.0007048209754723089
1987-05,0.012632931268289349
