Date,USDZAR
1971-02,-0.0005616399887673484
1971-03,0.00028089887640470046
1971-04,0.000984113594826308
1971-05,-0.000562034565125713
1971-06,0.0008437631837998616
1971-07,-0.0005621925509488035
1971-08,0.014689104392469954
1971-09,-0.013922092532695718
1971-10,-0.0028046557285094087
1971-11,-0.0005606166783463928
1971-12,-0.06975228161668834
1972-01,0.01629786670200084
1972-02,0.005596269153897548
1972-03,0.004954472415639843
1972-04,-0.0049300466355760575
1972-05,0.005627763633927252
1972-06,-0.044797132983489085
1972-07,-0.022641981486114515
1972-08,-0.0007500000000001394
1972-09,0.0
1972-10,0.020798775041469986
1972-11,-0.001528857179258547
1972-12,0.0015311981625623083
1973-01,0.0
1973-02,0.09715805683886303
1973-03,0.011040339702760082
1973-04,0.0068405301410858765
1973-05,-0.006794055201698512
1973-06,0.0519654556283502
1973-07,-0.0010412018444146964
1973-08,-0.0016335016335016217
1973-09,0.0
1973-10,0.0016361743269373008
1973-11,0.0
1973-12,-0.0016335016335016217
1974-01,0.0016361743269373008
1974-02,0.0
1974-03,0.0017881090746534323
1974-04,0.0
1974-05,-0.0020817843866169916
1974-06,0.006736526946107491
1974-07,0.0002994908655287176
1974-08,-0.03830645161290336
1974-09,-0.00870806566738036
1974-10,0.0
1974-11,0.013894919669995787
1974-12,-0.0015895953757225634
1975-01,0.013770876062115356
1975-02,0.015018587360594804
1975-03,0.0
1975-04,-0.013495672583247798
1975-05,0.002794939688143483
1975-06,-0.05029337803855827
1975-07,0.0005591277606931122
1975-08,-0.0005588153115394512
1975-09,-0.1782803352083573
1975-10,-0.000802936453315084
1975-11,-0.0004586104104561395
1975-12,0.00126277120881646
1976-01,0.0
1976-02,0.0004594004823705866
1976-03,-0.000459189530478743
1976-04,0.0004594004823705866
1976-05,0.0
1976-06,0.003920212152657809
1976-07,-0.00390490410014932
1976-08,-0.0009179575444636656
1976-09,0.0009188009647411732
1976-10,0.0
1976-11,0.0
1976-12,0.0012649494020238183
1977-01,0.0
1977-02,0.0
1977-03,0.0
1977-04,-0.002180149168101053
1977-05,0.0021849126034958477
1977-06,0.0009208103130755596
1977-07,-0.0021821522912599534
1977-08,0.0012649494020238183
1977-09,0.0
1977-10,0.00172791153092966
1977-11,-0.001724931002759944
1977-12,0.0
1978-01,0.00046019328117807845
1978-02,0.0
1978-03,0.0
1978-04,-0.0004599816007360147
1978-05,0.0
1978-06,-0.002180149168101053
1978-07,0.0021849126034958477
1978-08,0.0
1978-09,0.0
1978-10,0.0
1978-11,0.0013818516812529325
1978-12,-0.001379944802207933
1979-01,-0.002180149168101053
1979-02,0.02831858407079646
1979-03,0.0021284143313231585
1979-04,-0.004590395480225884
1979-05,0.007231772377000567
1979-06,-0.00471976401179941
1979-07,0.009770046467294069
1979-08,0.0038272933859588854
1979-09,0.007470779612001488
1979-10,0.0004822182037371725
1979-11,-0.0030048076923077094
1979-12,0.005924313867730735
1980-01,0.012114537444933848
1980-02,0.01151132565911639
1980-03,-0.002838805233275843
1980-04,0.012876609576196962
1980-05,0.020931716656030774
1980-06,0.017796830345544246
1980-07,0.008383547288446591
1980-08,0.007655755015839372
1980-09,0.005041124966834731
1980-10,0.005334755934915947
1980-11,-0.001597869507323435
1980-12,0.007107415850878374
1981-01,-0.01907392791370688
1981-02,-0.02998596401684317
1981-03,-0.01963972979734796
1981-04,-0.024765157984628527
1981-05,-0.032574058774932246
1981-06,-0.04454217410915662
1981-07,-0.07014784523435025
1981-08,0.010917956328174494
1981-09,-0.01225002617526949
1981-10,-0.009335131210455372
1981-11,0.0031214233690564086
1981-12,0.0029218407596782736
1982-01,-0.014398848092152416
1982-02,-0.008261933904528895
1982-03,-0.06468231253577561
1982-04,0.002103250478011409
1982-05,-0.03228790822462757
1982-06,-0.05267309377738827
1982-07,-0.005577828133170648
1982-08,-0.003041098270918363
1982-09,-0.0044978808061586495
1982-10,-0.013818988313571534
1982-11,0.05679257189218423
1982-12,0.032771622753933416
1983-01,0.005899981269900767
1983-02,-0.020816139385603005
1983-03,-0.005109022899370541
1983-04,0.0047667063892200545
1983-05,0.015641001768922802
1983-06,-0.018279864729000894
1983-07,-0.00436800436800433
1983-08,-0.02415416037652074
1983-09,0.02029537011869187
1983-10,-0.06020095367847422
1983-11,-0.014682439801996794
1983-12,-0.02503067484662569
1984-01,-0.0385371608336611
1984-02,0.0617067468269874
1984-03,-0.03232062055591467
1984-04,-0.014649681528662417
1984-05,-0.020357226425395947
1984-06,-0.05637741959225728
1984-07,-0.17389189517845194
1984-08,0.04604719201170249
1984-09,-0.058953794589418296
1984-10,-0.12284754304913903
1984-11,0.024802281164254536
1984-12,-0.0659798994974874
1985-01,0.004948995051005101
1985-02,-0.03168704156479207
1985-03,0.08178163351671586
1985-04,-0.028321768182986262
1985-05,-0.021427493586841817
1985-06,0.014543784445805175
1985-07,-0.10838110838110837
1985-08,-0.2197806098903049
1985-09,0.10000781005935644
1985-10,-0.008978328173374628
1985-11,-0.04391904391904389
1985-12,0.051347881899871606
1986-01,0.12468827930174564
1986-02,0.15084839635466474
1986-03,-0.07644733782841195
1986-04,0.045149688958009415
1986-05,-0.12861559310549275
1986-06,-0.04605502363349889
1986-07,-0.033388003748828554
1986-08,0.0038416307330457755
1986-09,0.1441001031528908
1986-10,-0.027860132542727678
1986-11,0.03324623839985574
1986-12,0.014904901243599333
1987-01,0.04440836596313624
1987-02,0.007311207311207157
1987-03,0.029106029106028997
1987-04,0.008083832335329388
1987-05,-0.009000098902185782
1987-06,-0.012163548434370397
