Date,USDGBP
1971-02,-0.00048320850446958996
1971-03,0.00024166263895586404
1971-04,0.0012097749818533732
1971-05,-0.0007253384912958571
1971-06,0.0007258649891119795
1971-07,-0.00048367593712195234
1971-08,0.01447497546614307
1971-09,0.012670807453416089
1971-10,0.002740408570005126
1971-11,0.0009975062344138586
1971-12,0.02348136804492107
1972-01,0.01634241245136181
1972-02,0.004691164972634887
1972-03,0.00392464678178972
1972-04,-0.00208877284595288
1972-05,0.000783903841128808
1972-06,-0.06590187942396886
1972-07,0.003674669279764897
1972-08,-0.0004897159647404559
1972-09,-0.011855794822163146
1972-10,-0.03276386613620408
1972-11,0.005175252881674863
1972-12,-0.0018783752054473135
1973-01,0.014289116456299045
1973-02,0.045567729083665354
1973-03,-0.005940594059405946
1973-04,0.005475360876057822
1973-05,0.031049525275853362
1973-06,0.00593701600412988
1973-07,-0.031984007996001984
1973-08,-0.016224188790560534
1973-09,-0.01810282404055019
1973-10,0.01024140453547906
1973-11,-0.03912839737582008
1973-12,-0.008824895494658369
1974-01,-0.015546410608138994
1974-02,0.006674338319907935
1974-03,0.039722421631969373
1974-04,0.013090909090909042
1974-05,-0.011739338763775753
1974-06,-0.002151565861821636
1974-07,-0.001432322750059556
1974-08,-0.029650220060226995
1974-09,0.0069979006298108715
1974-10,0.0011676786548340257
1974-11,-0.0041860465116277945
1974-12,0.009152781037315094
1975-01,0.015248987371932365
1975-02,0.01992709599027953
1975-03,-0.009865255052935562
1975-04,-0.023037141513869375
1975-05,-0.014821676702176934
1975-06,-0.05286246983987719
1975-07,-0.018091751023045277
1975-08,-0.02025743827811788
1975-09,-0.0318692543411645
1975-10,0.017248545303408358
1975-11,-0.027878787878787836
1975-12,0.0016187778227438887
1976-01,0.0030444489547389875
1976-02,-0.0022276225192385812
1976-03,-0.05384173213259247
1976-04,-0.03974241030358783
1976-05,-0.04363892310399431
1976-06,0.01445912174223496
1976-07,0.0
1976-08,-0.004265908282971798
1976-09,-0.06606905710491384
1976-10,-0.007087522663589807
1976-11,0.001650982334489015
1976-12,0.030277258037081145
1977-01,0.008231864174241155
1977-02,-0.0011990407673861947
1977-03,0.0041279669762641635
1977-04,-0.0005157297576068309
1977-05,0.0
1977-06,0.0003439380911434142
1977-07,0.009723910401111535
1977-08,0.003659811781108413
1977-09,0.0027962250961202084
1977-10,0.05261221486387058
1977-11,-0.012354651162790775
1977-12,0.05521472392638049
1978-01,0.015774099318403012
1978-02,-0.0032996894409939026
1978-03,-0.04077452988270347
1978-04,-0.020783956244302515
1978-05,0.0056839017235057465
1978-06,0.015075376884422065
1978-07,0.037458968912917445
1978-08,0.006217213911016151
1978-09,0.016590953979853884
1978-10,0.027186041793467286
1978-11,-0.04179626749611187
1978-12,0.05022458146182096
1979-01,-0.025467568643056104
1979-02,0.0169971671388105
1979-03,0.019389438943894
1979-04,0.002481389578163906
1979-05,0.0010349824052990897
1979-06,0.05365321701199566
1979-07,0.030568667116205983
1979-08,0.002252759630547496
1979-09,-0.022031284423882025
1979-10,-0.058298755186721785
1979-11,0.059806508355320975
1979-12,0.008873114463176623
1980-01,0.021758839528558394
1980-02,0.0029552170947941825
1980-03,-0.04989200863930887
1980-04,0.04561878952122855
1980-05,0.037245256500351376
1980-06,0.00565371024734973
1980-07,-0.005621925509487036
1980-08,0.02275994250119795
1980-09,-0.0035808068751491673
1980-10,0.020711500974658792
1980-11,-0.032531824611032545
1980-12,0.013377926421404673
1981-01,-0.009699550508635024
1981-02,-0.06832708838439483
1981-03,0.01294931904442942
1981-04,-0.041720154043645485
1981-05,-0.032498447526392193
1981-06,-0.0675545261532523
1981-07,-0.04673413063477461
1981-08,0.002767527675276771
1981-09,-0.022719076812116712
1981-10,0.03258238689257098
1981-11,0.05004887585532769
1981-12,-0.020490233626963006
1982-01,-0.018789928598271333
1982-02,-0.031483166515013594
1982-03,-0.021371326803205748
1982-04,0.007536335905257374
1982-05,-0.0017911517105497765
1982-06,-0.03106560222145094
1982-07,0.0013903371567605127
1982-08,-0.009979353062628982
1982-09,-0.015082189459413642
1982-10,-0.010397450947509768
1982-11,-0.026766770034274412
1982-12,-0.008576051779935145
1983-01,-0.060504712678625894
1983-02,-0.00574365175332503
1983-03,-0.01912527798369168
1983-04,0.05045942999532782
1983-05,0.027688860435339357
1983-06,-0.042158516020236014
1983-07,-0.008511931904544912
1983-08,-0.017032720753025532
1983-09,0.0023962857570767326
1983-10,-0.00164473684210531
1983-11,-0.021506949524506158
1983-12,-0.007838583248657272
1984-01,-0.03474849376488731
1984-02,0.06379490236995067
1984-03,-0.03564754923099034
1984-04,-0.027401090451558807
1984-05,-0.009005264616237074
1984-06,-0.020092316046701142
1984-07,-0.03699830043142893
1984-08,0.0001307531380752014
1984-09,-0.05626850937808481
1984-10,-0.012550261971487786
1984-11,-0.01759636102465889
1984-12,-0.03265400648448358
1985-01,-0.023739543296405152
1985-02,-0.04553301683211053
1985-03,0.14547027561488068
1985-04,0.004095309009680026
1985-05,0.03626543209876543
1985-06,0.018200864213696377
1985-07,0.07760688584732622
1985-08,-0.014188343302267259
1985-09,0.012535211267605595
1985-10,0.022760011524056267
1985-11,0.033650982727814194
1985-12,-0.029479768786127125
1986-01,-0.022874894097712595
1986-02,0.024002313475997683
1986-03,0.019006925003683506
1986-04,0.05273770746083439
1986-05,-0.050795053003533486
1986-06,0.04060058219702789
1986-07,-0.026547352721849382
1986-08,-0.0022321428571430157
1986-09,-0.02777777777777779
1986-10,-0.02853127196064642
1986-11,0.019925458715596367
1986-12,0.03424759080800599
