Date,USDIDR
1991-12,-0.007518796992481258
1992-01,-0.0029985007496251548
1992-02,-0.004477611940298498
1992-03,-0.0019860973187685316
1992-04,-0.002970297029702973
1992-05,-0.004435682602267121
1992-06,-0.0034381139489195744
1992-07,0.0019685039370078705
1992-08,0.000492368291482137
1992-09,-0.0053868756121450145
1992-10,-0.0014669926650368037
1992-11,-0.00872515753756653
1992-12,-0.0019351717464926033
1993-01,0.0004840271055179812
1993-02,0.0009689922480620172
1993-03,-0.005301204819277094
1993-04,-0.0024038461538460343
1993-05,0.0
1993-06,-0.006211180124223725
1993-07,-0.0033333333333332993
1993-08,-0.0014265335235377208
1993-09,0.0
1993-10,0.0014285714285713347
1993-11,-0.0004759638267491928
1993-12,-0.0004757373929590303
1994-01,-0.005205868433506899
1994-02,-0.013999066728884735
1994-03,-0.0027919962773382823
1994-04,-0.0032467532467532756
1994-05,-0.003696857670979714
1994-06,-0.0018450184501844769
1994-07,0.001848428835489857
1994-08,-0.004141739530602817
1994-09,-0.0004599816007360147
1994-10,0.0013818516812529325
1994-11,-0.003213957759412356
1994-12,-0.009549795361528002
1995-01,-0.007671480144404219
1995-02,0.0
1995-03,-0.008944543828264817
1995-04,0.0013434841021047195
1995-05,0.0026942074539739735
1995-06,0.0
1995-07,-0.003133393017009767
1995-08,-0.014121800529567463
1995-09,0.0004415011037526284
1995-10,-0.0017628911414719894
1995-11,-0.0070021881838074895
1995-12,-0.0008745080891998658
1996-01,-0.0017459624618071379
1996-02,-0.009511456982274069
1996-03,-0.010269576379974277
1996-04,0.003434950622584809
1996-05,-0.0012864493996570525
1996-06,0.0021486892995272733
1996-07,-0.01104972375690616
1996-08,0.004696840307429451
1996-09,0.008613264427217882
1996-10,-0.003005581794761625
1996-11,-0.006399317406143412
1996-12,-0.008040626322471378
1997-01,-0.005052631578947309
1997-02,-0.009591326105087616
1997-03,-0.0016652789342214147
1997-04,-0.01152263374485607
1997-05,-0.002053388090349051
1997-06,0.0012335526315789824
1997-07,-0.06461538461538452
1997-08,-0.11413969335604779
1997-09,-0.10217191801774239
1997-10,-0.09571230982019374
1997-11,-0.008230452674897082
1997-12,-0.3253747917823432
1998-01,-0.56776
1998-02,0.3966480446927374
1998-03,0.04678362573099415
1998-04,0.05882352941176472
1998-05,-0.30086580086580084
1998-06,-0.22742474916387956
1998-07,0.12406015037593976
1998-08,0.1928251121076232
1998-09,0.02764976958525356
1998-10,0.40909090909090917
1998-11,0.04054054054054057
1998-12,-0.07499999999999996
1999-01,-0.09859154929577463
1999-02,0.0028248587570620654
1999-03,0.014326647564469885
1999-04,0.0818350898946063
1999-05,-0.006161429451632783
1999-06,0.21029082774049224
1999-07,-0.025436046511627897
1999-08,-0.10358306188925093
1999-09,-0.07530120481927705
1999-10,0.21611721611721624
1999-11,-0.06825938566552903
1999-12,0.03169014084507049
2000-01,-0.04633982538616521
2000-02,0.000672043010752521
2000-03,-0.01846965699208447
2000-04,-0.043533123028391074
2000-05,-0.07795229784758584
2000-06,-0.018835616438356295
2000-07,-0.020681945220793696
2000-08,0.07447447447447453
2000-09,-0.05128205128205132
2000-10,-0.05898123324396787
2000-11,-0.02202412165705292
2000-12,-0.014470284237726116
2001-01,0.024894067796610075
2001-02,-0.04211060375443931
2001-03,-0.054676258992805815
2001-04,-0.10129310344827591
2001-05,0.042696629213483384
2001-06,-0.023266022827041266
2001-07,0.19894736842105254
2001-08,0.07187182669524983
2001-09,-0.08769943386515688
2001-10,-0.07255369928400957
2001-11,0.000955566172957445
2001-12,0.006250000000000089
2002-01,0.008435954620382047
2002-02,0.015959018815880244
2002-03,0.03318066157760802
2002-04,0.05305466237942125
2002-05,0.05662514156285403
2002-06,0.01342821071961442
2002-07,-0.03883066740209595
2002-08,0.02371541501976271
2002-09,-0.016111111111111076
2002-10,-0.023331524688008698
2002-11,0.02639786143907319
2002-12,0.0031284916201117507
2003-01,0.009019165727170098
2003-02,-0.0015758667266996262
2003-03,-0.0020220175241518756
2003-04,0.026167146974063415
2003-05,0.04392298435619724
2003-06,0.004229607250755274
2003-07,-0.02761457109283194
2003-08,0.0029463759575723003
2003-09,0.010720667063728317
2003-10,-0.012004236789455058
2003-11,-0.0009406231628453776
2003-12,0.010095011876484428
2004-01,-0.004375073903275406
2004-02,0.00047320477936829697
2004-03,-0.012961233068659483
2004-04,-0.016197587593337115
2004-05,-0.060746655157531304
2004-06,-0.014042553191489393
2004-07,0.02957283680175249
2004-08,-0.025613660618996836
2004-09,0.0234844347351173
2004-10,0.007372359154929509
2004-11,0.009777777777777885
2004-12,-0.029126213592232997
2005-01,0.011898264381617674
2005-02,-0.013354873451803972
2005-03,-0.019017432646592725
2005-04,-0.010971786833855801
2005-05,0.005463332632906104
2005-06,-0.02479508196721314
2005-07,-0.004589495155532863
2005-08,-0.04805825242718442
2005-09,0.0
2005-10,0.017484935295860815
2005-11,0.009775561097256968
2005-12,0.019837232960325357
2006-01,0.0490928495197438
2006-02,0.020363715561363405
2006-03,0.012458654906284394
2006-04,0.032441661923733545
2006-05,-0.05078336034575903
2006-06,-0.0008636510849616696
2006-07,0.020941254270913756
2006-08,-0.0041707825705191715
2006-09,-0.012143554158082992
2006-10,0.011848601206801979
2006-11,-0.005889409968371728
2006-12,0.01934408004446908
2007-01,-0.01121248763328564
2007-02,-0.0061182126078881405
2007-03,0.001860770577933435
2007-04,0.00561364887176663
2007-05,0.028296547821165863
2007-06,-0.023217247097844118
2007-07,-0.015670910871694477
2007-08,-0.02192655667908472
2007-09,0.02677595628415297
