Date,USDARS
1992-02,0.00030293850348384055
1992-03,-0.002719033232628454
1992-04,0.0017149198022798906
1992-05,-0.0032176973353444938
1992-06,0.0029245663574022362
1992-07,-0.002314116108260267
1992-08,0.003939393939393909
1992-09,0.0
1992-10,0.0
1992-11,-0.0010090817356206427
1992-12,-0.007014028056112287
1993-01,-0.0018003600720143398
1993-02,-0.00019999999999997797
1993-03,0.0004001600640255454
1993-04,0.0018039687312085828
1993-05,-0.001001201441729993
1993-06,0.0003004506760140302
1993-07,-0.00010014019627480053
1993-08,-0.0013999999999999568
1993-09,0.0
1993-10,0.0007004903432403786
1993-11,0.0014029461869926596
1993-12,0.0
1994-01,-0.0006009013520280604
1994-02,-0.0014001400140015718
1994-03,0.0019038076152304573
1994-04,-0.00010019036168706918
1994-05,0.0002004208838561894
1994-06,-0.0001002004008018309
1994-07,-0.0007009111845397431
1994-08,-0.0011002200440088927
1994-09,0.00010003000900260517
1994-10,0.00010004001600649737
1994-11,-0.00039999999999995595
1994-12,0.002004008016031955
1995-01,-0.0026981113220743147
1995-02,0.00019990004997483268
1995-03,0.0
1995-04,0.0
1995-05,0.0
1995-06,0.0004999999999999449
1995-07,-0.0004997501249375258
1995-08,0.0
1995-09,0.0
1995-10,0.0
1995-11,0.0
1995-12,0.0
1996-01,0.0
1996-02,0.0
1996-03,0.0004999999999999449
1996-04,0.0
1996-05,0.0
1996-06,0.0
1996-07,0.0
1996-08,0.0
1996-09,0.0
1996-10,0.0
1996-11,0.0
1996-12,0.0
1997-01,0.0
1997-02,0.0
1997-03,0.0
1997-04,0.0
1997-05,0.0
1997-06,0.0
1997-07,0.0
1997-08,0.0
1997-09,0.0
1997-10,0.0
1997-11,0.0
1997-12,0.0
1998-01,0.0
1998-02,0.0
1998-03,0.0
1998-04,0.0
1998-05,0.0
1998-06,0.0
1998-07,0.0
1998-08,0.0
1998-09,0.0
1998-10,0.0
1998-11,0.0
1998-12,0.0
1999-01,0.0
1999-02,0.0
1999-03,0.005025125628140614
1999-04,-0.004999999999999893
1999-05,0.0002000400080015563
1999-06,-0.00010001000100012813
1999-07,-9.999999999987796e-05
1999-08,0.00010001000100001711
1999-09,-9.999999999987796e-05
1999-10,0.0002000400080015563
1999-11,-0.00019999999999997797
1999-12,0.0
2000-01,0.00010001000100001711
2000-02,-9.999999999987796e-05
2000-03,0.0002000400080015563
2000-04,0.00010003000900260517
2000-05,-0.00020002000200025627
2000-06,0.0
2000-07,0.00010002000400088917
2000-08,0.0
2000-09,0.00040024014408657216
2000-10,-0.0005000500050006407
2000-11,0.00010002000400088917
2000-12,0.0014022435897436125
2001-01,-0.0014002800560112272
2001-02,-0.00010001000100012813
2001-03,0.00040020010005004103
2001-04,-0.00020006001800532136
2001-05,0.0002001000500249095
2001-06,-0.0004000400040002905
2001-07,-9.999999999987796e-05
2001-08,0.0
2001-09,0.0
2001-10,0.0005002501250623848
2001-11,-0.0004999999999998339
2001-12,0.0
2002-01,-0.2857142857142857
2002-02,-0.334916864608076
2002-03,-0.2827938671209541
2002-04,-0.008445945945945943
2002-05,-0.1685393258426966
2002-06,-0.06561679790026254
2002-07,0.02144772117962468
2002-08,0.02896551724137919
2002-09,-0.029451137884872858
2002-10,0.05957446808510647
2002-11,-0.023545706371191133
2002-12,0.07440476190476186
2003-01,0.04836193447737913
2003-02,0.0015624999999999112
2003-03,0.07653490328006729
2003-04,0.05333097094259376
2003-05,-0.013976240391334716
2003-06,0.01741912548880209
2003-07,-0.039275956284153035
2003-08,-0.009137055837563413
2003-09,0.013200754328818842
2003-10,0.01337734537873514
2003-11,-0.039065108514190316
2003-12,0.022184300341296925
2004-01,0.0011959678797199835
2004-02,0.0015400410677617327
2004-03,0.02310924369747913
2004-04,0.0035137034434293835
2004-05,-0.03883823032759204
2004-06,0.001691474966170503
2004-07,-0.007387508394895881
2004-08,-0.006008010680907838
2004-09,0.0050318685005033
2004-10,0.002353732347007309
2004-11,0.010258849106596912
2004-12,-0.009488559892328552
2005-01,0.017111567419575646
2005-02,-0.005716619028174774
2005-03,0.007473431607816217
2005-04,0.0027500859401856648
2005-05,0.00971884762235331
2005-06,-0.0018362609569344546
2005-07,0.008843061866480095
2005-08,-0.017277504894720463
2005-09,0.0008594609460947922
2005-10,-0.030819978009529292
2005-11,0.01190155091031686
2005-12,-0.021122112211221067
2006-01,-0.012063906097163457
2006-02,-0.0014000586071044596
2006-03,-0.003148328464784189
2006-04,0.01082677165354351
2006-05,-0.012409681495642144
2006-06,0.00025927726462482426
2006-07,0.004296455424275036
2006-08,-0.008135593220339077
2006-09,-0.0020940721649485017
2006-10,0.004368225206277332
2006-11,0.007399439337635982
2006-12,0.003040706228543577
2007-01,-0.015926640926640978
2007-02,0.002580645161290196
2007-03,9.678355969922059e-05
2007-04,0.0036263558361664394
2007-05,0.00357432981315986
2007-06,-0.004689521345407566
2007-07,-0.009387114343382574
2007-08,-0.01105760091248964
2007-09,0.002127321797110726
2007-10,0.001813092435905661
2007-11,-0.00022261090793451732
2007-12,-0.002062837194541367
2008-01,-9.519880684161208e-05
2008-02,-0.0033208931621230287
2008-03,-0.0019570707070707405
2008-04,0.0011060199083583466
2008-05,0.020839381915545685
2008-06,0.02438782591454336
2008-07,-0.005815099546619296
2008-08,0.0045544554455445585
2008-09,-0.03321527711304684
2008-10,-0.0745312269304591
2008-11,0.003853564547206201
2008-12,-0.023164905168669536
2009-01,-0.010032965457933196
2009-02,-0.021458625525946795
2009-03,-0.04128008605620559
2009-04,0.0013464386697186193
