Date,USDMXN
1971-02,0.0
1971-03,0.0
1971-04,0.0
1971-05,0.0
1971-06,0.0
1971-07,0.0
1971-08,0.0
1971-09,0.0
1971-10,0.0
1971-11,0.0
1971-12,0.0
1972-01,0.0
1972-02,0.0
1972-03,0.0
1972-04,0.0
1972-05,0.0
1972-06,0.0
1972-07,0.0
1972-08,0.0
1972-09,0.0
1972-10,0.0
1972-11,0.0
1972-12,0.0
1973-01,0.0
1973-02,0.0
1973-03,0.0
1973-04,0.0
1973-05,0.0
1973-06,0.0
1973-07,0.0
1973-08,0.0
1973-09,0.0
1973-10,0.0
1973-11,0.0
1973-12,0.0
1974-01,0.0
1974-02,0.0
1974-03,0.0
1974-04,0.0
1974-05,0.0
1974-06,0.0
1974-07,0.0
1974-08,0.0
1974-09,0.0
1974-10,0.0
1974-11,0.0
1974-12,0.0
1975-01,0.0
1975-02,0.0
1975-03,0.0
1975-04,0.0
1975-05,0.0
1975-06,0.0
1975-07,0.0
1975-08,0.0
1975-09,0.0
1975-10,0.0
1975-11,0.0
1975-12,0.0
1976-01,0.0
1976-02,0.0
1976-03,0.0
1976-04,0.0
1976-05,0.0
1976-06,0.0
1976-07,0.0
1976-08,0.0
1976-09,-0.3718592964824121
1976-10,-0.2226562499999999
1976-11,0.1277533039647576
1976-12,0.12935323383084585
1977-01,0.6079999999999999
1977-02,0.0
1977-03,0.0
1977-04,0.0
1977-05,0.0
1977-06,-0.4565217391304348
1977-07,0.004366812227074135
1977-08,0.0
1977-09,0.008810572687224516
1977-10,0.0
1977-11,0.0
1977-12,-0.008733624454148381
1978-01,0.004385964912280604
1978-02,0.0
1978-03,0.0
1978-04,0.0
1978-05,0.0
1978-06,0.0
1978-07,-0.004366812227074135
1978-08,0.0
1978-09,0.008810572687224516
1978-10,-0.004385964912280715
1978-11,0.0
1978-12,0.004405286343612369
1979-01,-0.02155172413793094
1979-02,0.01754385964912264
1979-03,0.0
1979-04,0.0
1979-05,0.0
1979-06,-0.004366812227074135
1979-07,0.0
1979-08,0.004385964912280604
1979-09,0.0
1979-10,-0.004366812227074135
1979-11,0.0
1979-12,0.0
1980-01,0.004385964912280604
1980-02,-0.004366812227074135
1980-03,0.0
1980-04,0.004385964912280604
1980-05,-0.004366812227074135
1980-06,-0.004347826086956497
1980-07,0.0
1980-08,-0.0043290043290042934
1980-09,0.0
1980-10,0.0
1980-11,-0.008583690987124637
1980-12,0.004310344827586299
1981-01,-0.008547008547008628
1981-02,-0.008474576271186307
1981-03,-0.008403361344537896
1981-04,-0.008333333333333415
1981-05,-0.008264462809917217
1981-06,-0.01224489795918371
1981-07,-0.0080971659919028
1981-08,-0.01200000000000001
1981-09,-0.007936507936507908
1981-10,-0.015625
1981-11,-0.011583011583011671
1981-12,-0.01893939393939381
1982-01,-0.011235955056180025
1982-02,-0.3999999999999999
1982-03,-0.02412280701754399
1982-04,-0.023554603854389566
1982-05,-0.014767932489451518
1982-06,-0.014553014553014498
1982-07,-0.020366598778003953
1982-08,-0.014056224899598457
1982-09,-0.502
1982-10,1.0
1982-11,0.0
1982-12,-0.4818652849740933
1983-01,-0.3519140362659503
1983-02,-0.12411764705882355
1983-03,0.08974358974358987
1983-04,0.027667984189723382
1983-05,0.013351134846461887
1983-06,0.004694835680751019
1983-07,-0.004672897196261516
1983-08,-0.03665594855305476
1983-09,-0.0032051282051280827
1983-10,-0.02682470368059886
1983-11,-0.022560975609756118
1983-12,-0.029585798816568087
1984-01,0.01501501501501501
1984-02,-0.026315789473684292
1984-03,-0.03006239364719221
1984-04,-0.025966850828729182
1984-05,-0.11491442542787278
1984-06,0.007389162561576068
1984-07,0.034131431482425034
1984-08,0.001530612244897922
1984-09,-0.01754385964912286
1984-10,-0.04773269689737458
1984-11,-0.016893477240732202
1984-12,-0.06123348017621144
1985-01,-0.017316017316017285
1985-02,-0.04149377593360992
1985-03,-0.022312373225152227
1985-04,-0.008048289738430747
1985-05,-0.11565836298932386
1985-06,-0.18550724637681137
1985-07,-0.025423728813559365
1985-08,0.047337278106508895
