Date,Lead
2011-06,0.06480000000000001
2011-07,-0.0291
2011-08,-0.0076
2011-09,-0.2316
2011-10,0.042800000000000005
2011-11,0.0106
2011-12,-0.038599999999999995
2012-01,0.0834
2012-02,-0.028399999999999998
2012-03,-0.056100000000000004
2012-04,0.0564
2012-05,-0.1091
2012-06,-0.0329
2012-07,0.0313
2012-08,0.0225
2012-09,0.1607
2012-10,-0.09720000000000001
2012-11,0.091
2012-12,0.028300000000000002
2013-01,0.0441
2013-02,-0.0649
2013-03,-0.0771
2013-04,-0.0437
2013-05,0.0898
2013-06,-0.0739
2013-07,0.0063
2013-08,0.0366
2013-09,-0.0208
2013-10,0.0291
2013-11,-0.0526
2013-12,0.0665
2014-01,-0.049100000000000005
2014-02,0.01
2014-03,-0.036000000000000004
2014-04,0.0204
2014-05,-0.0104
2014-06,0.0333
2014-07,0.0245
2014-08,0.005600000000000001
2014-09,-0.0647
2014-10,-0.0463
2014-11,0.009899999999999999
2014-12,-0.0863
2015-01,-0.0015
2015-02,-0.0727
2015-03,0.054000000000000006
2015-04,0.1618
2015-05,-0.0806
2015-06,-0.0999
2015-07,-0.0345
2015-08,0.0178
2015-09,-0.0362
2015-10,0.0108
2015-11,-0.0265
2015-12,0.0888
2016-01,-0.042
2016-02,0.02
2016-03,-0.029500000000000002
2016-04,0.0594
2016-05,-0.059699999999999996
2016-06,0.0512
2016-07,0.0167
2016-08,0.0438
2016-09,0.1137
2016-10,-0.0308
2016-11,0.1437
2016-12,-0.1491
2017-01,0.17850000000000002
2017-02,-0.0479
2017-03,0.0362
2017-04,-0.0394
2017-05,-0.06
2017-06,0.0812
2017-07,0.0148
2017-08,0.0235
2017-09,0.043
2017-10,-0.034
2017-11,0.0253
2017-12,0.0072
2018-01,0.0538
2018-02,-0.0437
2018-03,-0.0401
2018-04,-0.0308
2018-05,0.060700000000000004
2018-06,-0.018500000000000003
2018-07,-0.1051
2018-08,-0.0337
2018-09,-0.0192
2018-10,-0.053099999999999994
2018-11,0.0275
2018-12,0.0275
2019-01,0.0464
2019-02,0.0189
2019-03,-0.0633
2019-04,-0.0462
2019-05,-0.0591
2019-06,0.0723
2019-07,0.04190000000000001
2019-08,0.0073
2019-09,0.0621
2019-10,0.0131
2019-11,-0.1042
2019-12,-0.0044
2020-01,-0.0233
2020-02,-0.0177
2020-03,-0.0571
2020-04,-0.0665
2020-05,0.0215
2020-06,0.0572
2020-07,0.0567
2020-08,0.045599999999999995
2020-09,-0.0788
2020-10,-0.0027
2020-11,0.13720000000000002
2020-12,-0.0407
2021-01,0.0147
2021-02,0.011699999999999999
2021-03,-0.0421
2021-04,0.0892
2021-05,0.0148
2021-06,0.0332
2021-07,0.0541
2021-08,-0.05
2021-09,-0.0716
2021-10,0.1523
2021-11,-0.0434
2021-12,0.0206
2022-01,-0.026099999999999998
2022-02,0.0662
2022-03,0.0139
2022-04,-0.0652
2022-05,-0.0332
2022-06,-0.12560000000000002
2022-07,0.0721
2022-08,-0.037599999999999995
2022-09,-0.0172
2022-10,0.0508
2022-11,0.1128
2022-12,0.0576
