Date,Orange Juice
2011-06,0.047400000000000005
2011-07,0.0676
2011-08,-0.1747
2011-09,-0.0554
2011-10,0.1542
2011-11,0.039900000000000005
2011-12,-0.016
2012-01,0.2426
2012-02,-0.0857
2012-03,-0.1143
2012-04,-0.1398
2012-05,-0.21
2012-06,0.0758
2012-07,-0.0973
2012-08,0.1336
2012-09,-0.0487
2012-10,-0.0593
2012-11,0.1574
2012-12,-0.0508
2013-01,0.020099999999999996
2013-02,0.0667
2013-03,0.0576
2013-04,0.0473
2013-05,0.078
2013-06,-0.1491
2013-07,0.11810000000000001
2013-08,-0.0467
2013-09,-0.044000000000000004
2013-10,-0.0823
2013-11,0.1414
2013-12,-0.008199999999999999
2014-01,0.0241
2014-02,0.025099999999999997
2014-03,0.056299999999999996
2014-04,0.045899999999999996
2014-05,-0.0075
2014-06,-0.09140000000000001
2014-07,-0.0412
2014-08,0.0438
2014-09,-0.0353
2014-10,-0.0535
2014-11,0.07200000000000001
2014-12,-0.06709999999999999
2015-01,0.0015
2015-02,-0.1298
2015-03,0.0326
2015-04,-0.09380000000000001
2015-05,-0.0091
2015-06,0.027999999999999997
2015-07,0.042199999999999994
2015-08,0.039900000000000005
2015-09,-0.1821
2015-10,0.2565
2015-11,0.0599
2015-12,0.023799999999999998
2016-01,-0.08449999999999999
2016-02,-0.045700000000000005
2016-03,0.163
2016-04,-0.1291
2016-05,0.18789999999999998
2016-06,0.1607
2016-07,-0.014199999999999999
2016-08,0.0481
2016-09,0.11380000000000001
2016-10,0.0521
2016-11,0.0189
2016-12,-0.0955
2017-01,-0.10769999999999999
2017-02,-0.04
2017-03,-0.030299999999999997
2017-04,0.052300000000000006
2017-05,-0.1559
2017-06,-0.0006
2017-07,-0.0059
2017-08,0.0232
2017-09,0.1097
2017-10,0.0449
2017-11,0.0373
2017-12,-0.1472
2018-01,0.08800000000000001
2018-02,-0.0281
2018-03,-0.0232
2018-04,0.09970000000000001
2018-05,0.0408
2018-06,-0.0187
2018-07,0.0458
2018-08,-0.084
2018-09,-0.042800000000000005
2018-10,-0.0672
2018-11,0.0482
