Date,Sugar
1981-04,-0.1978
1981-05,0.0862
1981-06,-0.14730000000000001
1981-07,0.09449999999999999
1981-08,-0.24780000000000002
1981-09,-0.0187
1981-10,-0.0338
1981-11,0.0495
1981-12,0.0226
1982-01,0.0406
1982-02,-0.0739
1982-03,-0.1177
1982-04,-0.1801
1982-05,-0.1353
1982-06,-0.0091
1982-07,-0.0373
1982-08,-0.13419999999999999
1982-09,-0.106
1982-10,0.10949999999999999
1982-11,0.0688
1982-12,-0.1711
1983-01,-0.0885
1983-02,-0.009300000000000001
1983-03,0.1297
1983-04,0.0712
1983-05,0.6862
1983-06,-0.1739
1983-07,0.018799999999999997
1983-08,-0.1027
1983-09,-0.0613
1983-10,-0.1378
1983-11,0.029900000000000003
1983-12,-0.1387
1984-01,-0.0757
1984-02,-0.1317
1984-03,0.0305
1984-04,-0.1242
1984-05,-0.08470000000000001
1984-06,-0.12539999999999998
1984-07,-0.177
1984-08,0.024700000000000003
1984-09,-0.0762
1984-10,0.0817
1984-11,-0.0876
1984-12,-0.2064
1985-01,0.0455
1985-02,-0.1167
1985-03,-0.059000000000000004
1985-04,-0.11470000000000001
1985-05,-0.1096
1985-06,-0.11810000000000001
1985-07,0.5353
1985-08,0.061900000000000004
1985-09,0.10679999999999999
1985-10,0.0935
1985-11,0.0043
1985-12,-0.07730000000000001
1986-01,0.0599
1986-02,0.027200000000000002
1986-03,0.4653
1986-04,0.0155
1986-05,-0.2036
1986-06,-0.1013
1986-07,-0.036000000000000004
1986-08,-0.2018
1986-09,0.0043
1986-10,0.10369999999999999
1986-11,-0.0395
1986-12,-0.061900000000000004
1987-01,0.2622
1987-02,0.0506
1987-03,-0.1804
1987-04,0.0462
1987-05,-0.0713
1987-06,-0.0105
1987-07,-0.1436
1987-08,-0.0472
1987-09,0.1025
1987-10,0.0965
1987-11,0.060599999999999994
1987-12,0.1907
1988-01,0.0207
1988-02,-0.1778
1988-03,0.1282
1988-04,-0.0415
1988-05,0.11900000000000001
1988-06,0.3517
1988-07,-0.0812
1988-08,-0.106
1988-09,-0.0583
1988-10,0.1056
1988-11,0.0521
1988-12,0.0141
1989-01,-0.0521
1989-02,0.10289999999999999
1989-03,0.0934
1989-04,-0.07440000000000001
1989-05,-0.051500000000000004
1989-06,0.3346
1989-07,0.0223
1989-08,-0.0796
1989-09,0.1155
1989-10,-0.0066
1989-11,0.0195
1989-12,-0.0641
1990-01,0.1272
1990-02,-0.0105
1990-03,0.09230000000000001
1990-04,0.0161
1990-05,-0.1402
1990-06,-0.0463
1990-07,-0.1255
1990-08,-0.0625
1990-09,0.0126
1990-10,-0.062
1990-11,0.0487
1990-12,-0.04019999999999999
1991-01,-0.0567
1991-02,-0.001
1991-03,0.0184
1991-04,-0.12119999999999999
1991-05,0.0463
1991-06,0.1565
1991-07,0.142
1991-08,-0.0837
1991-09,0.053399999999999996
1991-10,0.001
1991-11,-0.0018
1991-12,0.0116
1992-01,-0.08810000000000001
1992-02,-0.0292
1992-03,0.0862
1992-04,0.1184
1992-05,0.0747
1992-06,0.038900000000000004
1992-07,-0.0229
1992-08,-0.0268
1992-09,-0.0158
1992-10,0.0092
1992-11,-0.0385
1992-12,0.0028000000000000004
1993-01,-0.0106
1993-02,0.1355
1993-03,0.19699999999999998
1993-04,0.0351
1993-05,-0.15869999999999998
1993-06,-0.051
1993-07,-0.102
1993-08,-0.028399999999999998
1993-09,0.10060000000000001
1993-10,0.0187
1993-11,-0.0218
1993-12,0.0433
1994-01,-0.0151
1994-02,0.0705
