Date,WTI Crude Oil
2004-03,0.015600000000000001
2004-04,0.06570000000000001
2004-05,0.0764
2004-06,-0.0697
2004-07,0.18059999999999998
2004-08,-0.018500000000000003
2004-09,0.18239999999999998
2004-10,0.059800000000000006
2004-11,-0.0461
2004-12,-0.1259
2005-01,0.107
2005-02,0.0667
2005-03,0.061200000000000004
2005-04,-0.10800000000000001
2005-05,0.0127
2005-06,0.0709
2005-07,0.0535
2005-08,0.1201
2005-09,-0.0429
2005-10,-0.08539999999999999
2005-11,-0.04769999999999999
2005-12,0.0556
2006-01,0.1013
2006-02,-0.096
2006-03,0.0616
2006-04,0.0716
2006-05,-0.0258
2006-06,0.0304
2006-07,-0.0012
2006-08,-0.0626
2006-09,-0.11900000000000001
2006-10,-0.075
2006-11,0.045899999999999996
2006-12,-0.0369
2007-01,-0.0636
2007-02,0.0626
2007-03,0.0489
2007-04,-0.0433
2007-05,-0.0437
2007-06,0.08689999999999999
2007-07,0.1066
2007-08,-0.0533
2007-09,0.1173
2007-10,0.166
2007-11,-0.0461
2007-12,0.0852
2008-01,-0.039599999999999996
2008-02,0.10800000000000001
2008-03,0.0028000000000000004
2008-04,0.12359999999999999
2008-05,0.1313
2008-06,0.10039999999999999
2008-07,-0.1161
2008-08,-0.0678
2008-09,-0.1301
2008-10,-0.3189
2008-11,-0.20489999999999997
2008-12,-0.1929
2009-01,-0.1421
2009-02,-0.1052
2009-03,0.0593
2009-04,-0.0452
2009-05,0.2685
2009-06,0.0429
2009-07,-0.0195
2009-08,-0.027999999999999997
2009-09,-0.0006
2009-10,0.08460000000000001
2009-11,-0.0046
2009-12,-0.012
2010-01,-0.0891
2010-02,0.0849
2010-03,0.047
2010-04,0.0331
2010-05,-0.1628
2010-06,-0.0008
2010-07,0.0368
2010-08,-0.08070000000000001
2010-09,0.0876
2010-10,0.0086
2010-11,0.024
2010-12,0.0843
2011-01,-0.0002
2011-02,-0.0019
2011-03,0.08199999999999999
2011-04,0.0608
2011-05,-0.1025
2011-06,-0.0755
2011-07,-0.0027
2011-08,-0.0776
2011-09,-0.1117
2011-10,0.1707
2011-11,0.0782
2011-12,-0.0172
2012-01,-0.0052
2012-02,0.0812
2012-03,-0.0418
2012-04,0.011899999999999999
2012-05,-0.1779
2012-06,-0.0202
2012-07,0.0316
2012-08,0.092
2012-09,-0.0472
2012-10,-0.068
2012-11,0.0252
2012-12,0.0241
2013-01,0.056600000000000004
2013-02,-0.0621
2013-03,0.051699999999999996
2013-04,-0.042199999999999994
2013-05,-0.0182
2013-06,0.045599999999999995
2013-07,0.0891
2013-08,0.0369
2013-09,-0.0443
2013-10,-0.0504
2013-11,-0.0406
2013-12,0.0604
2014-01,-0.010700000000000001
2014-02,0.0582
2014-03,-0.003
2014-04,-0.0067
2014-05,0.0363
2014-06,0.037000000000000005
2014-07,-0.0626
2014-08,-0.0195
2014-09,-0.0406
2014-10,-0.1056
2014-11,-0.17739999999999997
2014-12,-0.1932
2015-01,-0.1017
2015-02,0.0381
2015-03,-0.08710000000000001
2015-04,0.20829999999999999
2015-05,-0.0067
2015-06,-0.0209
2015-07,-0.21239999999999998
2015-08,0.021
2015-09,-0.0969
2015-10,0.0262
2015-11,-0.1225
2015-12,-0.1494
2016-01,-0.11900000000000001
2016-02,-0.0681
2016-03,0.0779
2016-04,0.1558
2016-05,0.0519
2016-06,-0.0235
2016-07,-0.151
2016-08,0.0519
2016-09,0.065
2016-10,-0.0356
2016-11,0.0421
2016-12,0.0663
2017-01,-0.0334
2017-02,0.0123
