Date,Soybean Meal
2011-04,-0.0337
2011-05,-0.022799999999999997
2011-06,-0.047
2011-07,0.0843
2011-08,0.0809
2011-09,-0.20420000000000002
2011-10,0.0232
2011-11,-0.08109999999999999
2011-12,0.0559
2012-01,0.019799999999999998
2012-02,0.09720000000000001
2012-03,0.1015
2012-04,0.11470000000000001
2012-05,-0.0941
2012-06,0.1553
2012-07,0.1981
2012-08,0.0779
2012-09,-0.08710000000000001
2012-10,-0.0148
2012-11,-0.08470000000000001
2012-12,-0.024900000000000002
2013-01,0.0168
2013-02,0.025
2013-03,-0.0711
2013-04,0.0273
2013-05,0.0789
2013-06,-0.0291
2013-07,-0.0235
2013-08,0.1602
2013-09,-0.0432
2013-10,-0.0131
2013-11,0.1012
2013-12,-0.0226
2014-01,0.0219
2014-02,0.1192
2014-03,0.0472
2014-04,0.0525
2014-05,0.0132
2014-06,-0.1139
2014-07,-0.0506
2014-08,0.0055000000000000005
2014-09,-0.1477
2014-10,0.23670000000000002
2014-11,-0.0011
2014-12,-0.017
2015-01,-0.0509
2015-02,0.0599
2015-03,-0.0455
2015-04,-0.0329
2015-05,-0.0329
2015-06,0.1916
2015-07,-0.0622
2015-08,-0.0388
2015-09,-0.0073
2015-10,-0.016200000000000003
2015-11,-0.058600000000000006
2015-12,-0.07519999999999999
2016-01,0.0262
2016-02,-0.0435
2016-03,0.03
2016-04,0.228
2016-05,0.18489999999999998
2016-06,0.0332
2016-07,-0.13269999999999998
2016-08,-0.1177
2016-09,-0.0229
2016-10,0.056799999999999996
2016-11,0.0016
2016-12,-0.018000000000000002
2017-01,0.057300000000000004
2017-02,-0.0068000000000000005
2017-03,-0.0827
2017-04,0.0111
2017-05,-0.0553
2017-06,0.029500000000000002
2017-07,0.0466
2017-08,-0.0788
2017-09,0.0553
2017-10,-0.011899999999999999
2017-11,0.0415
2017-12,-0.0403
2018-01,0.0677
2018-02,0.1604
2018-03,-0.0258
2018-04,0.0165
2018-05,-0.0454
2018-06,-0.1286
2018-07,0.036699999999999997
2018-08,-0.0986
2018-09,0.0075
2018-10,-0.0017000000000000001
2018-11,0.009399999999999999
2018-12,-0.0123
2019-01,0.0024
2019-02,-0.023799999999999998
2019-03,0.0036
2019-04,-0.0305
2019-05,0.0728
2019-06,-0.0192
2019-07,-0.052300000000000006
2019-08,-0.0315
2019-09,0.021
2019-10,0.0134
2019-11,-0.0438
2019-12,0.0276
2020-01,-0.0437
2020-02,0.0311
2020-03,0.0525
2020-04,-0.098
2020-05,-0.04019999999999999
2020-06,0.011200000000000002
2020-07,0.0048
2020-08,0.0512
2020-09,0.0971
2020-10,0.0919
2020-11,0.0509
2020-12,0.095
2021-01,0.0038
2021-02,-0.0204
2021-03,0.0043
2021-04,-0.004
2021-05,-0.0718
2021-06,-0.055099999999999996
2021-07,-0.0728
2021-08,-0.023399999999999997
2021-09,-0.0489
2021-10,-0.0016
2021-11,0.0345
2021-12,0.1702
2022-01,0.049699999999999994
2022-02,0.0691
2022-03,0.0479
2022-04,-0.0653
2022-05,-0.039599999999999996
2022-06,0.037000000000000005
2022-07,0.0308
2022-08,-0.005699999999999999
2022-09,-0.026600000000000002
2022-10,0.0526
2022-11,0.0004
2022-12,0.1379
