Date,Nickel
2011-09,-0.2078
2011-10,0.1116
2011-11,-0.1059
2011-12,0.0687
2012-01,0.1127
2012-02,-0.0786
2012-03,-0.0755
2012-04,0.0028000000000000004
2012-05,-0.09449999999999999
2012-06,0.0304
2012-07,-0.053200000000000004
2012-08,0.0044
2012-09,0.1575
2012-10,-0.125
2012-11,0.0892
2012-12,-0.0349
2013-01,0.0732
2013-02,-0.0958
2013-03,0.0022
2013-04,-0.07780000000000001
2013-05,-0.0383
2013-06,-0.0767
2013-07,0.0101
2013-08,-0.0072
2013-09,0.0095
2013-10,0.0455
2013-11,-0.077
2013-12,0.027000000000000003
2014-01,0.0048
2014-02,0.0533
2014-03,0.0791
2014-04,0.1514
2014-05,0.0493
2014-06,-0.0132
2014-07,-0.0298
2014-08,0.014499999999999999
2014-09,-0.13369999999999999
2014-10,-0.0339
2014-11,0.030299999999999997
2014-12,-0.07139999999999999
2015-01,0.0
2015-02,-0.0719
2015-03,-0.1223
2015-04,0.12480000000000001
2015-05,-0.09699999999999999
2015-06,-0.0516
2015-07,-0.0797
2015-08,-0.0895
2015-09,0.032799999999999996
2015-10,-0.0334
2015-11,-0.11689999999999999
2015-12,-0.0104
2016-01,-0.0235
2016-02,-0.013000000000000001
2016-03,-0.0052
2016-04,0.1117
2016-05,-0.10869999999999999
2016-06,0.1183
2016-07,0.1244
2016-08,-0.08310000000000001
2016-09,0.0819
2016-10,-0.0109
2016-11,0.0725
2016-12,-0.1104
2017-01,-0.0078000000000000005
2017-02,0.102
2017-03,-0.0886
2017-04,-0.058499999999999996
2017-05,-0.052000000000000005
2017-06,0.0455
2017-07,0.0868
2017-08,0.1539
2017-09,-0.11230000000000001
2017-10,0.1714
2017-11,-0.0981
2017-12,0.1483
2018-01,0.06559999999999999
2018-02,0.0139
2018-03,-0.035699999999999996
2018-04,0.0264
2018-05,0.1152
2018-06,-0.021
2018-07,-0.0593
2018-08,-0.08810000000000001
2018-09,-0.0163
2018-10,-0.08650000000000001
2018-11,-0.025699999999999997
2018-12,-0.0467
2019-01,0.1677
2019-02,0.0455
2019-03,-0.0051
2019-04,-0.0602
2019-05,-0.0149
2019-06,0.0567
2019-07,0.1441
2019-08,0.2398
2019-09,-0.0449
2019-10,-0.020499999999999997
2019-11,-0.1802
2019-12,0.0258
2020-01,-0.0852
2020-02,-0.046900000000000004
2020-03,-0.0637
2020-04,0.058600000000000006
2020-05,0.0091
2020-06,0.0373
2020-07,0.0753
2020-08,0.114
2020-09,-0.0564
2020-10,0.0429
2020-11,0.0567
2020-12,0.0351
2021-01,0.0642
2021-02,0.0493
2021-03,-0.136
2021-04,0.09939999999999999
2021-05,0.023799999999999998
2021-06,0.0053
2021-07,0.0735
2021-08,-0.0005
2021-09,-0.0825
2021-10,0.08539999999999999
2021-11,0.0265
2021-12,0.0452
2022-01,0.0864
2022-02,0.0904
2022-03,0.31829999999999997
2022-04,-0.0103
2022-05,-0.1061
2022-06,-0.2007
2022-07,0.0416
2022-08,-0.0933
2022-09,-0.0137
2022-10,0.0333
2022-11,0.2394
2022-12,0.11320000000000001
