Date,Zinc
2011-07,0.05
2011-08,-0.08539999999999999
2011-09,-0.19149999999999998
2011-10,0.0722
2011-11,0.0339
2011-12,-0.1137
2012-01,0.139
2012-02,0.0008
2012-03,-0.0548
2012-04,0.0338
2012-05,-0.09480000000000001
2012-06,0.003
2012-07,-0.022400000000000003
2012-08,-0.004699999999999999
2012-09,0.1352
2012-10,-0.1166
2012-11,0.0928
2012-12,0.0109
2013-01,0.0301
2013-02,-0.0431
2013-03,-0.0867
2013-04,-0.02
2013-05,0.0255
2013-06,-0.0429
2013-07,-0.015300000000000001
2013-08,0.0281
2013-09,0.0
2013-10,0.012
2013-11,-0.0393
2013-12,0.0917
2014-01,-0.0444
2014-02,0.0554
2014-03,-0.05
2014-04,0.029900000000000003
2014-05,0.0038
2014-06,0.0766
2014-07,0.06509999999999999
2014-08,-0.0055000000000000005
2014-09,-0.032
2014-10,0.0087
2014-11,-0.0429
2014-12,-0.0197
2015-01,-0.024900000000000002
2015-02,-0.031200000000000002
2015-03,0.0074
2015-04,0.1288
2015-05,-0.07150000000000001
2015-06,-0.08779999999999999
2015-07,-0.043899999999999995
2015-08,-0.055999999999999994
2015-09,-0.0694
2015-10,0.0068000000000000005
2015-11,-0.0883
2015-12,0.026600000000000002
2016-01,0.0083
2016-02,0.084
2016-03,0.028399999999999998
2016-04,0.0659
2016-05,-0.0089
2016-06,0.09380000000000001
2016-07,0.0649
2016-08,0.0296
2016-09,0.0273
2016-10,0.0322
2016-11,0.09609999999999999
2016-12,-0.0487
2017-01,0.1101
2017-02,-0.0116
2017-03,-0.0208
2017-04,-0.0553
2017-05,-0.009899999999999999
2017-06,0.0602
2017-07,0.011699999999999999
2017-08,0.12619999999999998
2017-09,0.008199999999999999
2017-10,0.042699999999999995
2017-11,-0.0353
2017-12,0.053399999999999996
2018-01,0.0688
2018-02,-0.0242
2018-03,-0.049
2018-04,-0.044500000000000005
2018-05,-0.008
2018-06,-0.0727
2018-07,-0.0768
2018-08,-0.0576
2018-09,0.078
2018-10,-0.0375
2018-11,0.0291
2018-12,-0.0288
2019-01,0.1108
2019-02,0.0236
2019-03,0.060599999999999994
2019-04,-0.0241
2019-05,-0.0924
2019-06,-0.005600000000000001
2019-07,-0.0183
2019-08,-0.0964
2019-09,0.09369999999999999
2019-10,0.0462
2019-11,-0.0825
2019-12,-0.0008
2020-01,-0.0294
2020-02,-0.08349999999999999
2020-03,-0.058499999999999996
2020-04,0.0154
2020-05,0.024700000000000003
2020-06,0.0263
2020-07,0.1316
2020-08,0.08220000000000001
2020-09,-0.0467
2020-10,0.047400000000000005
2020-11,0.10369999999999999
2020-12,-0.0174
2021-01,-0.0652
2021-02,0.0812
2021-03,0.0075
2021-04,0.0364
2021-05,0.0431
2021-06,-0.0291
2021-07,0.0195
2021-08,-0.011399999999999999
2021-09,-0.0067
2021-10,0.136
2021-11,-0.0521
2021-12,0.1106
2022-01,0.0166
2022-02,0.0213
2022-03,0.1449
2022-04,-0.0161
2022-05,-0.0452
2022-06,-0.1923
2022-07,0.062400000000000004
2022-08,0.059699999999999996
2022-09,-0.1335
2022-10,-0.0866
2022-11,0.1301
2022-12,-0.0144
