Date,Gas Oil
2011-07,0.0429
2011-08,-0.0026
2011-09,-0.0895
2011-10,0.0794
2011-11,0.0246
2011-12,-0.0405
2012-01,0.0414
2012-02,0.0673
2012-03,0.0103
2012-04,-0.010700000000000001
2012-05,-0.1338
2012-06,-0.0265
2012-07,0.0796
2012-08,0.0962
2012-09,-0.015300000000000001
2012-10,-0.0086
2012-11,0.0096
2012-12,-0.03
2013-01,0.0634
2013-02,-0.0297
2013-03,-0.0197
2013-04,-0.0762
2013-05,-0.009899999999999999
2013-06,0.028900000000000002
2013-07,0.0444
2013-08,0.0575
2013-09,-0.054400000000000004
2013-10,0.0151
2013-11,0.0253
2013-12,0.0006
2014-01,-0.0318
2014-02,0.0113
2014-03,-0.0226
2014-04,0.005600000000000001
2014-05,-0.0058
2014-06,0.027200000000000002
2014-07,-0.035699999999999996
2014-08,-0.0276
2014-09,-0.0728
2014-10,-0.0898
2014-11,-0.11789999999999999
2014-12,-0.2177
2015-01,-0.09179999999999999
2015-02,0.2115
2015-03,-0.08990000000000001
2015-04,0.13699999999999998
2015-05,-0.0116
2015-06,-0.0335
2015-07,-0.1501
2015-08,-0.0127
2015-09,-0.0527
2015-10,-0.0253
2015-11,-0.08529999999999999
2015-12,-0.23120000000000002
2016-01,-0.0882
2016-02,0.0326
2016-03,0.0681
2016-04,0.1294
2016-05,0.0897
2016-06,-0.018600000000000002
2016-07,-0.16190000000000002
2016-08,0.0919
2016-09,0.0594
2016-10,-0.015700000000000002
2016-11,0.0172
2016-12,0.1054
2017-01,-0.018799999999999997
2017-02,-0.0151
2017-03,-0.0455
2017-04,-0.0325
2017-05,-0.0254
2017-06,-0.0298
2017-07,0.1166
2017-08,0.0255
2017-09,0.0925
2017-10,0.025
2017-11,0.0216
2017-12,0.0755
2018-01,0.0235
2018-02,-0.0545
2018-03,0.0702
2018-04,0.064
2018-05,0.0546
2018-06,-0.0039000000000000003
2018-07,-0.03
2018-08,0.0527
2018-09,0.051699999999999996
2018-10,-0.0318
2018-11,-0.2132
2018-12,-0.060700000000000004
2019-01,0.1401
2019-02,0.0675
2019-03,-0.0143
2019-04,0.0454
2019-05,-0.09369999999999999
2019-06,0.0325
2019-07,0.0074
2019-08,-0.071
2019-09,0.05
2019-10,-0.0163
2019-11,0.0191
2019-12,0.0725
2020-01,-0.17679999999999998
2020-02,-0.1198
2020-03,-0.32939999999999997
2020-04,-0.1668
2020-05,0.09380000000000001
2020-06,0.1684
2020-07,0.023799999999999998
2020-08,-0.0067
2020-09,-0.1075
2020-10,-0.0898
2020-11,0.2551
2020-12,0.0764
2021-01,0.0642
2021-02,0.17579999999999998
2021-03,-0.0478
2021-04,0.048799999999999996
2021-05,0.057800000000000004
2021-06,0.0526
2021-07,0.0242
2021-08,-0.0241
2021-09,0.1278
2021-10,0.0582
2021-11,-0.1518
2021-12,0.11800000000000001
2022-01,0.1808
2022-02,0.1103
2022-03,0.21489999999999998
2022-04,0.1612
2022-05,0.09119999999999999
2022-06,-0.0334
2022-07,-0.009899999999999999
2022-08,-0.017
2022-09,-0.0934
2022-10,0.1387
2022-11,-0.0504
2022-12,-0.0246
