Date,Tin
2011-08,-0.1328
2011-09,-0.1656
2011-10,0.0799
2011-11,-0.050199999999999995
2011-12,-0.0828
2012-01,0.26739999999999997
2012-02,-0.0298
2012-03,-0.036000000000000004
2012-04,-0.0023
2012-05,-0.1387
2012-06,-0.0407
2012-07,-0.0365
2012-08,0.0729
2012-09,0.1268
2012-10,-0.08800000000000001
2012-11,0.09699999999999999
2012-12,0.0712
2013-01,0.058600000000000006
2013-02,-0.0557
2013-03,-0.0079
2013-04,-0.1235
2013-05,0.0253
2013-06,-0.0599
2013-07,0.0373
2013-08,0.0397
2013-09,0.09910000000000001
2013-10,-0.0206
2013-11,-0.0033
2013-12,-0.0203
2014-01,-0.0129
2014-02,0.0692
2014-03,-0.030899999999999997
2014-04,0.0064
2014-05,0.011899999999999999
2014-06,-0.0296
2014-07,0.0128
2014-08,-0.0435
2014-09,-0.07200000000000001
2014-10,-0.031200000000000002
2014-11,0.0296
2014-12,-0.0418
2015-01,-0.0208
2015-02,-0.056100000000000004
2015-03,-0.076
2015-04,-0.035
2015-05,-0.0273
2015-06,-0.10779999999999999
2015-07,0.17670000000000002
2015-08,-0.1303
2015-09,0.10310000000000001
2015-10,-0.0379
2015-11,0.005600000000000001
2015-12,-0.034
2016-01,0.0229
2016-02,0.068
2016-03,0.0575
2016-04,0.0339
2016-05,-0.0524
2016-06,0.0464
2016-07,0.0473
2016-08,0.0576
2016-09,0.0644
2016-10,0.0344
2016-11,0.0204
2016-12,0.0039000000000000003
2017-01,-0.0625
2017-02,-0.0292
2017-03,0.0524
2017-04,-0.0137
2017-05,0.024700000000000003
2017-06,-0.011899999999999999
2017-07,0.0339
2017-08,0.0034000000000000002
2017-09,0.0034999999999999996
2017-10,-0.061900000000000004
2017-11,0.0155
2017-12,0.0231
2018-01,0.0858
2018-02,-0.0046
2018-03,-0.0179
2018-04,0.006500000000000001
2018-05,-0.026000000000000002
2018-06,-0.0375
2018-07,0.0213
2018-08,-0.0529
2018-09,-0.0044
2018-10,0.0147
2018-11,-0.0345
2018-12,0.0623
2019-01,0.0751
2019-02,0.0407
2019-03,-0.0091
2019-04,-0.0786
2019-05,-0.0446
2019-06,0.011000000000000001
2019-07,-0.07730000000000001
2019-08,-0.051
2019-09,-0.0252
2019-10,0.0397
2019-11,0.0003
2019-12,0.0432
2020-01,-0.0447
2020-02,-0.005
2020-03,-0.1003
2020-04,0.0412
2020-05,0.0161
2020-06,0.0902
2020-07,0.0711
2020-08,-0.0024
2020-09,-0.0212
2020-10,0.0146
2020-11,0.0516
2020-12,0.09369999999999999
2021-01,0.1295
2021-02,0.1625
2021-03,0.028900000000000002
2021-04,0.1321
2021-05,0.0973
2021-06,0.0256
2021-07,0.1157
2021-08,-0.024700000000000003
2021-09,0.0178
2021-10,0.0971
2021-11,0.0626
2021-12,-0.006
2022-01,0.1093
2022-02,0.0506
2022-03,-0.039
2022-04,-0.0674
2022-05,-0.1348
2022-06,-0.23199999999999998
2022-07,-0.0499
2022-08,-0.0842
2022-09,-0.09179999999999999
2022-10,-0.13949999999999999
2022-11,0.311
2022-12,0.08289999999999999
