Date,ULS Diesel
1987-02,-0.14859999999999998
1987-03,0.1316
1987-04,0.008199999999999999
1987-05,0.0421
1987-06,0.052300000000000006
1987-07,0.0206
1987-08,-0.0608
1987-09,0.0336
1987-10,0.05
1987-11,-0.035699999999999996
1987-12,-0.0556
1988-01,-0.0066
1988-02,-0.039900000000000005
1988-03,0.0781
1988-04,0.0736
1988-05,-0.0033
1988-06,-0.135
1988-07,0.09029999999999999
1988-08,-0.0452
1988-09,-0.1164
1988-10,0.0659
1988-11,0.1429
1988-12,0.1093
1989-01,-0.0008
1989-02,0.0665
1989-03,0.11230000000000001
1989-04,-0.0215
1989-05,-0.0182
1989-06,0.0365
1989-07,-0.0137
1989-08,0.0901
1989-09,0.0993
1989-10,-0.0074
1989-11,0.0557
1989-12,0.16149999999999998
1990-01,-0.0908
1990-02,0.0
1990-03,-0.0163
1990-04,-0.0062
1990-05,-0.032400000000000005
1990-06,-0.0282
1990-07,0.17379999999999998
1990-08,0.3209
1990-09,0.37729999999999997
1990-10,-0.1282
1990-11,-0.024900000000000002
1990-12,-0.050300000000000004
1991-01,-0.1663
1991-02,0.0229
1991-03,0.063
1991-04,0.022799999999999997
1991-05,0.0436
1991-06,-0.0371
1991-07,0.0699
1991-08,0.0506
1991-09,-0.014199999999999999
1991-10,0.0729
1991-11,-0.0975
1991-12,-0.1804
1992-01,0.0364
1992-02,-0.018000000000000002
1992-03,0.0361
1992-04,0.08259999999999999
1992-05,0.0655
1992-06,-0.0052
1992-07,0.0014000000000000002
1992-08,-0.0226
1992-09,0.0304
1992-10,-0.0557
1992-11,-0.0662
1992-12,-0.0033
1993-01,-0.0033
1993-02,0.0333
1993-03,-0.0174
1993-04,0.0060999999999999995
1993-05,-0.0323
1993-06,-0.0489
1993-07,-0.047
1993-08,0.0315
1993-09,0.046900000000000004
1993-10,-0.10369999999999999
1993-11,-0.0823
1993-12,-0.0999
1994-01,0.1151
1994-02,-0.0172
1994-03,0.024700000000000003
1994-04,0.0771
1994-05,0.046799999999999994
1994-06,0.0045000000000000005
1994-07,0.0432
1994-08,-0.0929
1994-09,0.0279
1994-10,-0.056799999999999996
1994-11,-0.0046
1994-12,0.024399999999999998
1995-01,-0.065
1995-02,0.006999999999999999
1995-03,0.009899999999999999
1995-04,0.0645
1995-05,-0.0265
1995-06,-0.0567
1995-07,0.0288
1995-08,0.0319
1995-09,-0.0373
1995-10,0.0218
1995-11,0.023799999999999998
1995-12,0.15130000000000002
1996-01,-0.0647
1996-02,0.10490000000000001
1996-03,0.1229
1996-04,0.079
1996-05,-0.0366
1996-06,0.046
1996-07,0.0513
1996-08,0.109
1996-09,0.1267
1996-10,-0.0231
1996-11,0.0888
1996-12,0.0134
1997-01,-0.0462
1997-02,-0.1465
1997-03,0.0316
1997-04,0.015
1997-05,0.0245
1997-06,-0.0513
1997-07,0.0374
1997-08,-0.0582
1997-09,0.0868
1997-10,-0.0089
1997-11,-0.0969
1997-12,-0.078
1998-01,-0.031200000000000002
1998-02,-0.1033
1998-03,-0.0089
1998-04,0.0004
1998-05,-0.09939999999999999
1998-06,-0.0638
1998-07,-0.08689999999999999
1998-08,-0.07690000000000001
1998-09,0.18239999999999998
1998-10,-0.1125
1998-11,-0.21350000000000002
1998-12,0.021400000000000002
1999-01,-0.0329
1999-02,-0.054900000000000004
1999-03,0.34409999999999996
1999-04,0.026699999999999998
1999-05,-0.1328
1999-06,0.2216
1999-07,0.0496
1999-08,0.1082
1999-09,0.060899999999999996
1999-10,-0.0782
1999-11,0.09910000000000001
1999-12,0.0553
2000-01,0.1409
2000-02,0.0666
2000-03,-0.0424
2000-04,0.0111
2000-05,0.1121
2000-06,0.1523
2000-07,-0.08800000000000001
2000-08,0.2981
2000-09,-0.048499999999999995
2000-10,0.016
2000-11,0.1084
2000-12,-0.08810000000000001
2001-01,-0.0774
2001-02,-0.0282
2001-03,0.0177
2001-04,0.1151
2001-05,0.025
2001-06,-0.0761
2001-07,-0.0264
2001-08,0.094
2001-09,-0.1368
2001-10,-0.0989
2001-11,-0.1144
2001-12,-0.0253
2002-01,-0.0352
2002-02,0.0661
2002-03,0.1777
2002-04,0.027200000000000002
2002-05,-0.0774
2002-06,0.045599999999999995
2002-07,-0.0028000000000000004
2002-08,0.0953
2002-09,0.0484
2002-10,-0.08039999999999999
2002-11,0.012
2002-12,0.1392
2003-01,0.1165
2003-02,0.20420000000000002
2003-03,-0.1875
2003-04,-0.08689999999999999
2003-05,0.1011
2003-06,0.045899999999999996
2003-07,0.0105
2003-08,0.0278
2003-09,-0.0564
2003-10,0.0069
2003-11,0.047
2003-12,0.0951
2004-01,0.0174
2004-02,0.0639
2004-03,-0.0132
2004-04,0.0692
2004-05,0.0639
2004-06,0.012
2004-07,0.1378
2004-08,-0.0471
2004-09,0.2234
2004-10,0.0592
2004-11,-0.0335
2004-12,-0.11869999999999999
2005-01,0.0977
2005-02,0.0776
2005-03,0.1553
2005-04,-0.11599999999999999
2005-05,0.0103
2005-06,0.12619999999999998
2005-07,0.0154
2005-08,0.2066
2005-09,0.022099999999999998
2005-10,-0.149
2005-11,-0.0934
2005-12,0.026099999999999998
2006-01,0.0354
2006-02,-0.0908
2006-03,0.0731
2006-04,0.08070000000000001
2006-05,-0.0166
2006-06,0.012199999999999999
2006-07,-0.019299999999999998
2006-08,-0.0365
2006-09,-0.1475
2006-10,-0.0678
2006-11,0.0766
2006-12,-0.1184
2007-01,0.0034999999999999996
2007-02,0.0622
2007-03,0.061500000000000006
2007-04,0.0029
2007-05,-0.0091
2007-06,0.07769999999999999
2007-07,0.0362
2007-08,-0.0426
2007-09,0.0761
2007-10,0.1291
2007-11,-0.008199999999999999
2007-12,0.059000000000000004
2008-01,-0.0384
2008-02,0.1206
2008-03,0.0484
2008-04,0.11359999999999999
2008-05,0.1582
2008-06,0.0639
2008-07,-0.1225
2008-08,-0.08800000000000001
2008-09,-0.09970000000000001
2008-10,-0.2896
2008-11,-0.18230000000000002
2008-12,-0.1868
2009-01,-0.022799999999999997
2009-02,-0.1244
2009-03,0.0712
2009-04,-0.039599999999999996
2009-05,0.22519999999999998
2009-06,0.053399999999999996
2009-07,-0.0025
2009-08,-0.026600000000000002
2009-09,-0.0037
2009-10,0.0782
2009-11,0.0049
2009-12,0.0124
2010-01,-0.0984
2010-02,0.062
2010-03,0.0637
2010-04,0.0547
2010-05,-0.14300000000000002
2010-06,-0.0025
2010-07,0.0217
2010-08,-0.0622
2010-09,0.12539999999999998
2010-10,-0.0208
2010-11,0.0278
2010-12,0.0874
2011-01,0.0754
2011-02,0.07440000000000001
2011-03,0.0536
2011-04,0.049
2011-05,-0.0724
2011-06,-0.0397
2011-07,0.0466
2011-08,-0.0103
2011-09,-0.1007
2011-10,0.1035
2011-11,-0.0091
2011-12,-0.044800000000000006
2012-01,0.0499
2012-02,0.0673
2012-03,-0.0108
2012-04,0.0003
2012-05,-0.1515
2012-06,-0.0011
2012-07,0.0504
2012-08,0.1093
2012-09,-0.006
2012-10,-0.0199
2012-11,0.003
2012-12,-0.0139
2013-01,0.0338
2013-02,-0.032799999999999996
2013-03,0.004
2013-04,-0.0673
2013-05,-0.0206
2013-06,0.0263
2013-07,0.067
2013-08,0.0223
2013-09,-0.052000000000000005
2013-10,-0.0023
2013-11,0.025
2013-12,0.0083
2014-01,-0.018500000000000003
2014-02,0.0143
2014-03,-0.0196
2014-04,0.0004
2014-05,-0.0121
2014-06,0.0291
2014-07,-0.032
2014-08,-0.013000000000000001
2014-09,-0.0754
2014-10,-0.0565
2014-11,-0.1381
2014-12,-0.1414
2015-01,-0.064
2015-02,0.1568
2015-03,-0.1168
2015-04,0.1518
2015-05,-0.0183
2015-06,-0.0351
2015-07,-0.1656
2015-08,0.065
2015-09,-0.10529999999999999
2015-10,-0.034
2015-11,-0.12240000000000001
2015-12,-0.18710000000000002
2016-01,-0.060899999999999996
2016-02,0.0059
2016-03,0.065
2016-04,0.1514
2016-05,0.07400000000000001
2016-06,-0.0039000000000000003
2016-07,-0.1329
2016-08,0.0702
2016-09,0.0649
2016-10,-0.0326
2016-11,0.0363
2016-12,0.08710000000000001
2017-01,-0.061200000000000004
2017-02,0.0006
2017-03,-0.0446
2017-04,-0.046
2017-05,0.0025
2017-06,-0.0302
2017-07,0.11960000000000001
2017-08,0.028900000000000002
2017-09,0.053
2017-10,0.0417
2017-11,0.0102
2017-12,0.08259999999999999
2018-01,0.0124
2018-02,-0.0732
2018-03,0.0623
2018-04,0.0691
2018-05,0.030299999999999997
2018-06,0.0034000000000000002
2018-07,-0.0339
2018-08,0.0492
2018-09,0.047400000000000005
2018-10,-0.042300000000000004
2018-11,-0.1848
2018-12,-0.0771
2019-01,0.1266
2019-02,0.0839
2019-03,-0.023
2019-04,0.0547
2019-05,-0.11410000000000001
2019-06,0.051100000000000007
2019-07,0.013999999999999999
2019-08,-0.0702
2019-09,0.033
2019-10,0.0048
2019-11,0.0067
2019-12,0.0796
2020-01,-0.19140000000000001
2020-02,-0.0922
2020-03,-0.3195
2020-04,-0.1833
2020-05,0.1721
2020-06,0.1114
2020-07,0.0171
2020-08,-0.0209
2020-09,-0.0709
2020-10,-0.0681
2020-11,0.253
2020-12,0.0756
2021-01,0.0762
2021-02,0.1566
2021-03,-0.0355
2021-04,0.0843
2021-05,0.0592
2021-06,0.0425
2021-07,0.0305
2021-08,-0.0342
2021-09,0.1009
2021-10,0.0622
2021-11,-0.1632
2021-12,0.1305
2022-01,0.1766
2022-02,0.1133
2022-03,0.18109999999999998
2022-04,0.1757
2022-05,0.0652
2022-06,0.0
2022-07,-0.0557
2022-08,0.0387
2022-09,-0.105
2022-10,0.2157
2022-11,-0.0358
2022-12,-0.0226
