Date,Cocoa
1980-03,-0.008100000000000001
1980-04,-0.07690000000000001
1980-05,-0.1134
1980-06,-0.0559
1980-07,-0.0196
1980-08,-0.0158
1980-09,0.006
1980-10,0.011399999999999999
1980-11,-0.11289999999999999
1980-12,0.0583
1981-01,-0.04
1981-02,-0.0013
1981-03,0.03
1981-04,-0.058600000000000006
1981-05,-0.12369999999999999
1981-06,-0.1167
1981-07,0.33390000000000003
1981-08,0.0203
1981-09,0.0298
1981-10,-0.11800000000000001
1981-11,-0.037000000000000005
1981-12,0.0849
1982-01,-0.0451
1982-02,-0.0087
1982-03,-0.1457
1982-04,0.0104
1982-05,-0.0949
1982-06,-0.0232
1982-07,-0.045899999999999996
1982-08,0.013600000000000001
1982-09,0.0437
1982-10,-0.09699999999999999
1982-11,0.0108
1982-12,0.1015
1983-01,0.1471
1983-02,-0.0626
1983-03,-0.0137
1983-04,0.11130000000000001
1983-05,0.0787
1983-06,0.0196
1983-07,0.0987
1983-08,-0.12140000000000001
1983-09,-0.0024
1983-10,-0.0453
1983-11,0.1334
1983-12,0.2481
1984-01,-0.0775
1984-02,-0.0281
1984-03,0.0864
1984-04,-0.0125
1984-05,0.0369
1984-06,-0.111
1984-07,-0.1481
1984-08,0.2707
1984-09,-0.0576
1984-10,0.0571
1984-11,-0.042800000000000005
1984-12,-0.023799999999999998
1985-01,0.1142
1985-02,-0.0603
1985-03,0.1494
1985-04,-0.0688
1985-05,-0.002
1985-06,0.003
1985-07,0.034300000000000004
1985-08,0.0387
1985-09,0.029300000000000003
1985-10,-0.069
1985-11,0.0106
1985-12,0.0446
1986-01,-0.0604
1986-02,-0.066
1986-03,-0.08199999999999999
1986-04,-0.0555
1986-05,-0.0166
1986-06,-0.003
1986-07,0.0843
1986-08,0.0633
1986-09,-0.051
1986-10,-0.0629
1986-11,-0.012
1986-12,0.0285
1987-01,-0.0516
1987-02,0.018000000000000002
1987-03,0.028399999999999998
1987-04,0.0118
1987-05,-0.044000000000000004
1987-06,0.0483
1987-07,-0.0127
1987-08,0.0127
1987-09,-0.0776
1987-10,-0.0033
1987-11,0.0192
1987-12,-0.0229
1988-01,-0.025099999999999997
1988-02,-0.09210000000000002
1988-03,-0.0285
1988-04,0.0233
1988-05,0.0037
1988-06,-0.0356
1988-07,-0.0658
1988-08,-0.146
1988-09,-0.08960000000000001
1988-10,0.16010000000000002
1988-11,0.12359999999999999
1988-12,0.0232
1989-01,-0.0288
1989-02,0.06480000000000001
1989-03,-0.028900000000000002
1989-04,-0.1139
1989-05,-0.061200000000000004
1989-06,0.0663
1989-07,0.0381
1989-08,-0.1051
1989-09,-0.0891
1989-10,-0.0541
1989-11,-0.0412
1989-12,-0.0088
1990-01,0.047400000000000005
1990-02,0.0986
1990-03,0.1288
1990-04,0.0858
1990-05,0.0984
1990-06,-0.1354
1990-07,0.0085
1990-08,0.0173
1990-09,-0.0232
1990-10,-0.09380000000000001
1990-11,0.0633
1990-12,-0.0983
1991-01,-0.0138
1991-02,-0.01
1991-03,-0.0245
1991-04,-0.0842
1991-05,-0.0001
1991-06,-0.1465
1991-07,0.14679999999999999
1991-08,-0.0014000000000000002
1991-09,0.1233
1991-10,-0.0055000000000000005
1991-11,-0.0291
1991-12,0.0168
1992-01,-0.051500000000000004
1992-02,-0.0789
1992-03,-0.1133
1992-04,-0.0911
1992-05,-0.0712
1992-06,0.0507
1992-07,0.06480000000000001
1992-08,0.0215
1992-09,-0.0737
1992-10,-0.0742
1992-11,0.036000000000000004
1992-12,-0.0688
1993-01,-0.0232
1993-02,-0.0074
1993-03,-0.0155
1993-04,-0.01
1993-05,-0.042699999999999995
1993-06,-0.0253
1993-07,0.0425
1993-08,0.09720000000000001
1993-09,0.0694
1993-10,-0.0246
1993-11,0.0764
1993-12,-0.08779999999999999
1994-01,-0.0506
1994-02,0.0199
1994-03,0.0109
1994-04,-0.0344
1994-05,0.2349
1994-06,-0.07629999999999999
1994-07,0.1457
1994-08,-0.1177
1994-09,-0.0235
1994-10,0.0095
1994-11,-0.1001
1994-12,0.0473
1995-01,0.0703
1995-02,0.028900000000000002
1995-03,-0.0788
1995-04,0.0643
1995-05,-0.0276
1995-06,-0.0719
1995-07,-0.0366
1995-08,0.0582
1995-09,-0.027999999999999997
1995-10,0.0187
1995-11,-0.0203
1995-12,-0.0341
1996-01,-0.008100000000000001
1996-02,0.0038
1996-03,0.0341
1996-04,0.0375
1996-05,0.0102
1996-06,-0.0033
1996-07,-0.0323
1996-08,-0.0126
1996-09,0.023
1996-10,-0.0132
1996-11,0.0098
1996-12,-0.0212
1997-01,-0.0395
1997-02,-0.0473
1997-03,0.1348
1997-04,-0.0579
1997-05,0.0538
1997-06,0.1373
1997-07,-0.11289999999999999
1997-08,0.11320000000000001
1997-09,-0.0177
1997-10,-0.0412
1997-11,-0.042800000000000005
1997-12,0.0432
1998-01,-0.0414
1998-02,0.013300000000000001
1998-03,0.0282
1998-04,0.0127
1998-05,-0.0031
1998-06,-0.0707
1998-07,-0.0103
1998-08,0.0216
1998-09,-0.059500000000000004
1998-10,-0.0006
1998-11,-0.0665
1998-12,-0.0394
1999-01,-0.031400000000000004
1999-02,-0.056600000000000004
1999-03,-0.0634
1999-04,-0.1663
1999-05,-0.1392
1999-06,0.1753
1999-07,-0.032799999999999996
1999-08,-0.08380000000000001
1999-09,0.0863
1999-10,-0.14730000000000001
1999-11,-0.0197
1999-12,-0.0649
2000-01,-0.045599999999999995
2000-02,-0.0536
2000-03,0.0334
2000-04,-0.0672
2000-05,0.09380000000000001
2000-06,-0.0369
2000-07,-0.0069
2000-08,-0.0815
2000-09,0.0074
2000-10,-0.0475
2000-11,-0.0718
2000-12,0.044800000000000006
2001-01,0.3521
2001-02,0.1018
2001-03,-0.0527
2001-04,-0.0911
2001-05,-0.048600000000000004
2001-06,0.0335
2001-07,-0.0040999999999999995
2001-08,-0.0064
2001-09,0.1375
2001-10,-0.0538
2001-11,0.3098
2001-12,-0.0202
2002-01,0.0274
2002-02,0.08070000000000001
2002-03,0.0318
2002-04,0.033
2002-05,0.0599
2002-06,0.0285
2002-07,0.0867
2002-08,0.10640000000000001
2002-09,0.0959
2002-10,-0.1193
2002-11,-0.0998
2002-12,0.1881
2003-01,0.1932
2003-02,-0.1449
2003-03,-0.0354
2003-04,0.051100000000000007
2003-05,-0.2494
2003-06,0.1362
2003-07,-0.11199999999999999
2003-08,0.2303
2003-09,-0.0759
2003-10,-0.1137
2003-11,0.009899999999999999
2003-12,0.0545
2004-01,0.004
2004-02,0.0308
2004-03,-0.0125
2004-04,-0.09359999999999999
2004-05,0.037599999999999995
2004-06,-0.092
2004-07,0.2281
2004-08,0.009000000000000001
2004-09,-0.13699999999999998
2004-10,0.0124
2004-11,0.1286
2004-12,-0.0613
2005-01,-0.012199999999999999
2005-02,0.1305
2005-03,-0.0654
2005-04,-0.0874
2005-05,-0.044500000000000005
2005-06,0.009300000000000001
2005-07,0.0212
2005-08,-0.0712
2005-09,0.009300000000000001
2005-10,-0.0408
2005-11,0.0277
2005-12,0.0664
2006-01,-0.0096
2006-02,-0.029900000000000003
2006-03,0.0232
2006-04,0.0063
2006-05,-0.0273
2006-06,0.1016
2006-07,-0.0894
2006-08,-0.025099999999999997
2006-09,-0.0049
2006-10,0.0126
2006-11,0.0298
2006-12,0.0542
2007-01,-0.006500000000000001
2007-02,0.0559
2007-03,0.1323
2007-04,-0.08990000000000001
2007-05,0.0516
2007-06,0.0828
2007-07,-0.0541
2007-08,-0.0724
2007-09,0.1198
2007-10,-0.0412
2007-11,0.0058
2007-12,0.028900000000000002
2008-01,0.1459
2008-02,0.1802
2008-03,-0.1631
2008-04,0.1832
2008-05,-0.0177
2008-06,0.16390000000000002
2008-07,-0.1002
2008-08,0.0043
2008-09,-0.1119
2008-10,-0.1968
2008-11,0.1081
2008-12,0.1618
2009-01,0.039900000000000005
2009-02,-0.1273
2009-03,0.07980000000000001
2009-04,-0.0941
2009-05,0.0898
2009-06,-0.0375
2009-07,0.1524
2009-08,-0.045899999999999996
2009-09,0.124
2009-10,0.0501
2009-11,-0.027999999999999997
2009-12,0.009300000000000001
2010-01,-0.0319
2010-02,-0.09300000000000001
2010-03,0.018000000000000002
2010-04,0.085
2010-05,-0.08449999999999999
2010-06,-0.0134
2010-07,0.0501
2010-08,-0.12279999999999999
2010-09,0.0286
2010-10,-0.0059
2010-11,-0.0078000000000000005
2010-12,0.0814
2011-01,0.10460000000000001
2011-02,0.1009
2011-03,-0.201
2011-04,0.1286
2011-05,-0.10210000000000001
2011-06,0.0545
2011-07,-0.056100000000000004
2011-08,0.0349
2011-09,-0.16219999999999998
2011-10,0.0338
2011-11,-0.1585
2011-12,-0.085
2012-01,0.0863
2012-02,0.015300000000000001
2012-03,-0.0492
2012-04,0.0044
2012-05,-0.061200000000000004
2012-06,0.1067
2012-07,0.037200000000000004
2012-08,0.09449999999999999
2012-09,-0.0359
2012-10,-0.0508
2012-11,0.047
2012-12,-0.1048
2013-01,-0.0138
2013-02,-0.0325
2013-03,0.0165
2013-04,0.083
2013-05,-0.0747
2013-06,-0.0147
2013-07,0.062
2013-08,0.051399999999999994
2013-09,0.08380000000000001
2013-10,0.0141
2013-11,0.0345
2013-12,-0.028300000000000002
2014-01,0.0746
2014-02,0.0083
2014-03,-0.0006
2014-04,0.0042
2014-05,0.030600000000000002
2014-06,0.0209
2014-07,0.0294
2014-08,0.0033
2014-09,0.022000000000000002
2014-10,-0.1215
2014-11,-0.0215
2014-12,0.0236
2015-01,-0.0746
2015-02,0.1215
2015-03,-0.1051
2015-04,0.0908
2015-05,0.0483
2015-06,0.058600000000000006
2015-07,-0.0183
2015-08,-0.0391
2015-09,0.0049
2015-10,0.0466
2015-11,0.021400000000000002
2015-12,-0.0381
2016-01,-0.14
2016-02,0.0626
2016-03,-0.0014000000000000002
2016-04,0.0859
2016-05,-0.0536
2016-06,-0.0229
2016-07,-0.043
2016-08,0.0319
2016-09,-0.047
2016-10,-0.0091
2016-11,-0.11939999999999999
2016-12,-0.1097
2017-01,-0.0104
2017-02,-0.10210000000000001
2017-03,0.0981
2017-04,-0.1286
2017-05,0.1133
2017-06,-0.0638
2017-07,0.06280000000000001
2017-08,-0.0652
2017-09,0.0616
2017-10,0.026000000000000002
2017-11,-0.013000000000000001
2017-12,-0.0756
2018-01,0.0564
2018-02,0.0959
2018-03,0.154
2018-04,0.0901
2018-05,-0.12990000000000002
2018-06,0.0108
2018-07,-0.1346
2018-08,0.0599
2018-09,-0.11800000000000001
2018-10,0.0883
2018-11,-0.026099999999999998
2018-12,0.0989
2019-01,-0.1008
2019-02,0.020499999999999997
2019-03,0.0167
2019-04,0.0436
2019-05,0.0195
2019-06,0.022799999999999997
2019-07,-0.0311
2019-08,-0.07139999999999999
2019-09,0.1008
2019-10,-0.014499999999999999
2019-11,0.0738
2019-12,-0.0095
2020-01,0.0947
2020-02,-0.0209
2020-03,-0.15789999999999998
2020-04,0.0712
2020-05,0.0167
2020-06,-0.08900000000000001
2020-07,0.098
2020-08,0.11130000000000001
2020-09,-0.0406
2020-10,-0.0993
2020-11,0.1884
2020-12,-0.0496
2021-01,-0.0276
2021-02,0.0781
2021-03,-0.0983
2021-04,0.0005
2021-05,0.0126
2021-06,-0.029500000000000002
2021-07,-0.0096
2021-08,0.044800000000000006
2021-09,0.0441
2021-10,-0.0407
2021-11,-0.0942
2021-12,0.0742
2022-01,0.0033
2022-02,-0.0178
2022-03,0.0482
2022-04,-0.0493
2022-05,-0.0268
2022-06,-0.0771
2022-07,-0.005600000000000001
2022-08,0.024
2022-09,-0.0219
2022-10,-0.005
2022-11,0.07690000000000001
2022-12,0.0446
