Date,Platinum
2011-09,-0.18109999999999998
2011-10,0.0552
2011-11,-0.0291
2011-12,-0.1043
2012-01,0.1304
2012-02,0.0659
2012-03,-0.031400000000000004
2012-04,-0.0438
2012-05,-0.0981
2012-06,0.021099999999999997
2012-07,-0.024399999999999998
2012-08,0.0851
2012-09,0.0834
2012-10,-0.0552
2012-11,0.0176
2012-12,-0.040999999999999995
2013-01,0.0863
2013-02,-0.0548
2013-03,-0.0079
2013-04,-0.042699999999999995
2013-05,-0.0301
2013-06,-0.0859
2013-07,0.0668
2013-08,0.06849999999999999
2013-09,-0.07730000000000001
2013-10,0.0255
2013-11,-0.054900000000000004
2013-12,0.001
2014-01,0.0014000000000000002
2014-02,0.051699999999999996
2014-03,-0.0189
2014-04,0.005
2014-05,0.0174
2014-06,0.0204
2014-07,-0.011899999999999999
2014-08,-0.0276
2014-09,-0.08839999999999999
2014-10,-0.050199999999999995
2014-11,-0.019299999999999998
2014-12,-0.0029
2015-01,0.023799999999999998
2015-02,-0.0425
2015-03,-0.0373
2015-04,-0.0026
2015-05,-0.0253
2015-06,-0.030299999999999997
2015-07,-0.0875
2015-08,0.026000000000000002
2015-09,-0.1009
2015-10,0.08800000000000001
2015-11,-0.1578
2015-12,0.07200000000000001
2016-01,-0.021
2016-02,0.0689
2016-03,0.0454
2016-04,0.10339999999999999
2016-05,-0.0907
2016-06,0.0432
2016-07,0.12359999999999999
2016-08,-0.08410000000000001
2016-09,-0.0209
2016-10,-0.0538
2016-11,-0.0699
2016-12,-0.0078000000000000005
2017-01,0.1008
2017-02,0.035
2017-03,-0.0789
2017-04,-0.0033
2017-05,0.0025
2017-06,-0.0278
2017-07,0.016399999999999998
2017-08,0.062400000000000004
2017-09,-0.0857
2017-10,0.0054
2017-11,0.0259
2017-12,-0.008100000000000001
2018-01,0.0717
2018-02,-0.0149
2018-03,-0.059800000000000006
2018-04,-0.0287
2018-05,0.0079
2018-06,-0.061
2018-07,-0.0121
2018-08,-0.0678
2018-09,0.042699999999999995
2018-10,0.027200000000000002
2018-11,-0.049400000000000006
2018-12,-0.0045000000000000005
2019-01,0.0323
2019-02,0.0632
2019-03,-0.0286
2019-04,0.0462
2019-05,-0.1075
2019-06,0.0538
2019-07,0.047
2019-08,0.061799999999999994
2019-09,-0.0499
2019-10,0.0516
2019-11,-0.0345
2019-12,0.0805
2020-01,-0.015
2020-02,-0.1
2020-03,-0.158
2020-04,0.114
2020-05,0.0759
2020-06,-0.0339
2020-07,0.0797
2020-08,0.0208
2020-09,-0.037200000000000004
2020-10,-0.0668
2020-11,0.1386
2020-12,0.113
2021-01,0.0001
2021-02,0.0984
2021-03,0.0013
2021-04,0.0115
2021-05,-0.0189
2021-06,-0.09570000000000001
