Date,Copper
1989-02,-0.0277
1989-03,0.0032
1989-04,0.0756
1989-05,-0.1373
1989-06,-0.0702
1989-07,0.0757
1989-08,0.1795
1989-09,-0.06509999999999999
1989-10,-0.031200000000000002
1989-11,-0.0426
1989-12,-0.0123
1990-01,-0.0667
1990-02,0.1246
1990-03,0.1382
1990-04,-0.0461
1990-05,0.024900000000000002
1990-06,0.0661
1990-07,0.1005
1990-08,0.07719999999999999
1990-09,-0.0425
1990-10,-0.0191
1990-11,-0.0435
1990-12,0.0975
1991-01,-0.08439999999999999
1991-02,0.0793
1991-03,-0.0431
1991-04,0.0060999999999999995
1991-05,-0.0741
1991-06,0.0547
1991-07,0.0167
1991-08,0.0365
1991-09,0.0207
1991-10,0.0216
1991-11,-0.0315
1991-12,-0.030600000000000002
1992-01,0.0141
1992-02,0.0579
1992-03,-0.0115
1992-04,-0.009399999999999999
1992-05,0.009399999999999999
1992-06,0.0902
1992-07,0.028399999999999998
1992-08,-0.011399999999999999
1992-09,-0.0526
1992-10,-0.0297
1992-11,-0.0331
1992-12,0.049400000000000006
1993-01,-0.0425
1993-02,-0.0342
1993-03,0.0053
1993-04,-0.1273
1993-05,-0.0529
1993-06,0.08130000000000001
1993-07,0.023399999999999997
1993-08,-0.0278
1993-09,-0.12689999999999999
1993-10,-0.021
1993-11,0.0195
1993-12,0.10339999999999999
1994-01,0.054299999999999994
1994-02,0.0033
1994-03,0.0042
1994-04,0.055099999999999996
1994-05,0.138
1994-06,0.0478
1994-07,0.0326
1994-08,0.0391
1994-09,-0.0239
1994-10,0.09380000000000001
1994-11,0.1047
1994-12,0.053
1995-01,-0.0116
1995-02,-0.030699999999999998
1995-03,0.0687
1995-04,-0.044199999999999996
1995-05,0.0361
1995-06,0.0695
1995-07,-0.005600000000000001
1995-08,0.0174
1995-09,0.002
1995-10,-0.0479
1995-11,0.057
1995-12,-0.020499999999999997
1996-01,-0.0432
1996-02,0.0252
1996-03,0.014499999999999999
1996-04,0.041100000000000005
1996-05,-0.030600000000000002
1996-06,-0.17079999999999998
1996-07,0.0359
1996-08,0.049100000000000005
1996-09,-0.0499
1996-10,0.0177
1996-11,0.1711
1996-12,-0.0216
1997-01,0.0394
1997-02,0.1124
1997-03,0.0235
1997-04,0.006999999999999999
1997-05,0.0742
1997-06,-0.027000000000000003
1997-07,-0.024700000000000003
1997-08,-0.0646
1997-09,-0.018799999999999997
1997-10,-0.0605
1997-11,-0.06480000000000001
1997-12,-0.0764
1998-01,0.0196
1998-02,-0.0361
1998-03,0.040999999999999995
1998-04,0.0464
1998-05,-0.0703
1998-06,-0.0487
1998-07,0.0472
1998-08,-0.0789
1998-09,0.0377
1998-10,-0.0149
1998-11,-0.0226
1998-12,-0.0559
1999-01,-0.0368
1999-02,-0.0273
1999-03,-0.0038
1999-04,0.1489
1999-05,-0.13369999999999999
1999-06,0.2077
1999-07,-0.0014000000000000002
1999-08,0.030600000000000002
1999-09,0.04769999999999999
1999-10,-0.0216
1999-11,0.0034000000000000002
1999-12,0.0596
2000-01,-0.0109
2000-02,-0.0683
2000-03,0.0138
2000-04,-0.0178
2000-05,0.0288
2000-06,0.0092
2000-07,0.0667
2000-08,0.0209
2000-09,0.0335
2000-10,-0.0732
2000-11,-0.0083
2000-12,0.0018
2001-01,0.0079
2001-02,-0.0322
2001-03,-0.0602
2001-04,0.011699999999999999
2001-05,-0.022000000000000002
2001-06,-0.0672
2001-07,-0.0404
2001-08,-0.0077
2001-09,-0.0487
2001-10,-0.0394
2001-11,0.1611
2001-12,-0.0984
2002-01,0.11460000000000001
2002-02,-0.023700000000000002
2002-03,0.061200000000000004
2002-04,-0.0392
2002-05,0.0354
2002-06,0.0070999999999999995
2002-07,-0.11939999999999999
2002-08,0.0113
2002-09,-0.041100000000000005
2002-10,0.0781
2002-11,0.046
2002-12,-0.0716
2003-01,0.1321
2003-02,-0.0231
2003-03,-0.0843
2003-04,0.0177
2003-05,0.07139999999999999
2003-06,-0.0414
2003-07,0.09050000000000001
2003-08,-0.0159
2003-09,0.010700000000000001
2003-10,0.1475
2003-11,-0.0313
2003-12,0.1449
2004-01,0.0965
2004-02,0.1839
2004-03,0.0113
2004-04,-0.1124
2004-05,0.0588
2004-06,-0.0537
2004-07,0.084
2004-08,-0.01
2004-09,0.0913
2004-10,-0.0406
2004-11,0.0834
2004-12,0.0148
2005-01,-0.01
2005-02,0.0553
2005-03,0.0051
2005-04,-0.0187
2005-05,-0.0026
2005-06,0.0739
2005-07,0.0919
2005-08,0.0151
2005-09,0.0698
2005-10,0.051699999999999996
2005-11,0.10099999999999999
2005-12,0.0637
2006-01,0.09539999999999998
2006-02,-0.0109
2006-03,0.135
2006-04,0.3181
2006-05,0.13019999999999998
2006-06,-0.0575
2006-07,0.06860000000000001
2006-08,-0.0151
2006-09,0.0052
2006-10,-0.028999999999999998
2006-11,-0.048499999999999995
2006-12,-0.098
2007-01,-0.09210000000000002
2007-02,0.0593
2007-03,0.1479
2007-04,0.1344
2007-05,-0.041299999999999996
2007-06,0.0195
2007-07,0.061900000000000004
2007-08,-0.0645
2007-09,0.075
2007-10,-0.0424
2007-11,-0.091
2007-12,-0.0425
2008-01,0.0873
2008-02,0.1686
2008-03,-0.005
2008-04,0.0212
2008-05,-0.0751
2008-06,0.0776
2008-07,-0.0555
2008-08,-0.0712
2008-09,-0.1489
2008-10,-0.3642
2008-11,-0.10099999999999999
2008-12,-0.1452
2009-01,0.0416
2009-02,0.0391
2009-03,0.19920000000000002
2009-04,0.10300000000000001
2009-05,0.07339999999999999
2009-06,0.029300000000000003
2009-07,0.1549
2009-08,0.0718
2009-09,-0.0025
2009-10,0.048499999999999995
2009-11,0.0662
2009-12,0.053399999999999996
2010-01,-0.08779999999999999
2010-02,0.0695
2010-03,0.08220000000000001
2010-04,-0.0613
2010-05,-0.0741
2010-06,-0.0559
2010-07,0.1225
2010-08,0.0113
2010-09,0.0837
2010-10,0.0226
2010-11,0.0225
2010-12,0.16260000000000002
2011-01,0.0027
2011-02,0.006500000000000001
2011-03,-0.04190000000000001
2011-04,-0.0339
2011-05,-0.0003
2011-06,0.0206
2011-07,0.046
2011-08,-0.0666
2011-09,-0.2503
2011-10,0.1523
2011-11,-0.0213
2011-12,-0.039
2012-01,0.10310000000000001
2012-02,0.0217
2012-03,-0.013999999999999999
2012-04,-0.0008
2012-05,-0.1211
2012-06,0.0364
2012-07,-0.0225
2012-08,0.008199999999999999
2012-09,0.0872
2012-10,-0.0639
2012-11,0.0344
2012-12,0.0008
2013-01,0.0218
2013-02,-0.0533
2013-03,-0.0409
2013-04,-0.06849999999999999
2013-05,0.033
2013-06,-0.0756
2013-07,0.02
2013-08,0.0344
2013-09,0.0279
2013-10,-0.0067
2013-11,-0.0316
2013-12,0.059800000000000006
2014-01,-0.0587
2014-02,-0.0021
2014-03,-0.0508
2014-04,0.0046
2014-05,0.0317
2014-06,0.0268
2014-07,0.0086
2014-08,-0.0265
2014-09,-0.0484
2014-10,0.0131
2014-11,-0.0643
2014-12,-0.0072
2015-01,-0.11710000000000001
2015-02,0.0791
2015-03,0.018000000000000002
2015-04,0.0527
2015-05,-0.054900000000000004
2015-06,-0.043
2015-07,-0.0962
2015-08,-0.0139
2015-09,0.0015
2015-10,-0.01
2015-11,-0.1199
2015-12,0.0425
2016-01,-0.0317
2016-02,0.0305
2016-03,0.024
2016-04,0.042199999999999994
2016-05,-0.0821
2016-06,0.045700000000000005
2016-07,0.0121
2016-08,-0.0695
2016-09,0.0643
2016-10,-0.0022
2016-11,0.1894
2016-12,-0.048
2017-01,0.0891
2017-02,-0.0097
2017-03,-0.022099999999999998
2017-04,-0.0222
2017-05,-0.0097
2017-06,0.0472
2017-07,0.0676
2017-08,0.06480000000000001
2017-09,-0.0455
2017-10,0.0504
2017-11,-0.0174
2017-12,0.0783
2018-01,-0.0305
2018-02,-0.024700000000000003
2018-03,-0.032799999999999996
2018-04,0.0115
2018-05,-0.0013
2018-06,-0.0366
2018-07,-0.0437
2018-08,-0.0622
2018-09,0.0519
2018-10,-0.0501
2018-11,0.044000000000000004
2018-12,-0.0542
2019-01,0.060599999999999994
2019-02,0.0582
2019-03,-0.0021
2019-04,-0.0113
2019-05,-0.08900000000000001
2019-06,0.0292
2019-07,-0.015600000000000001
2019-08,-0.0443
2019-09,0.0123
2019-10,0.0246
2019-11,0.0063
2019-12,0.0524
2020-01,-0.0989
2020-02,0.0073
2020-03,-0.12240000000000001
2020-04,0.0464
2020-05,0.0349
2020-06,0.1188
2020-07,0.0513
2020-08,0.0593
2020-09,-0.009399999999999999
2020-10,0.005
2020-11,0.1259
2020-12,0.0236
2021-01,0.0106
2021-02,0.1506
2021-03,-0.023700000000000002
2021-04,0.1166
2021-05,0.046900000000000004
2021-06,-0.08439999999999999
2021-07,0.0452
2021-08,-0.022000000000000002
2021-09,-0.0653
2021-10,0.0683
2021-11,-0.0179
2021-12,0.0429
2022-01,-0.031
2022-02,0.029900000000000003
2022-03,0.067
2022-04,-0.07440000000000001
2022-05,-0.024700000000000003
2022-06,-0.1379
2022-07,-0.0351
2022-08,-0.016200000000000003
2022-09,-0.0276
2022-10,-0.0079
2022-11,0.11380000000000001
2022-12,0.0231
