Date,Turkey_IRS2
2008-01,-0.005609382967873722
2008-02,-0.022026431718061623
2008-03,-0.09138282607053838
2008-04,0.03510006253908693
2008-05,0.04972919743968496
2008-06,-0.006360078277886427
2008-07,0.053698771372110876
2008-08,-0.017308341776426817
2008-09,-0.055372193777077805
2008-10,-0.1870406791844471
2008-11,-0.013243761996161174
2008-12,0.014605647517039966
2009-01,-0.05078125
2009-02,-0.033468619492970864
2009-03,0.021081081081081088
2009-04,-0.2439498598329124
2009-05,0.04617297415808763
2009-06,0.029199682650419057
2009-07,-0.08144499050859011
2009-08,0.48385131928536995
2009-09,-0.39174374401340994
2009-10,-0.03897422271276396
2009-11,-0.009151340342606673
2009-12,0.03515881838756307
2010-01,0.0009350788137856281
2010-02,-0.048878937488441965
2010-03,-0.0065850737041404095
2010-04,0.05158846289772345
2010-05,-0.12106435981934172
2010-06,-0.05187543655000526
2010-07,0.003888797858976334
2010-08,0.026675853033195196
2010-09,0.01842869488587051
2010-10,0.9830233801899653
2010-11,-0.5392413088274395
2010-12,-0.1313350716071402
2011-01,0.6108921946182677
2011-02,0.40812704191928195
2011-03,-0.44908086531608826
2011-04,-0.021887946607986875
2011-05,-0.025781589731529442
2011-06,0.017652059428730826
2011-07,-0.08362633797592811
2011-08,-0.21075783029351336
2011-09,-0.11601878237181207
2011-10,0.3713763001622672
2011-11,-0.019660055231057183
2011-12,0.8404195640708276
2012-01,-0.46123151014791886
2012-02,-0.006345843225102676
2012-03,0.010281152274704164
2012-04,0.024221755557481517
2012-05,-0.03295522421028518
2012-06,-0.0818412775887355
2012-07,1.1414980630763396
2012-08,-0.6001181664639501
2012-09,0.005462016640199963
2012-10,-0.029833110764157178
2012-11,-0.09553213057956056
2012-12,0.003779406275729702
2013-01,0.04256650267925921
2019-10,-0.3791508853076022
2019-11,0.0012591105915342737
2019-12,-0.10755444445700124
2020-01,-0.11382622291713185
2020-02,0.18544638140517677
2020-03,-0.11639811114267107
2020-04,-0.14910652454894002
2020-05,-0.016308358044272664
2020-06,0.04150752802105817
2020-07,0.18708727841957518
2020-08,0.05827017345356156
2020-09,0.003596140224533695
2020-10,0.08346674609456484
2020-11,-0.07098629645588028
2020-12,0.08122825480763218
2021-01,0.038857253214518606
2021-02,0.019865571738802767
2021-03,0.09457611357129259
2021-04,-0.07051449282336941
2021-05,-0.01521410011632951
2021-06,-0.05219445454917915
2021-07,0.031155546338664353
2021-08,-0.004541363939349008
2021-09,-0.0811463866643245
2021-10,-0.03953871852642865
2021-11,-0.14915602744250467
2021-12,0.21943671882336946
2022-01,-0.10071065308683202
2022-02,-0.015093819759595672
2022-03,0.05267680598042768
2022-04,-0.00851190736320917
2022-05,0.08560099284803568
2022-06,0.07921644307260478
2022-07,-0.017700874606162764
2022-08,-0.23738748641578034
2022-09,-0.13284200744336516
2022-10,-0.06829073075026759
2022-11,-0.03734488656599133
2022-12,0.07336228097497854
2023-01,-0.03771879525512756
2023-02,-0.0559730095801354
2023-03,0.2683271440984354
2023-04,0.08279650304612596
2023-05,-0.12039020980879289
2023-06,-0.317823362346625
2023-07,-0.022773155982318993
2023-08,0.265914232168615
2023-09,0.11433278754881981
