Date,Japan_IRS10
2009-09,0.01122397977713141
2009-10,0.05293504631252954
2009-11,-0.08365468409454457
2009-12,-0.04689085813250038
2010-01,0.004333450266484462
2010-02,0.025456684670724705
2010-03,0.020085621645759444
2010-04,-0.07394031162082071
2010-05,-0.010534780694228862
2010-06,-0.16267076207391262
2010-07,-0.02985685271632532
2010-08,-0.02209896061848482
2010-09,-0.0324346248539068
2010-10,0.0316904155182276
2010-11,0.25732182050298413
2010-12,-0.049912650506845124
2011-01,0.07370352943180336
2011-02,0.06369275575548605
2011-03,-0.0697183808644799
2011-04,-0.05276064002508152
2011-05,-0.045785955572447246
2011-06,-0.0018198403033966581
2011-07,-0.07245586944015492
2011-08,-0.035075112594415425
2011-09,0.003739304540610666
2011-10,-0.014199820903159854
2011-11,0.01246170548919312
2011-12,-0.14617222981004108
2012-01,0.021048872289756826
2012-02,-0.01935630884547046
2012-03,0.06650401977569542
2012-04,-0.12790278125782983
2012-05,-0.13085288902449277
2012-06,0.031402863990054986
2012-07,-0.05263548461304424
2012-08,0.06143561040949108
2012-09,0.047309698033346725
2012-10,0.059899323230343526
2012-11,-0.10612490080239856
2012-12,0.17566940453131252
2013-01,-0.14007593104747185
2013-02,-0.08762289325842698
2013-03,-0.102076491815151
2013-04,0.057796585199823225
2013-05,0.31472964420289684
2013-06,-0.007923453890436138
2013-07,-0.027717720847489802
2013-08,-0.08883814443752291
2013-09,-0.056362158147672314
2013-10,-0.18798647615126773
2013-11,0.020942175475363145
2013-12,0.23909455530384216
2014-01,-0.16664676121147282
2014-02,0.009318380266317261
2014-03,0.06322562829793088
2014-04,-0.10011186522117788
2014-05,-0.10712990216704998
2014-06,-0.04568237871087788
2014-07,-0.07852371556750914
2014-08,-0.09619006861777535
2014-09,0.05616727516510989
2014-10,-0.1632326007326007
2014-11,-0.046615527269662005
2014-12,-0.09839533397435518
2015-01,-0.053881439297219336
2015-02,0.15448210212781932
2015-03,0.18947297834753085
2015-04,-0.05659849337858003
2015-05,0.006302773028198816
2015-06,0.18612048498170486
2015-07,-0.123865495217787
2015-08,0.004422761928329688
2015-09,-0.08868897967735168
2015-10,-0.08466954284583428
2015-11,-0.09745358791527303
2015-12,-0.0460470759248095
2016-01,-0.4308696337177764
2016-02,-1.1606692612602263
2016-03,-2.09640562274479
2016-04,-0.40256787099408053
2016-05,-2.9235979409374155
2016-06,5.479058586762075
2016-07,-0.2593341496384668
2016-08,-0.4508497660673675
2016-09,0.5467300814010854
2016-10,-0.2823042741902171
2016-11,-0.8346511153823752
2016-12,-1.5269520151531095
2017-01,8.33191489361702
2017-02,-0.04736568742953429
2017-03,0.2823592782116888
2017-04,-0.671347678101883
2017-05,0.49109572124932277
2017-06,0.3837768323315698
2017-07,0.10227477710028055
2017-08,-0.5186239192831941
2017-09,1.8239267620655943
2017-10,0.35815418009187794
2017-11,0.07583430356641596
2017-12,-0.0013310852781966975
2018-01,0.23122257516673828
2018-02,-0.12699056000352926
2018-03,-0.009389121773324627
2018-04,0.027373183897233755
2018-05,-0.03674124074785712
2018-06,-0.051394129587427284
2018-07,0.23770784909708542
2018-08,0.2089705485004052
2018-09,0.08114398793818323
2018-10,-0.04739599102006775
2018-11,-0.29371252811642
2018-12,-0.4036254900173216
2019-01,-0.45435378210426414
2019-02,0.32847399181899584
2019-03,-0.8862512296658372
2019-04,3.3115538802130082
2019-05,-1.4353054831400016
2019-06,3.929118725502593
2019-07,0.17505260362403208
2019-08,1.1916181313511478
2019-09,-0.5048828719985585
2019-10,-0.08653393381065644
2019-11,-0.7650796550239422
2019-12,-3.285032071939355
2020-01,-2.474117104155922
2020-02,1.12903883585133
2020-03,-0.820171344756317
2020-04,2.0628848665795854
2020-05,-0.4091007876382684
2020-06,-0.6812700635433768
2020-07,3.2647986049668
2020-08,-1.238949805618388
2020-09,-3.281992277726066
2020-10,-1.201566978788458
2020-11,-1.4013421531972006
2020-12,-1.505133171912833
2021-01,11.82241115781429
2021-02,6.858121422539178
2021-03,-0.23183654540907084
2021-04,-0.22531524689922433
2021-05,-0.11258891571220031
2021-06,-0.6252913315363499
2021-07,-1.4194909868873735
2021-08,-0.802520153851415
2021-09,-26.838105196088843
2021-10,0.46498464238701165
2021-11,-0.5184428197671067
2021-12,0.7953956035853844
2022-01,1.2580755343381833
2022-02,0.24310443984357044
2022-03,0.1339359079704192
2022-04,0.32327066405709415
2022-05,-0.027239955195189514
2022-06,0.18163354220325734
2022-07,-0.2776580503646209
2022-08,0.20274675104051654
2022-09,0.2581261328629836
2022-10,-0.001822397137410059
2022-11,0.2597435002785058
2022-12,0.5346287351320909
2023-01,-0.019401141029435354
2023-02,-0.08667426024524716
2023-03,-0.22031124602769292
2023-04,-0.13529216860341264
2023-05,0.0760011482704177
2023-06,-0.10625827892318584
2023-07,0.3741455139403431
2023-08,0.048551203844841684
2023-09,0.13000305010234214
