Date,India_IRS2
2022-02,-0.0022672553532654405
2022-03,0.08445046437121762
2022-04,0.07749662779637778
2022-05,-0.04115867624714886
2022-06,-0.04172190840817236
2022-07,-0.021333328577590516
2022-08,0.04674974475352078
2022-09,0.050253864052698605
2022-10,-0.027258106867029674
2022-11,-0.023888320031645316
2022-12,-0.0022032296181055955
2023-01,0.029748713931093462
2023-02,0.061579792170255
2023-03,-0.03721562616426122
2023-04,-0.020505377920351564
2023-05,-0.0181554365976474
2023-06,0.04683125424981349
2023-07,0.00387923374810617
2023-08,-0.007853737679769712
2023-09,0.036920619606803706
