Date,South_Korea_IRS10
2022-02,-0.1091177524584449
2022-03,0.26806336977803924
2022-04,0.010020918308029092
2022-05,0.06528238779942197
2022-06,-0.020496733811047774
2022-07,-0.14019951272367914
2022-08,0.37963652843870377
2022-09,0.05570830350093292
2022-10,0.02504403046001835
2022-11,-0.038847202318628815
2022-12,0.07096554077106809
2023-01,-0.006366241501376768
2023-02,0.07496173372853265
2023-03,-0.12913024927075734
2023-04,-0.07140364301900026
2023-05,0.09069021368275187
2023-06,0.0640942417085184
2023-07,0.06771335771622566
2023-08,-0.004839704506206077
2023-09,0.004910431595970488
