Date,Canada_IRS2
2007-11,-0.13965108571925078
2007-12,-0.020208824685534532
2008-01,-0.15679170110002516
2008-02,-0.04869675392326189
2008-03,-0.07928963564851332
2008-04,0.018813799026969225
2008-05,0.09401444291410388
2008-06,0.05604823973500439
2008-07,-0.1219254956428768
2008-08,-0.1183971506818915
2008-09,0.022791008808818347
2008-10,-0.40144807652753767
2008-11,-0.2913659030584851
2008-12,-0.4367939824785412
2009-01,0.34572088525686095
2009-02,-0.1482766771851628
2009-03,-0.26093283497492015
2009-04,0.06217499498478607
2009-05,0.4625335574044682
2009-06,0.08693375662075531
2009-07,0.2101372517065927
2009-08,-0.02469559346661121
2009-09,0.06591012471096636
2009-10,-0.0037177195536495233
2009-11,-0.17561511444564393
2009-12,0.40672582260125023
2010-01,-0.16323796200477836
2010-02,0.005846958477850883
2010-03,0.4686267063087306
2010-04,0.13665885726194515
2010-05,-0.09166240759830369
2010-06,-0.2555269489523765
2010-07,0.06426747131529398
2010-08,-0.20286381933085817
2010-09,0.21440895289850803
2010-10,0.022393415834084385
2010-11,0.1516506865801659
2010-12,0.08284708923236472
2011-01,-0.04220701004608507
2011-02,0.15814561417106443
2011-03,0.011749035496706917
2011-04,-0.02288594217041895
2011-05,-0.12568952209767448
2011-06,0.0065301148986696145
2011-07,-0.12299827189563894
2011-08,-0.2967874151192408
2011-09,-0.32210700435583195
2011-10,0.33378233583346106
2011-11,-0.03388188379342305
2011-12,-0.027591171679588578
2012-01,0.06134237246256391
2012-02,0.18257755283672328
2012-03,0.09742119300545249
2012-04,0.19963921952066843
2012-05,-0.27893377114041373
2012-06,-0.0184198346102048
2012-07,0.08571785465058301
2012-08,0.08035467213245617
2012-09,-0.07136572172099398
2012-10,-0.01944487375537285
2012-11,0.009814006052944135
2012-12,0.07927355969982774
2013-01,0.018531730394400148
2013-02,-0.15803715005275365
2013-03,0.051010830521261985
2013-04,-0.028450407265060207
2013-05,0.1343089586067039
2013-06,0.0949718104930386
2013-07,-0.010830974376191738
2013-08,-0.029297348499330078
2013-09,-0.02412201081810139
2013-10,-0.07988313815850245
2013-11,-0.04356527093596052
2013-12,0.021152475976049745
2014-01,-0.1409286116700461
2014-02,0.07350567904173055
2014-03,0.06396312428637896
2014-04,0.0018217566817935182
2014-05,-0.01792626946192788
2014-06,0.08073453424573596
2014-07,-0.011071837948660845
2014-08,-0.004223109307854966
2014-09,-0.0053684623107368434
2014-10,-0.05573406710456241
2014-11,-0.023527459152436037
2014-12,-0.00718984523615529
2015-01,-0.5964730393372688
2015-02,0.15056218252382858
2015-03,0.005558690198616656
2015-04,0.4192508569154012
2015-05,-0.13156788957887333
2015-06,-0.11096353276599791
2015-07,-0.29143316134378683
2015-08,-0.06686546764824663
2015-09,0.1748983713925205
2015-10,0.10802428217048776
2015-11,0.030872120516111767
2015-12,-0.20079898423709386
2016-01,-0.3123907844920516
2016-02,0.2313975485241906
2016-03,0.1917863885018789
2016-04,0.2796305101325929
2016-05,-0.11414317598102652
2016-06,-0.19695159695329556
2016-07,0.11276680577819964
2016-08,0.019448562969974548
2016-09,-0.08384252479966992
2016-10,0.015186824858613557
2016-11,0.2999881328079588
2016-12,0.11999854288652312
2017-01,-0.026529433501037425
2017-02,-0.032677398106420674
2017-03,0.08367060513867575
2017-04,-0.0781336147189804
2017-05,0.03877260981912123
2017-06,0.6716538687686655
2017-07,0.21411009848950635
2017-08,-0.014236816381639428
2017-09,0.23354639974939184
2017-10,-0.10339171423869031
2017-11,0.02429364290456637
2017-12,0.19793466453174058
2018-01,0.11189676465419551
2018-02,-0.05520763324999978
2018-03,-0.023901628942870512
2018-04,0.04917489616829096
2018-05,-0.0018761151957198408
2018-06,0.0005116519721763968
2018-07,0.08979394943741181
2018-08,0.0032914609330352285
2018-09,0.08447116115298003
2018-10,0.03995710685962406
2018-11,-0.07515159210992162
2018-12,-0.1762202925153814
2019-01,0.01946436101158011
2019-02,-0.006336810162623219
2019-03,-0.12405809771456688
2019-04,0.007101627207920291
2019-05,-0.10119737471102086
2019-06,0.060427748748607346
2019-07,0.029783943597907925
2019-08,-0.16823503919193195
2019-09,0.18810098176426093
2019-10,-0.013374914868784948
2019-11,0.0323577344772088
2019-12,0.09833807089302882
2020-01,-0.18086480607513256
2020-02,-0.24659240370221858
2020-03,-0.7075234408087367
2020-04,-0.2170505839189133
2020-05,-0.12190593709938824
2020-06,0.12199119522449275
2020-07,0.006068254095965564
2020-08,0.12028380908583247
2020-09,-0.08279209138588028
2020-10,-0.00015013887846260232
2020-11,0.03281039920006146
2020-12,-0.1039944491221505
2021-01,0.1356308015286236
2021-02,0.5284749792521815
2021-03,-0.0467244964973732
2021-04,0.10167965737271145
2021-05,0.0813218532863289
2021-06,0.32647185537618917
2021-07,-0.06795559146712604
2021-08,0.011296982187121829
2021-09,0.26027339642481606
2021-10,0.9154548733258177
2021-11,-0.07679518154785192
2021-12,0.016629001273199107
2022-01,0.24960911549723663
2022-02,0.06347590870667785
2022-03,0.49603703055049797
2022-04,0.12549540736134146
2022-05,0.0002247316181505088
2022-06,0.13777379887614383
2022-07,-0.07112546543904208
2022-08,0.25139263893628283
2022-09,-0.03391980211774803
2022-10,0.04945534799008722
2022-11,0.006327585279637171
2022-12,0.03486814603245003
2023-01,-0.04089807059681694
2023-02,0.09376680897484291
2023-03,-0.11131261227975531
2023-04,0.0013130921543405005
2023-05,0.1433632325702643
2023-06,0.10210969967781924
2023-07,0.0355215891314582
2023-08,-0.03487128960752783
2023-09,0.031403021275898446
