Date,Indonesia_IRS10
2022-04,0.001449402942363287
2022-05,0.0912219767343927
2022-06,0.09165574169317758
2022-07,-0.15356135458125042
2022-08,0.018073908781067516
2022-09,0.01055344110503853
2022-10,-0.049702310371082414
2022-11,0.19879227053140114
2022-12,0.002614415059030595
2023-01,0.03882329397638573
2023-02,-0.017692156477295162
2023-03,0.017671379034409185
2023-04,0.006459580127291753
2023-05,-0.0514544279250162
2023-06,-0.004778972520907976
2023-07,-0.03264494126563089
2023-08,-0.009848982271831952
2023-09,-0.014877102199223668
