Date,Saudi_Arabia_IRS2
2000-10,0.015136195565240484
2000-11,-0.029238930788897277
2000-12,-0.10291726000414025
2001-01,-0.07702457289939757
2001-02,-0.0532102389836262
2001-03,0.003725582054975307
2001-04,-0.01866542335172716
2001-05,-0.03809523809523818
2001-06,-0.015841584158415745
2001-07,-0.07447135821192996
2001-08,-0.04997466936860051
2001-09,-0.11451091806745617
2001-10,0.02344681661202208
2001-11,0.022672731636014465
2001-12,0.06666666666666665
2002-01,-0.09604071116207136
2002-02,0.02811418425227119
2002-03,0.08723108034487215
2002-04,-0.06643757159221075
2002-05,-0.03192765437660694
2002-06,-0.0760702635318391
2002-07,-0.1152263374485597
2002-08,0.04651162790697683
2002-09,-0.014867349619122616
2002-10,-0.12025383959044378
2002-11,0.11971783157319948
2002-12,-0.06114380677996123
2003-01,-0.1072218561976559
2003-02,-0.05467001687050277
2003-03,-0.09248554913294804
2003-04,-0.16135881104033967
2003-05,-2.666453350408382e-05
2003-06,-5.332622317022473e-05
2003-07,0.17730936206609083
2003-08,0.1719492598119532
2003-09,-0.17610285366773104
2003-10,0.22720421503280774
2003-11,0.061677679215789594
2003-12,-0.10254017221645595
2004-01,0.019047619047618758
2004-02,-0.14577161431458385
2004-03,-0.09187950401167033
2004-04,0.3324235265997997
2004-05,0.11937885313988827
2004-06,0.18416801292407103
2004-07,-0.058663028649386106
2004-08,-0.08707823814916882
2004-09,0.016008458384864976
2004-10,-0.02203146662045441
2004-11,0.1471177726442161
2004-12,0.008383434034864523
2005-01,0.05798283835267393
2005-02,0.04963634315482279
2005-03,0.09698567398190261
2005-04,-0.03867691899197545
2005-05,-0.025813532401684713
2005-06,0.029083130094240017
2005-07,0.08470588235294119
2005-08,0.02505422993492412
2005-09,0.053204277007616874
2005-10,0.03070367136610952
2005-11,0.0036845389462376588
2005-12,0.026556974471168227
2006-01,0.023336714617948617
2006-02,0.049907578558225474
2006-03,-0.01045786007269256
2006-04,-0.007117437722419906
2006-05,-0.03937529954190089
2006-06,0.06357462686567161
2006-07,-0.040453228848572054
2006-08,-0.040244969165598055
2006-09,-0.02664071387940825
2006-10,0.005897662564033235
2006-11,-0.05447470817120614
2006-12,0.04287342683447104
2007-01,-0.009450844437945638
2007-02,0.013705281475306252
2007-03,-0.026383227653178354
2007-04,0.0021130963054405427
2007-05,0.040256382586743245
2007-06,-0.006951954971696428
2007-07,-0.05964912280701751
2007-08,-0.04850746268656725
2007-09,0.007891984508625605
2007-10,-0.00340648300084323
2007-11,-0.14311020310688594
2007-12,-0.1089859826216848
2008-01,-0.1697498617702622
2008-02,-0.09914240828679244
2008-03,0.02527465915126803
2008-04,0.23379375322205043
2008-05,-0.00010664960273021329
2008-06,0.2765485630705109
2008-07,0.0233929520932441
2008-08,0.02471264367816084
2008-09,0.03701676921498942
2008-10,-0.16431193557459445
2008-11,-0.24579012954472756
2008-12,-0.15765365879343374
2009-01,-0.1725061468250264
2009-02,-0.05798162614154756
2009-03,-0.235517605313315
2009-04,-0.02869204924455293
2009-05,-0.028511087645195388
2009-06,0.050724637681159424
2009-07,0.010371769396494201
2009-08,-0.061458474205607794
2009-09,0.040000000000000036
2009-10,0.05250368298368291
2009-11,-0.08640310012552499
2009-12,0.2652521105151282
2010-01,-0.17805134684004587
2010-02,-0.02724678857048668
2010-03,0.02800997030937169
2010-04,-0.006993006993007089
2010-05,-0.02084507042253514
2010-06,-0.18732757497044583
2010-07,-0.061542874645505674
2010-08,0.037344398340249274
2010-09,-0.06205002133105808
2010-10,-0.059845192310167494
2010-11,0.20103092783505172
2010-12,0.0569957081545065
2011-01,-0.0417110053223364
2011-02,0.15238325419044463
2011-03,-0.010923927194471328
2011-04,-0.2078278149148317
2011-05,-0.09429776446648308
2011-06,-0.07253886010362698
2011-07,-0.16759776536312843
2011-08,-0.167851803204763
2011-09,0.33874537253660697
2011-10,0.024151001103234426
2011-11,0.12938164946804265
2011-12,0.14586388725934651
2012-01,-0.21274826498728605
2012-02,0.10993071593533488
2012-03,0.05597170203911772
2012-04,-0.013471231616415502
2012-05,0.06858231194362396
2012-06,-0.04672897196261683
2012-07,-0.0980392156862746
2012-08,-0.043529268561293355
2012-09,0.022809086545687363
2012-10,0.12774770610943698
2012-11,-0.009825814216016915
2012-12,0.05958847579412185
2013-01,-0.03626094137821079
2013-02,-0.09868004935089025
2013-03,0.07564699328558189
2013-04,-0.04020100502512547
2013-05,0.01039037942410892
2013-06,7.999360051180737e-05
2013-07,-0.025906735751295318
2013-08,0.08504851835358118
2013-09,-0.06855294515011479
2013-10,-0.00528968208859093
2013-11,0.01904761904761898
2013-12,0.11102223644216935
2014-01,-0.06537072182705495
2014-02,0.014999999999999902
2014-03,0.07386299232351967
2014-04,0.031220156088549444
2014-05,-0.025826686928101306
2014-06,0.02648401826484026
2014-07,0.1288597079847893
2014-08,-0.03846493399395423
2014-09,0.062201115502194426
2014-10,-0.05888491752801961
2014-11,-0.11809247465415651
2014-12,0.12850658270819948
2015-01,-0.08654985616127009
2015-02,-0.0078371667916447
2015-03,0.04159599244827561
2015-04,0.07794879978302416
2015-05,-0.04458536704378102
2015-06,0.05618644067796619
2015-07,0.019070634299253264
2015-08,0.2171233016458356
2015-09,-0.11182714045620157
2015-10,0.20378732702112168
2015-11,0.1893088576844233
2015-12,0.18673909328101201
2016-01,-0.01609182984901747
2016-02,-0.04576776678893835
2016-03,0.01713461524180948
2016-04,0.09880185620886373
2016-05,0.12404690377297523
2016-06,0.0009228778613508126
2016-07,0.040491862873163864
2016-08,0.019248212072323412
