Date,Brazil_IRS2
2002-07,-0.18328427679327497
2002-08,-0.03212256097192878
2002-09,0.05501608695662896
2002-10,0.011867618841429728
2002-11,0.05361556615270269
2002-12,-0.060434116425576834
2003-01,-0.05632609029841407
2003-02,0.04482519348922076
2003-03,-0.10412612842334046
2003-04,-0.005742984666811446
2003-05,-0.08430228244461568
2003-06,0.019594407612949505
2003-07,-0.054547139905212316
2003-08,-0.11326815669153123
2003-09,0.015550912991530552
2003-10,-0.0485075757859067
2003-11,-0.11133693651261656
2003-12,0.010594661289359042
2004-01,-0.04006924133588252
2004-02,0.012674648316330694
2004-03,-0.014365629613078967
2004-04,0.052524553123801
2004-05,0.10259422896249282
2004-06,-0.06202144751326921
2004-07,0.03824730527840492
2004-08,0.04435019320891853
2004-09,-0.02739505341764692
2004-10,0.027647027467965435
2004-11,0.030571232681323224
2004-12,-0.02200635839245535
2005-01,0.06283419456732475
2005-02,-0.012495441727408685
2005-03,0.01640779258945635
2005-04,0.04617657634198524
2005-05,0.02120137513995224
2005-06,0.007881045889798433
2005-07,0.0020339793813242135
2005-08,0.019680500668209477
2005-09,0.009845326128003151
2005-10,0.008242906875640221
2005-11,-0.02444277288849306
2005-12,-0.09820141327518528
2006-01,0.025066008253114003
2006-02,-0.007595602164390591
2006-03,-0.011371569033566065
2006-04,0.039302036324962764
2006-05,-0.007183023797117882
2006-06,0.01283790483970182
2006-07,-0.042994925578691556
2006-08,-0.02720169789722604
2006-09,-0.03299948900699201
2006-10,-0.033205891543887645
2006-11,-0.030762951539262895
2006-12,-0.03440795366217353
2007-01,0.0050429752499361324
2007-02,-0.02656475450485174
2007-03,-0.0016261781759808747
2007-04,-0.047857891407729225
2007-05,0.017153193049185944
2007-06,0.011063287907970176
2007-07,0.06261346216421204
2007-08,0.025325552884643443
2007-09,0.02824243767353063
2007-10,0.07627260588493923
2007-11,0.01586516975604968
2007-12,0.06589312125815638
2008-01,0.008908161816603144
2008-02,0.017545654280682443
2008-03,0.028575816248156638
2008-04,0.08549164879532811
2008-05,0.05807797595758979
2008-06,0.09829701554805292
2008-07,-0.01882138789134913
2008-08,-0.06374014668852435
2008-09,-0.14417692607302635
2008-10,-0.0009066915416059418
2008-11,-0.12794388737271756
2008-12,-0.19742275534164455
2009-01,-0.05547836655178606
2009-02,-0.06788256572666984
2009-03,-0.028946370211076045
2009-04,0.0939348296184257
2009-05,0.04784647247170204
2009-06,0.05288215248506889
2009-07,0.05416887537546056
2009-08,-0.0021229671521441063
2009-09,0.11537287835299193
2009-10,0.02434723259792415
2009-11,0.025607567657023766
2009-12,0.014607185088613361
2010-01,-0.0842087169127953
2010-02,0.04551689428884065
2010-03,0.02004254271795114
2010-04,0.08027355439892614
2010-05,-0.06791848250745225
2010-06,0.009424111179169303
2010-07,-0.0071106918517841455
2010-08,-0.026339110356003337
2010-09,0.0764568078002903
2010-10,-0.018425743884762036
2010-11,0.03992428253996905
2010-12,0.029417347214363954
2011-01,0.04985629399405611
2011-02,-0.01318247959301655
2011-03,0.023106776530550155
2011-04,0.03201080900474018
2011-05,-0.01854419910000893
2011-06,0.025416410617557617
2011-07,0.015940309470468428
2011-08,-0.14948123203871866
2011-09,-0.1940919098855275
2011-10,0.08401179379936519
2011-11,-0.1145890808872777
2011-12,0.03361322533731159
2012-01,0.024735373219801016
2012-02,-0.00623742545805317
2012-03,-0.06872622499968128
2012-04,-0.11428231064756689
2012-05,-0.10974694484317826
2012-06,-0.02933305392142105
2012-07,-0.02178029383673874
2012-08,0.02356492463512816
2012-09,-0.012805944034697925
2012-10,-0.05260857790033491
2012-11,-0.04755744332169476
2012-12,0.03286188468470885
2013-01,0.06952775958950785
2013-02,0.05769435393981559
2013-03,0.006908324439819369
2013-04,-0.02025596546082875
2013-05,0.019602727143116505
2013-06,0.07486898045598034
2013-07,-0.04142638004467858
2013-08,0.06537298453668061
2013-09,0.05149496349554772
2013-10,0.009549175104848207
2013-11,0.008741542676520497
2013-12,-0.01849687632997654
2014-01,0.0562060074217996
2014-02,-0.015949094930687968
2014-03,0.05128587279607899
2014-04,0.007828448883739902
2014-05,-0.05263733465881393
2014-06,0.002310941946197076
2014-07,-0.024540766321375584
2014-08,0.0003735841063092771
2014-09,-0.0041793796319230525
2014-10,-0.006021200951212502
2014-11,-0.04261506459884379
2014-12,0.018883433167417696
2015-01,-0.04483858172431865
2015-02,-0.03339634177879025
2015-03,-0.07158683109024433
2015-04,0.06461120648694196
2015-05,-0.07189128649006182
2015-06,0.06614798248389286
2015-07,-0.12699816509581552
2015-08,0.02113603483188009
2015-09,0.025758016958792096
2015-10,0.025937262796986493
2015-11,0.016791035494829964
2015-12,-0.0015327700549161438
2016-01,-0.08668952259397122
2016-02,-0.040630248441904104
2016-03,0.048894418954001484
2016-04,-0.041626893843834334
2016-05,-0.037899881105690314
2016-06,0.1091273761710514
2016-07,-0.020817166670374587
2016-08,-0.0021954035787201676
2016-09,-0.06259952524472745
2016-10,0.010606820321641175
2016-11,-0.057482218405488505
2016-12,-0.008068786848785203
2017-01,-0.0290547883796749
2017-02,-0.036893624153802373
2017-03,-0.0349412028525542
2017-04,-0.023640495775146486
2017-05,-0.009195771232460959
2017-06,-0.05907751648989101
2017-07,-0.02639937414262883
2017-08,-0.028589177841706004
2017-09,-0.04932581371245515
2017-10,0.0038629125223914595
2017-11,0.018386649820638867
2017-12,-0.050099651181226945
2018-01,0.044395015630849244
2018-02,-0.06311910884167404
2018-03,-0.07503519129803427
2018-04,-0.05209665019958343
2018-05,0.049558791325322815
