Date,India_IRS10
2022-02,-0.014293043286699114
2022-03,0.09990096829908723
2022-04,0.07395051930732355
2022-05,-0.040664831456033834
2022-06,-0.03324581000701321
2022-07,-0.037212788540424646
2022-08,0.026527488986247905
2022-09,-0.005298304762495376
2022-10,-0.018592905336768828
2022-11,-0.022998374992819315
2022-12,-0.00014399166361278581
2023-01,0.008450552603580741
2023-02,0.03476612859849815
2023-03,-0.026960560159037472
2023-04,-0.029792688866606243
2023-05,-0.005041036474168981
2023-06,0.0230303123047344
2023-07,0.013112602645148685
2023-08,-0.007831715788479743
2023-09,0.02926962994366411
