Date,England_IRS10
2008-06,0.04135945422599563
2008-07,-0.08325979253754456
2008-08,-0.13400168076152874
2008-09,-0.0708835146335145
2008-10,-0.12011207523449041
2008-11,-0.24243635647121675
2008-12,-0.1871740977766273
2009-01,0.11453059713897051
2009-02,-0.019208044199954477
2009-03,-0.06606183006001032
2009-04,0.0715611414362387
2009-05,0.20589775645788877
2009-06,0.08939463055178432
2009-07,0.0526793337119873
2009-08,-0.09071493334228808
2009-09,-0.015310586949246807
2009-10,0.0076980945354259145
2009-11,-0.0614471236441223
2009-12,0.10294457979254945
2010-01,-0.06495873440802591
2010-02,-0.07959967968524317
2010-03,-0.01821070035144534
2010-04,0.007449444532322547
2010-05,-0.14472219529794406
2010-06,-0.024593457293902943
2010-07,0.07178988573509293
2010-08,-0.1525005796770138
2010-09,0.046015350903600094
2010-10,0.08333107149466401
2010-11,0.029425226209646604
2010-12,0.07882652454257788
2011-01,0.11560149270666997
2011-02,0.00046043192786915377
2011-03,0.005540049746813658
2011-04,-0.016929387395486106
2011-05,-0.07239354739354731
2011-06,0.007507253023339322
2011-07,-0.13754191442099473
2011-08,-0.1144494842737872
2011-09,-0.18367989278217411
2011-10,0.10955748383633002
2011-11,-0.1312137141181432
2011-12,-0.11625693893735112
2012-01,0.052234605426094705
2012-02,0.11661332199367047
2012-03,0.038821927794794986
2012-04,-0.023929734090513688
2012-05,-0.26751967174401703
2012-06,0.14308263664849763
2012-07,-0.09361808497545454
2012-08,-0.00928397718745988
2012-09,0.05930519508147891
2012-10,0.05314209881584331
2012-11,-0.06255940003801608
2012-12,0.006733264208077516
2013-01,0.12610588011417678
2013-02,-0.08982148345417618
2013-03,-0.08459492635024568
2013-04,0.008533277453753874
2013-05,0.1564967493188305
2013-06,0.225220000013314
2013-07,-0.025988904870311358
2013-08,0.11907054008929285
2013-09,0.02732935785787527
2013-10,-0.05209833650440476
2013-11,0.07322497081541757
2013-12,0.12771192681832733
2014-01,-0.10555381454395962
2014-02,0.03528137260848996
2014-03,-0.009358821975676945
2014-04,-0.012958317192859448
2014-05,-0.02926114221886056
2014-06,0.07645649029781598
2014-07,-0.03895117720946928
2014-08,-0.15524465470306847
2014-09,0.03702223368219504
2014-10,-0.10285205767313277
2014-11,-0.19121321142258807
2014-12,-0.09705716919150142
2015-01,-0.2706682211771486
2015-02,0.47979267917993385
2015-03,-0.19176678817564308
2015-04,0.21056831131458975
2015-05,-0.010168289625305693
2015-06,0.18534566253075768
2015-07,-0.04564060539520143
2015-08,-0.03343520797326904
2015-09,-0.1315113019489188
2015-10,0.1009518255365176
2015-11,-0.08158409126449584
2015-12,0.07881287749158594
2016-01,-0.2820612204333134
2016-02,-0.2936005947088015
2016-03,0.228977582227883
2016-04,0.16347390190172173
2016-05,-0.050856699727505617
2016-06,-0.5018576209666634
2016-07,-0.21788052220102494
2016-08,-0.21091203481881327
2016-09,0.24467780172765186
2016-10,0.6616492791182091
2016-11,0.2650476341736234
2016-12,-0.13792009337326505
2017-01,0.2095073124133382
2017-02,-0.25980759464707615
2017-03,0.0797679286901416
2017-04,-0.028339360755431087
2017-05,0.01572057968027263
2017-06,0.2929959485355238
2017-07,-0.03977769940367992
2017-08,-0.1748791025130868
2017-09,0.41361548630846134
2017-10,-0.047822067105112054
2017-11,0.029069891250956603
2017-12,-0.10392862901735311
2018-01,0.3225050923838553
2018-02,-0.03468937851679643
2018-03,-0.1136677452321686
2018-04,0.04607259498931904
2018-05,-0.11796303899147409
2018-06,0.06133887267897964
2018-07,0.046606504847506613
2018-08,-0.024482127181955637
2018-09,0.1265768007840351
2018-10,-0.08425163257758517
2018-11,-0.02138034310307091
2018-12,-0.09745270238008419
2019-01,0.013307320115080845
2019-02,0.1065291168790865
2019-03,-0.256108023877303
2019-04,0.1792422142491561
2019-05,-0.24899069360516823
2019-06,-0.05219239015412935
2019-07,-0.29184844104623553
2019-08,-0.3563737214977638
2019-09,0.04360086333814572
2019-10,0.47849996412043505
2019-11,0.19833381190783617
2019-12,0.19046825934478862
2020-01,-0.3425149868576657
2020-02,-0.21198622441252535
2020-03,-0.3027904667328699
2020-04,-0.33604488055106496
2020-05,-0.3214072498808028
2020-06,-0.16714021345717767
2020-07,-0.5075634650615022
2020-08,3.3108737775664148
2020-09,-0.3599249872795951
2020-10,0.3053538507283595
2020-11,0.2938587584015997
2020-12,-0.34281138732294403
2021-01,0.8355900568947909
2021-02,1.6831341318411797
2021-03,0.06861066305729024
2021-04,0.017514480746036343
2021-05,-0.0307919519489831
2021-06,-0.11276635450673023
2021-07,-0.19468479761649182
2021-08,0.1102389502258041
2021-09,0.41678742693277715
2021-10,0.07914349074780946
2021-11,-0.19393455706304863
2021-12,0.1957207048829881
2022-01,0.2848777141006189
2022-02,0.13827752670231952
2022-03,0.15653604915250696
2022-04,0.1165120323739941
2022-05,0.11660865922001085
2022-06,0.046918767507002856
2022-07,-0.1273342850020598
2022-08,0.3968684998382608
2022-09,0.4374748880429413
2022-10,-0.12256225084401473
2022-11,-0.06705339788732712
2022-12,0.11309657555090169
2023-01,-0.08090173477495521
2023-02,0.07964168495242063
2023-03,-0.05919922883257134
2023-04,0.09450600067545079
2023-05,0.101601647536677
2023-06,0.08725814694251599
2023-07,-0.01590458580840337
2023-08,0.00014380862372265213
2023-09,-0.026638091134265296
