Date,South_Africa_IRS10
1995-11,-0.04247836423460016
1995-12,-0.01122236999747206
1996-01,-0.03474706046393217
1996-02,-0.001166735720627421
1996-03,0.003938377006138083
1996-04,-0.020684470759644857
1996-05,-0.012435514526201286
1996-06,-0.06657848324515014
1996-07,0.014556214990159022
1996-08,-0.0059766166758886685
1996-09,-0.03697752552575906
1996-10,0.025281786278419816
1996-11,0.014665020067922141
1996-12,0.0015848247684597805
1997-01,-0.031766310307017376
1997-02,-0.005735572374645392
1997-03,0.03418973847687723
1997-04,-0.02599354970036183
1997-05,-0.0011021217265941852
1997-06,-0.04827010341837812
1997-07,-0.04743045093256526
1997-08,1.603894270685302e-05
1997-09,-0.008538922099555424
1997-10,0.016323317117544534
1997-11,-0.033397825915979285
1997-12,-0.041160159781488015
1998-01,-0.027935136692485152
1998-02,-0.023119497583248605
1998-03,-0.030902823647760425
1998-04,-0.022542291136246284
1998-05,0.05891422899648613
1998-06,-0.06507821413514825
1998-07,0.00655932808988835
1998-08,0.18701843325116663
1998-09,-0.015966069373664404
1998-10,-0.06279100008196514
1998-11,0.014927193326701449
1998-12,-0.04150278825102571
1999-01,-0.045070769683590806
1999-02,-0.09997499576751279
1999-03,0.02504212315517096
1999-04,-0.001813010753197175
1999-05,0.013989837473809219
1999-06,0.031028231028231046
1999-07,-0.022313831942306073
1999-08,0.019855276954701795
1999-09,-0.0020199892417706033
1999-10,-0.03755922853089344
1999-11,-0.03285847774764372
1999-12,-0.04224419078679165
2000-01,-0.015988882470209576
2000-02,-0.014339644185832556
2000-03,0.00184336456445644
2000-04,-0.01312852155567723
2000-05,-0.028502060371052518
2000-06,0.008821041511745342
2000-07,-0.05717204945355625
2000-08,-0.015018549701161787
2000-09,-0.03509004889556311
2000-10,-0.025876593721923857
2000-11,-0.06294462990895522
2000-12,-0.018237553337041468
2001-01,-0.04490480555096954
2001-02,-0.04594181823496313
2001-03,0.0027109821892876695
2001-04,-0.014952901750234782
2001-05,-0.016223737874141997
2001-06,-0.08341318839557488
2001-07,-0.051086823176407115
2001-08,-0.0019000862950913078
2001-09,-0.07120811567354146
2001-10,-0.06605999419191644
2001-11,-0.09219057890182913
2001-12,-0.04494574375518101
2002-01,0.10806258825510207
2002-02,0.03940758644232378
2002-03,0.06100607919731105
2002-04,-0.03349189440493738
2002-05,0.05569002339062323
2002-06,-0.031383393654320746
2002-07,-0.059776148744661084
2002-08,-0.006007191653977451
2002-09,0.022191362589268238
2002-10,0.04165181112508032
2002-11,-0.003021024140853479
2002-12,0.08151042488275406
2003-01,-0.03349491251139303
2003-02,0.048156427847509065
2003-03,0.02935653496168711
2003-04,0.0851407284768213
2003-05,-0.1373998469581793
2003-06,0.04478893675045725
2003-07,0.04304859913694803
2003-08,0.026610062042287108
2003-09,0.03493205183589154
2003-10,-0.012088531456870166
2003-11,0.07590998620297795
2003-12,-0.03456020218926015
2004-01,-0.002377795678739636
2004-02,0.051860846665416904
2004-03,0.06095584047543423
2004-04,-0.07915557486279934
2004-05,0.08651857536738583
2004-06,0.05764450157554424
2004-07,-0.052165449784082885
2004-08,-0.10202366066955271
2004-09,0.013519258327023609
2004-10,0.007813640252099407
2004-11,0.012935364920309667
2004-12,-0.0350076486260118
2005-01,-0.06512381116996102
2005-02,-0.010332462783736784
2005-03,0.04959195998856836
2005-04,-0.007207960515047462
2005-05,-0.10023219149531881
2005-06,-0.036641311234752894
2005-07,0.004684961995689241
2005-08,0.046841768295585506
2005-09,0.01680149166337852
2005-10,-0.05425229099472695
2005-11,-0.004373707730274012
2005-12,-0.012933706681832136
2006-01,0.03778602839598544
2006-02,-0.01868505868184067
2006-03,0.023508838522970033
2006-04,0.009102112666493856
2006-05,-0.06002846069982093
2006-06,0.0574760827156775
2006-07,0.02682001106523213
2006-08,-0.01976127433810837
2006-09,-0.09149821030876049
2006-10,-0.0047824844664575705
2006-11,0.022957691092695187
2006-12,0.01493760130468913
2007-01,-0.019743723761417753
2007-02,-0.024998255071924214
2007-03,0.005488657684010523
2007-04,0.017212920718154168
2007-05,0.041168383634136996
2007-06,0.08886208061945422
2007-07,0.005387737794980474
2007-08,0.004121020962242872
2007-09,0.0005984866012969103
2007-10,0.01329246625845526
2007-11,0.0074717558099783865
2007-12,-0.005843383416938797
2008-01,-0.0462907051077438
2008-02,-0.026906717939754077
2008-03,-0.01724766386636367
2008-04,0.1068548249184278
2008-05,0.03551499574862804
2008-06,0.049210383485260634
2008-07,-0.10570916858410373
2008-08,-0.06466424404266713
2008-09,-0.0937618659854087
2008-10,-0.1794002710955378
2008-11,-0.08072859122958576
2008-12,-0.03664490736520787
2009-01,-0.015135783136603798
2009-02,0.08529110584258137
2009-03,0.037774878950956436
2009-04,0.1254912794140306
2009-05,0.08354245360190071
2009-06,0.05048162106734422
2009-07,-0.009425222592754912
2009-08,-0.03827625095376397
2009-09,0.08615482044638112
2009-10,-0.05144894071362094
2009-11,0.0542256594794881
2009-12,0.0008921330089213253
2010-01,-0.027176880580176643
2010-02,-0.04126355505503043
2010-03,0.0262550060807476
2010-04,-0.02657010335136656
2010-05,-0.03310312620535971
2010-06,-0.0043928991467144796
2010-07,-0.005354573602945334
2010-08,-0.05295369446520548
2010-09,0.06725242310600787
2010-10,-0.033815727026495934
2010-11,0.06625142209838875
2010-12,0.060584146769084635
2011-01,0.018865079086103353
2011-02,0.008250443527626272
2011-03,0.03544828117583387
2011-04,-0.0010848977913837654
2011-05,-0.04496539579351233
2011-06,0.014172559120654071
2011-07,-0.014970428445065576
2011-08,-0.12976336324911275
