Date,Indonesia_IRS2
2022-04,0.014297838280907804
2022-05,0.06949200054999016
2022-06,-0.0016387761130221001
2022-07,-0.06131048928001892
2022-08,0.02100216500270391
2022-09,0.01604223630886792
2022-10,-0.05351753413655136
2022-11,0.1887405934214852
2022-12,0.010209978809477827
2023-01,0.03882329397638595
2023-02,-0.017692156477295162
2023-03,0.017671379034409185
2023-04,-0.00036960479664893686
2023-05,-0.00823484155566978
2023-06,-0.0003947389196784501
2023-07,-0.0009283819628647105
2023-08,-0.009848982271831952
2023-09,-0.014877102199223668
